week_monday,city_abbr,brand_slug,brand_zh,city_name,index,index_log,index_z,y,y_z_global,y_z_by_unit,treat_week,rel_week_async,relw_bucket,treated_it,ever_treated,unit
2016-10-24,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-20,-20,0,1,ALDI_BJ
2016-10-31,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-19,-19,0,1,ALDI_BJ
2016-11-07,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-18,-18,0,1,ALDI_BJ
2016-11-14,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-17,-17,0,1,ALDI_BJ
2016-11-21,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-16,-16,0,1,ALDI_BJ
2016-11-28,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-15,-15,0,1,ALDI_BJ
2016-12-05,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-14,-14,0,1,ALDI_BJ
2016-12-12,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-13,-13,0,1,ALDI_BJ
2016-12-19,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-12,-12,0,1,ALDI_BJ
2016-12-26,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-11,-11,0,1,ALDI_BJ
2017-01-02,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-10,-10,0,1,ALDI_BJ
2017-01-09,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-9,-9,0,1,ALDI_BJ
2017-01-16,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-8,-8,0,1,ALDI_BJ
2017-01-23,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-7,-7,0,1,ALDI_BJ
2017-01-30,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-6,-6,0,1,ALDI_BJ
2017-02-06,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-5,-5,0,1,ALDI_BJ
2017-02-13,BJ,ALDI,奥乐齐,北京,35,3.555348061489413,-1.263018093499274,3.555348061489413,-0.5322043429239368,0.5000342405668919,2017-03-13,-4,-4,0,1,ALDI_BJ
2017-02-20,BJ,ALDI,奥乐齐,北京,33,3.49650756146648,-1.3115347312862158,3.49650756146648,-0.5832591752490228,0.4007750306998469,2017-03-13,-3,-3,0,1,ALDI_BJ
2017-03-06,BJ,ALDI,奥乐齐,北京,0,,-2.112059254770754,,,,2017-03-13,-1,-1,0,1,ALDI_BJ
