date,index
2016-08-29,0
2016-09-05,0
2016-09-12,0
2016-09-19,0
2016-09-26,0
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,0
2016-11-07,0
2016-11-14,0
2016-11-21,0
2016-11-28,0
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,0
2017-01-02,0
2017-01-09,0
2017-01-16,0
2017-01-23,0
2017-01-30,0
2017-02-06,0
2017-02-13,35
2017-02-20,33
2017-03-06,0
2017-03-13,49
2017-03-20,25
2017-03-27,16
2017-04-03,0
2017-04-10,42
2017-04-17,61
2017-04-24,53
2017-05-01,33
2017-05-08,24
2017-05-15,41
2017-05-22,8
2017-05-29,42
2017-06-05,75
2017-06-12,16
2017-06-19,17
2017-06-26,24
2017-07-03,17
2017-07-10,16
2017-07-17,24
2017-07-24,16
2017-07-31,8
2017-08-07,0
2017-08-14,27
2017-08-21,8
2017-08-28,25
2017-09-04,16
2017-09-11,67
2017-09-18,33
2017-09-25,28
2017-10-02,118
2017-10-09,96
2017-10-16,102
2017-10-23,94
2017-10-30,92
2017-11-06,67
2017-11-13,26
2017-11-20,71
2017-11-27,85
2017-12-04,96
2017-12-11,66
2017-12-18,43
2017-12-25,76
2018-01-01,51
2018-01-08,65
2018-01-15,111
2018-01-22,70
2018-01-29,17
2018-02-05,41
2018-02-12,52
2018-02-19,84
2018-03-05,54
2018-03-12,62
2018-03-19,51
2018-03-26,33
2018-04-02,42
2018-04-09,42
2018-04-16,68
2018-04-23,68
2018-04-30,59
2018-05-07,50
2018-05-14,85
2018-05-21,61
2018-05-28,67
2018-06-04,58
2018-06-11,33
2018-06-18,77
2018-06-25,67
2018-07-02,60
2018-07-09,69
2018-07-16,67
2018-07-23,61
2018-07-30,76
2018-08-06,59
2018-08-13,60
2018-08-20,83
2018-08-27,68
2018-09-03,69
2018-09-10,68
2018-09-17,68
2018-09-24,58
2018-10-01,86
2018-10-08,75
2018-10-15,100
2018-10-22,121
2018-10-29,98
2018-11-05,107
2018-11-12,77
2018-11-19,60
2018-11-26,68
2018-12-03,87
2018-12-10,69
2018-12-17,67
2018-12-24,75
2018-12-31,95
2019-01-07,68
2019-01-14,43
2019-01-21,25
2019-01-28,57
2019-02-04,77
2019-02-11,59
2019-02-18,86
2019-03-04,59
2019-03-11,76
2019-03-18,96
2019-03-25,67
2019-04-01,87
2019-04-08,94
2019-04-15,41
2019-04-22,33
2019-04-29,75
2019-05-06,77
2019-05-13,78
2019-05-20,77
2019-05-27,126
2019-06-03,170
2019-06-10,137
2019-06-17,132
2019-06-24,110
2019-07-01,118
2019-07-08,126
2019-07-15,111
2019-07-22,88
2019-07-29,77
2019-08-05,69
2019-08-12,101
2019-08-19,137
2019-08-26,111
2019-09-02,87
2019-09-09,87
2019-09-16,106
2019-09-23,41
2019-09-30,110
2019-10-07,101
2019-10-14,107
2019-10-21,98
2019-10-28,87
2019-11-04,100
2019-11-11,114
2019-11-18,87
2019-11-25,105
2019-12-02,68
2019-12-09,52
2019-12-16,60
2019-12-23,95
2019-12-30,85
2020-01-06,17
2020-01-13,8
2020-01-20,41
2020-01-27,58
2020-02-03,75
2020-02-10,100
2020-02-17,92
2020-03-02,77
2020-03-09,71
2020-03-16,66
2020-03-23,79
2020-03-30,98
2020-04-06,87
2020-04-13,94
2020-04-20,67
2020-04-27,67
2020-05-04,59
2020-05-11,111
2020-05-18,113
2020-05-25,87
2020-06-01,95
2020-06-08,76
2020-06-15,69
2020-06-22,91
2020-06-29,109
2020-07-06,98
2020-07-13,77
2020-07-20,67
2020-07-27,59
