date,index
2016-08-29,0
2016-09-05,0
2016-09-12,0
2016-09-19,0
2016-09-26,0
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,0
2016-11-07,0
2016-11-14,0
2016-11-21,0
2016-11-28,0
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,0
2017-01-02,0
2017-01-09,0
2017-01-16,0
2017-01-23,0
2017-01-30,0
2017-02-06,0
2017-02-13,0
2017-02-20,8
2017-03-06,8
2017-03-13,8
2017-03-20,0
2017-03-27,0
2017-04-03,0
2017-04-10,8
2017-04-17,17
2017-04-24,17
2017-05-01,8
2017-05-08,17
2017-05-15,0
2017-05-22,8
2017-05-29,8
2017-06-05,25
2017-06-12,8
2017-06-19,0
2017-06-26,8
2017-07-03,8
2017-07-10,9
2017-07-17,0
2017-07-24,8
2017-07-31,8
2017-08-07,16
2017-08-14,0
2017-08-21,8
2017-08-28,8
2017-09-04,0
2017-09-11,8
2017-09-18,16
2017-09-25,16
2017-10-02,33
2017-10-09,74
2017-10-16,25
2017-10-23,50
2017-10-30,17
2017-11-06,33
2017-11-13,8
2017-11-20,0
2017-11-27,9
2017-12-04,49
2017-12-11,9
2017-12-18,0
2017-12-25,16
2018-01-01,8
2018-01-08,25
2018-01-15,33
2018-01-22,24
2018-01-29,16
2018-02-05,0
2018-02-12,16
2018-02-19,16
2018-03-05,8
2018-03-12,0
2018-03-19,8
2018-03-26,8
2018-04-02,0
2018-04-09,16
2018-04-16,26
2018-04-23,17
2018-04-30,16
2018-05-07,0
2018-05-14,16
2018-05-21,8
2018-05-28,17
2018-06-04,16
2018-06-11,8
2018-06-18,0
2018-06-25,16
2018-07-02,8
2018-07-09,8
2018-07-16,33
2018-07-23,16
2018-07-30,33
2018-08-06,8
2018-08-13,8
2018-08-20,9
2018-08-27,16
2018-09-03,16
2018-09-10,17
2018-09-17,25
2018-09-24,8
2018-10-01,33
2018-10-08,25
2018-10-15,58
2018-10-22,62
2018-10-29,50
2018-11-05,41
2018-11-12,17
2018-11-19,8
2018-11-26,24
2018-12-03,16
2018-12-10,42
2018-12-17,8
2018-12-24,33
2018-12-31,8
2019-01-07,8
2019-01-14,0
2019-01-21,0
2019-01-28,33
2019-02-04,16
2019-02-11,8
2019-02-18,33
2019-03-04,16
2019-03-11,16
2019-03-18,33
2019-03-25,8
2019-04-01,24
2019-04-08,16
2019-04-15,8
2019-04-22,24
2019-04-29,25
2019-05-06,0
2019-05-13,41
2019-05-20,49
2019-05-27,77
2019-06-03,89
2019-06-10,76
2019-06-17,59
2019-06-24,59
2019-07-01,66
2019-07-08,33
2019-07-15,33
2019-07-22,24
2019-07-29,41
2019-08-05,34
2019-08-12,33
2019-08-19,64
2019-08-26,33
2019-09-02,41
2019-09-09,49
2019-09-16,59
2019-09-23,8
2019-09-30,8
2019-10-07,41
2019-10-14,25
2019-10-21,66
2019-10-28,59
2019-11-04,41
2019-11-11,42
2019-11-18,8
2019-11-25,51
2019-12-02,41
2019-12-09,16
2019-12-16,24
2019-12-23,41
2019-12-30,33
2020-01-06,0
2020-01-13,8
2020-01-20,16
2020-01-27,24
2020-02-03,33
2020-02-10,33
2020-02-17,41
2020-03-02,41
2020-03-09,33
2020-03-16,8
2020-03-23,41
2020-03-30,33
2020-04-06,75
2020-04-13,34
2020-04-20,16
2020-04-27,33
2020-05-04,41
2020-05-11,42
2020-05-18,49
2020-05-25,25
2020-06-01,49
2020-06-08,33
2020-06-15,16
2020-06-22,41
2020-06-29,60
2020-07-06,41
2020-07-13,41
2020-07-20,49
2020-07-27,34
