date,index
2016-08-29,0
2016-09-05,0
2016-09-12,0
2016-09-19,0
2016-09-26,0
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,0
2016-11-07,0
2016-11-14,0
2016-11-21,0
2016-11-28,0
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,0
2017-01-02,0
2017-01-09,0
2017-01-16,0
2017-01-23,0
2017-01-30,0
2017-02-06,0
2017-02-13,36
2017-02-20,33
2017-03-06,8
2017-03-13,52
2017-03-20,52
2017-03-27,16
2017-04-03,34
2017-04-10,42
2017-04-17,73
2017-04-24,63
2017-05-01,51
2017-05-08,60
2017-05-15,62
2017-05-22,62
2017-05-29,64
2017-06-05,77
2017-06-12,26
2017-06-19,62
2017-06-26,56
2017-07-03,43
2017-07-10,51
2017-07-17,52
2017-07-24,41
2017-07-31,36
2017-08-07,43
2017-08-14,41
2017-08-21,33
2017-08-28,43
2017-09-04,64
2017-09-11,119
2017-09-18,95
2017-09-25,52
2017-10-02,138
2017-10-09,138
2017-10-16,148
2017-10-23,132
2017-10-30,122
2017-11-06,98
2017-11-13,117
2017-11-20,122
2017-11-27,139
2017-12-04,134
2017-12-11,120
2017-12-18,129
2017-12-25,142
2018-01-01,138
2018-01-08,147
2018-01-15,122
2018-01-22,134
2018-01-29,48
2018-02-05,80
2018-02-12,138
2018-02-19,138
2018-03-05,146
2018-03-12,129
2018-03-19,101
2018-03-26,100
2018-04-02,118
2018-04-09,123
2018-04-16,136
2018-04-23,124
2018-04-30,146
2018-05-07,128
2018-05-14,135
2018-05-21,138
2018-05-28,123
2018-06-04,113
2018-06-11,103
2018-06-18,115
2018-06-25,124
2018-07-02,123
2018-07-09,137
2018-07-16,114
2018-07-23,127
2018-07-30,132
2018-08-06,137
2018-08-13,140
2018-08-20,135
2018-08-27,126
2018-09-03,138
2018-09-10,111
2018-09-17,137
2018-09-24,92
2018-10-01,189
2018-10-08,189
2018-10-15,172
2018-10-22,192
2018-10-29,179
2018-11-05,152
2018-11-12,132
2018-11-19,148
2018-11-26,142
2018-12-03,138
2018-12-10,152
2018-12-17,131
2018-12-24,171
2018-12-31,194
2019-01-07,192
2019-01-14,171
2019-01-21,107
2019-01-28,163
2019-02-04,155
2019-02-11,164
2019-02-18,154
2019-03-04,159
2019-03-11,182
2019-03-18,260
2019-03-25,142
2019-04-01,168
2019-04-08,159
2019-04-15,168
2019-04-22,117
2019-04-29,154
2019-05-06,129
2019-05-13,193
2019-05-20,196
2019-05-27,413
2019-06-03,613
2019-06-10,403
2019-06-17,296
2019-06-24,303
2019-07-01,258
2019-07-08,241
2019-07-15,256
2019-07-22,243
2019-07-29,202
2019-08-05,295
2019-08-12,218
2019-08-19,360
2019-08-26,231
2019-09-02,178
2019-09-09,200
2019-09-16,206
2019-09-23,146
2019-09-30,318
2019-10-07,278
2019-10-14,330
2019-10-21,319
2019-10-28,242
2019-11-04,231
2019-11-11,225
2019-11-18,212
2019-11-25,219
2019-12-02,213
2019-12-09,208
2019-12-16,217
2019-12-23,293
2019-12-30,237
2020-01-06,165
2020-01-13,162
2020-01-20,191
2020-01-27,233
2020-02-03,232
2020-02-10,251
2020-02-17,236
2020-03-02,237
2020-03-09,247
2020-03-16,216
2020-03-23,231
2020-03-30,260
2020-04-06,264
2020-04-13,249
2020-04-20,215
2020-04-27,214
2020-05-04,233
2020-05-11,221
2020-05-18,223
2020-05-25,249
2020-06-01,217
2020-06-08,202
2020-06-15,194
2020-06-22,195
2020-06-29,239
2020-07-06,234
2020-07-13,213
2020-07-20,221
2020-07-27,200
