date,index
2016-08-29,0
2016-09-05,0
2016-09-12,0
2016-09-19,0
2016-09-26,0
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,0
2016-11-07,0
2016-11-14,0
2016-11-21,0
2016-11-28,0
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,0
2017-01-02,0
2017-01-09,0
2017-01-16,0
2017-01-23,0
2017-01-30,0
2017-02-06,0
2017-02-13,24
2017-02-20,9
2017-03-06,0
2017-03-13,8
2017-03-20,27
2017-03-27,24
2017-04-03,8
2017-04-10,25
2017-04-17,25
2017-04-24,8
2017-05-01,24
2017-05-08,8
2017-05-15,0
2017-05-22,16
2017-05-29,17
2017-06-05,57
2017-06-12,16
2017-06-19,0
2017-06-26,33
2017-07-03,24
2017-07-10,0
2017-07-17,16
2017-07-24,0
2017-07-31,17
2017-08-07,8
2017-08-14,8
2017-08-21,17
2017-08-28,17
2017-09-04,0
2017-09-11,17
2017-09-18,35
2017-09-25,16
2017-10-02,50
2017-10-09,41
2017-10-16,41
2017-10-23,42
2017-10-30,28
2017-11-06,25
2017-11-13,8
2017-11-20,8
2017-11-27,58
2017-12-04,58
2017-12-11,8
2017-12-18,25
2017-12-25,17
2018-01-01,49
2018-01-08,33
2018-01-15,33
2018-01-22,25
2018-01-29,16
2018-02-05,17
2018-02-12,24
2018-02-19,49
2018-03-05,27
2018-03-12,25
2018-03-19,34
2018-03-26,16
2018-04-02,18
2018-04-09,0
2018-04-16,42
2018-04-23,8
2018-04-30,41
2018-05-07,33
2018-05-14,33
2018-05-21,16
2018-05-28,33
2018-06-04,33
2018-06-11,33
2018-06-18,41
2018-06-25,33
2018-07-02,16
2018-07-09,41
2018-07-16,25
2018-07-23,24
2018-07-30,50
2018-08-06,50
2018-08-13,33
2018-08-20,25
2018-08-27,42
2018-09-03,59
2018-09-10,42
2018-09-17,50
2018-09-24,9
2018-10-01,42
2018-10-08,49
2018-10-15,42
2018-10-22,79
2018-10-29,99
2018-11-05,41
2018-11-12,25
2018-11-19,24
2018-11-26,42
2018-12-03,24
2018-12-10,25
2018-12-17,25
2018-12-24,25
2018-12-31,67
2019-01-07,49
2019-01-14,49
2019-01-21,0
2019-01-28,26
2019-02-04,34
2019-02-11,33
2019-02-18,33
2019-03-04,25
2019-03-11,33
2019-03-18,8
2019-03-25,25
2019-04-01,33
2019-04-08,41
2019-04-15,58
2019-04-22,50
2019-04-29,50
2019-05-06,58
2019-05-13,50
2019-05-20,61
2019-05-27,84
2019-06-03,146
2019-06-10,120
2019-06-17,120
2019-06-24,115
2019-07-01,70
2019-07-08,84
2019-07-15,58
2019-07-22,51
2019-07-29,50
2019-08-05,58
2019-08-12,68
2019-08-19,97
2019-08-26,67
2019-09-02,25
2019-09-09,42
2019-09-16,66
2019-09-23,25
2019-09-30,58
2019-10-07,51
2019-10-14,83
2019-10-21,94
2019-10-28,41
2019-11-04,58
2019-11-11,66
2019-11-18,41
2019-11-25,58
2019-12-02,34
2019-12-09,24
2019-12-16,58
2019-12-23,58
2019-12-30,41
2020-01-06,0
2020-01-13,33
2020-01-20,0
2020-01-27,33
2020-02-03,33
2020-02-10,25
2020-02-17,33
2020-03-02,25
2020-03-09,42
2020-03-16,50
2020-03-23,83
2020-03-30,103
2020-04-06,59
2020-04-13,26
2020-04-20,50
2020-04-27,50
2020-05-04,58
2020-05-11,74
2020-05-18,76
2020-05-25,66
2020-06-01,65
2020-06-08,33
2020-06-15,33
2020-06-22,8
2020-06-29,62
2020-07-06,50
2020-07-13,33
2020-07-20,41
2020-07-27,25
