date,index
2016-08-29,0
2016-09-05,0
2016-09-12,0
2016-09-19,0
2016-09-26,0
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,0
2016-11-07,0
2016-11-14,0
2016-11-21,0
2016-11-28,0
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,0
2017-01-02,0
2017-01-09,0
2017-01-16,0
2017-01-23,0
2017-01-30,0
2017-02-06,0
2017-02-13,8
2017-02-20,8
2017-03-06,0
2017-03-13,16
2017-03-20,9
2017-03-27,8
2017-04-03,16
2017-04-10,0
2017-04-17,17
2017-04-24,25
2017-05-01,8
2017-05-08,8
2017-05-15,16
2017-05-22,0
2017-05-29,0
2017-06-05,26
2017-06-12,8
2017-06-19,0
2017-06-26,0
2017-07-03,0
2017-07-10,8
2017-07-17,0
2017-07-24,0
2017-07-31,8
2017-08-07,0
2017-08-14,0
2017-08-21,0
2017-08-28,16
2017-09-04,0
2017-09-11,16
2017-09-18,8
2017-09-25,33
2017-10-02,16
2017-10-09,25
2017-10-16,16
2017-10-23,34
2017-10-30,16
2017-11-06,24
2017-11-13,16
2017-11-20,8
2017-11-27,42
2017-12-04,16
2017-12-11,0
2017-12-18,0
2017-12-25,0
2018-01-01,24
2018-01-08,33
2018-01-15,50
2018-01-22,33
2018-01-29,16
2018-02-05,8
2018-02-12,8
2018-02-19,8
2018-03-05,16
2018-03-12,26
2018-03-19,41
2018-03-26,8
2018-04-02,24
2018-04-09,8
2018-04-16,33
2018-04-23,0
2018-04-30,25
2018-05-07,16
2018-05-14,0
2018-05-21,17
2018-05-28,24
2018-06-04,16
2018-06-11,25
2018-06-18,8
2018-06-25,26
2018-07-02,0
2018-07-09,0
2018-07-16,9
2018-07-23,24
2018-07-30,16
2018-08-06,41
2018-08-13,33
2018-08-20,25
2018-08-27,24
2018-09-03,0
2018-09-10,50
2018-09-17,33
2018-09-24,8
2018-10-01,16
2018-10-08,8
2018-10-15,41
2018-10-22,55
2018-10-29,42
2018-11-05,43
2018-11-12,27
2018-11-19,8
2018-11-26,0
2018-12-03,24
2018-12-10,25
2018-12-17,0
2018-12-24,25
2018-12-31,24
2019-01-07,8
2019-01-14,17
2019-01-21,0
2019-01-28,33
2019-02-04,8
2019-02-11,16
2019-02-18,24
2019-03-04,0
2019-03-11,8
2019-03-18,41
2019-03-25,33
2019-04-01,42
2019-04-08,34
2019-04-15,24
2019-04-22,34
2019-04-29,17
2019-05-06,16
2019-05-13,24
2019-05-20,41
2019-05-27,50
2019-06-03,121
2019-06-10,80
2019-06-17,84
2019-06-24,75
2019-07-01,49
2019-07-08,68
2019-07-15,24
2019-07-22,33
2019-07-29,50
2019-08-05,50
2019-08-12,42
2019-08-19,104
2019-08-26,51
2019-09-02,49
2019-09-09,33
2019-09-16,41
2019-09-23,16
2019-09-30,33
2019-10-07,17
2019-10-14,74
2019-10-21,42
2019-10-28,58
2019-11-04,27
2019-11-11,67
2019-11-18,57
2019-11-25,43
2019-12-02,8
2019-12-09,34
2019-12-16,33
2019-12-23,59
2019-12-30,24
2020-01-06,0
2020-01-13,0
2020-01-20,25
2020-01-27,33
2020-02-03,24
2020-02-10,16
2020-02-17,9
2020-03-02,0
2020-03-09,16
2020-03-16,33
2020-03-23,42
2020-03-30,75
2020-04-06,58
2020-04-13,49
2020-04-20,58
2020-04-27,33
2020-05-04,16
2020-05-11,75
2020-05-18,16
2020-05-25,17
2020-06-01,8
2020-06-08,25
2020-06-15,25
2020-06-22,0
2020-06-29,35
2020-07-06,25
2020-07-13,66
2020-07-20,16
2020-07-27,16
