date,index
2016-08-29,267
2016-09-05,291
2016-09-12,252
2016-09-19,263
2016-09-26,263
2016-10-03,260
2016-10-10,250
2016-10-17,260
2016-10-24,264
2016-10-31,258
2016-11-07,254
2016-11-14,253
2016-11-21,268
2016-11-28,263
2016-12-05,261
2016-12-12,272
2016-12-19,261
2016-12-26,286
2017-01-02,303
2017-01-09,267
2017-01-16,260
2017-01-23,287
2017-01-30,308
2017-02-06,273
2017-02-13,313
2017-02-20,321
2017-03-06,283
2017-03-13,259
2017-03-20,260
2017-03-27,259
2017-04-03,242
2017-04-10,242
2017-04-17,258
2017-04-24,248
2017-05-01,246
2017-05-08,253
2017-05-15,258
2017-05-22,250
2017-05-29,251
2017-06-05,305
2017-06-12,238
2017-06-19,865
2017-06-26,488
2017-07-03,293
2017-07-10,319
2017-07-17,268
2017-07-24,262
2017-07-31,257
2017-08-07,264
2017-08-14,278
2017-08-21,268
2017-08-28,275
2017-09-04,269
2017-09-11,270
2017-09-18,264
2017-09-25,236
2017-10-02,254
2017-10-09,262
2017-10-16,264
2017-10-23,301
2017-10-30,245
2017-11-06,317
2017-11-13,263
2017-11-20,253
2017-11-27,258
2017-12-04,252
2017-12-11,251
2017-12-18,248
2017-12-25,255
2018-01-01,290
2018-01-08,276
2018-01-15,287
2018-01-22,290
2018-01-29,234
2018-02-05,221
2018-02-12,249
2018-02-19,243
2018-03-05,247
2018-03-12,238
2018-03-19,250
2018-03-26,233
2018-04-02,239
2018-04-09,235
2018-04-16,266
2018-04-23,257
2018-04-30,242
2018-05-07,226
2018-05-14,223
2018-05-21,236
2018-05-28,244
2018-06-04,290
2018-06-11,222
2018-06-18,233
2018-06-25,232
2018-07-02,245
2018-07-09,251
2018-07-16,228
2018-07-23,241
2018-07-30,237
2018-08-06,256
2018-08-13,252
2018-08-20,462
2018-08-27,252
2018-09-03,292
2018-09-10,245
2018-09-17,248
2018-09-24,209
2018-10-01,224
2018-10-08,201
2018-10-15,229
2018-10-22,273
2018-10-29,222
2018-11-05,224
2018-11-12,208
2018-11-19,219
2018-11-26,301
2018-12-03,257
2018-12-10,247
2018-12-17,215
2018-12-24,206
2018-12-31,226
2019-01-07,223
2019-01-14,236
2019-01-21,188
2019-01-28,232
2019-02-04,235
2019-02-11,226
2019-02-18,224
2019-03-04,216
2019-03-11,201
2019-03-18,194
2019-03-25,196
2019-04-01,208
2019-04-08,218
2019-04-15,206
2019-04-22,204
2019-04-29,201
2019-05-06,205
2019-05-13,205
2019-05-20,201
2019-05-27,187
2019-06-03,231
2019-06-10,201
2019-06-17,201
2019-06-24,195
2019-07-01,195
2019-07-08,182
2019-07-15,231
2019-07-22,248
