date,index
2016-08-29,244
2016-09-05,254
2016-09-12,237
2016-09-19,242
2016-09-26,246
2016-10-03,238
2016-10-10,230
2016-10-17,247
2016-10-24,238
2016-10-31,224
2016-11-07,215
2016-11-14,222
2016-11-21,227
2016-11-28,230
2016-12-05,226
2016-12-12,232
2016-12-19,232
2016-12-26,241
2017-01-02,262
2017-01-09,230
2017-01-16,240
2017-01-23,256
2017-01-30,259
2017-02-06,245
2017-02-13,239
2017-02-20,277
2017-03-06,222
2017-03-13,210
2017-03-20,197
2017-03-27,202
2017-04-03,192
2017-04-10,188
2017-04-17,190
2017-04-24,187
2017-05-01,200
2017-05-08,213
2017-05-15,213
2017-05-22,224
2017-05-29,213
2017-06-05,297
2017-06-12,230
2017-06-19,261
2017-06-26,249
2017-07-03,248
2017-07-10,229
2017-07-17,227
2017-07-24,221
2017-07-31,220
2017-08-07,221
2017-08-14,218
2017-08-21,224
2017-08-28,210
2017-09-04,205
2017-09-11,219
2017-09-18,231
2017-09-25,213
2017-10-02,210
2017-10-09,208
2017-10-16,206
2017-10-23,239
2017-10-30,198
2017-11-06,257
2017-11-13,209
2017-11-20,210
2017-11-27,199
2017-12-04,190
2017-12-11,190
2017-12-18,203
2017-12-25,197
2018-01-01,220
2018-01-08,220
2018-01-15,224
2018-01-22,223
2018-01-29,215
2018-02-05,201
2018-02-12,214
2018-02-19,222
2018-03-05,215
2018-03-12,219
2018-03-19,214
2018-03-26,194
2018-04-02,190
2018-04-09,185
2018-04-16,201
2018-04-23,189
2018-04-30,202
2018-05-07,189
2018-05-14,197
2018-05-21,198
2018-05-28,197
2018-06-04,228
2018-06-11,197
2018-06-18,196
2018-06-25,212
2018-07-02,218
2018-07-09,220
2018-07-16,196
2018-07-23,202
2018-07-30,195
2018-08-06,202
2018-08-13,214
2018-08-20,203
2018-08-27,214
2018-09-03,236
2018-09-10,222
2018-09-17,210
2018-09-24,205
2018-10-01,206
2018-10-08,184
2018-10-15,202
2018-10-22,236
2018-10-29,193
2018-11-05,201
2018-11-12,195
2018-11-19,193
2018-11-26,234
2018-12-03,199
2018-12-10,176
2018-12-17,193
2018-12-24,187
2018-12-31,183
2019-01-07,195
2019-01-14,199
2019-01-21,146
2019-01-28,187
2019-02-04,196
2019-02-11,188
2019-02-18,190
2019-03-04,175
2019-03-11,174
2019-03-18,176
2019-03-25,164
2019-04-01,171
2019-04-08,188
2019-04-15,185
2019-04-22,199
2019-04-29,169
2019-05-06,182
2019-05-13,181
2019-05-20,182
2019-05-27,165
2019-06-03,190
2019-06-10,180
2019-06-17,194
2019-06-24,173
2019-07-01,175
2019-07-08,180
2019-07-15,184
2019-07-22,166
2019-07-29,176
2019-08-05,195
2019-08-12,181
2019-08-19,183
2019-08-26,177
2019-09-02,174
2019-09-09,169
2019-09-16,159
2019-09-23,171
2019-09-30,170
2019-10-07,163
2019-10-14,181
2019-10-21,216
2019-10-28,165
2019-11-04,164
2019-11-11,177
2019-11-18,174
2019-11-25,159
2019-12-02,162
2019-12-09,159
2019-12-16,173
2019-12-23,172
2019-12-30,164
2020-01-06,156
2020-01-13,146
2020-01-20,174
2020-01-27,150
2020-02-03,126
2020-02-10,156
2020-02-17,165
2020-03-02,161
2020-03-09,166
2020-03-16,176
2020-03-23,165
2020-03-30,176
2020-04-06,169
2020-04-13,164
2020-04-20,176
2020-04-27,167
2020-05-04,181
2020-05-11,179
2020-05-18,161
2020-05-25,164
2020-06-01,173
2020-06-08,168
2020-06-15,164
2020-06-22,160
2020-06-29,171
2020-07-06,178
2020-07-13,165
2020-07-20,172
2020-07-27,180
2020-08-03,169
2020-08-10,180
2020-08-17,179
2020-08-24,178
2020-08-31,180
2020-09-07,184
2020-09-14,177
2020-09-21,177
2020-09-28,174
2020-10-05,171
2020-10-12,203
2020-10-19,176
2020-10-26,187
2020-11-02,162
2020-11-09,164
2020-11-16,169
2020-11-23,165
2020-11-30,165
2020-12-07,164
2020-12-14,159
2020-12-21,160
2020-12-28,160
2021-01-04,158
2021-01-11,164
2021-01-18,173
2021-01-25,164
2021-02-01,152
2021-02-08,171
2021-02-15,165
2021-02-22,176
2021-03-08,171
2021-03-15,164
2021-03-22,168
2021-03-29,169
2021-04-05,156
2021-04-12,160
2021-04-19,148
2021-04-26,153
2021-05-03,162
2021-05-10,157
2021-05-17,149
2021-05-24,159
2021-05-31,167
2021-06-07,160
2021-06-14,151
2021-06-21,143
2021-06-28,137
2021-07-05,152
2021-07-12,154
2021-07-19,140
2021-07-26,158
2021-08-02,144
2021-08-09,159
2021-08-16,149
2021-08-23,168
2021-08-30,168
2021-09-06,169
2021-09-13,159
2021-09-20,144
2021-09-27,141
2021-10-04,160
2021-10-11,149
2021-10-18,130
2021-10-25,139
2021-11-01,141
2021-11-08,144
2021-11-15,136
2021-11-22,147
2021-11-29,147
2021-12-06,146
2021-12-13,163
2021-12-20,160
2021-12-27,147
2022-01-03,168
2022-01-10,175
2022-01-17,182
2022-01-24,176
2022-01-31,172
2022-02-07,166
2022-02-14,148
2022-02-21,182
2022-03-07,192
2022-03-14,218
2022-03-21,215
2022-03-28,199
2022-04-04,193
2022-04-11,184
2022-04-18,168
2022-04-25,186
2022-05-02,167
2022-05-09,159
2022-05-16,167
2022-05-23,162
2022-05-30,148
2022-06-06,162
2022-06-13,141
2022-06-20,151
2022-06-27,165
2022-07-04,160
2022-07-11,156
2022-07-18,145
2022-07-25,144
2022-08-01,160
2022-08-08,143
2022-08-15,165
2022-08-22,149
2022-08-29,149
2022-09-05,145
2022-09-12,150
2022-09-19,146
2022-09-26,140
2022-10-03,147
2022-10-10,149
2022-10-17,148
2022-10-24,157
2022-10-31,148
2022-11-07,135
2022-11-14,142
2022-11-21,146
2022-11-28,129
2022-12-05,127
2022-12-12,142
2022-12-19,153
