date,index
2016-08-29,153
2016-09-05,160
2016-09-12,153
2016-09-19,143
2016-09-26,142
2016-10-03,134
2016-10-10,147
2016-10-17,154
2016-10-24,129
2016-10-31,147
2016-11-07,142
2016-11-14,139
2016-11-21,148
2016-11-28,147
2016-12-05,150
2016-12-12,157
2016-12-19,127
2016-12-26,136
2017-01-02,138
2017-01-09,143
2017-01-16,155
2017-01-23,160
2017-01-30,151
2017-02-06,146
2017-02-13,149
2017-02-20,164
2017-03-06,155
2017-03-13,146
2017-03-20,149
2017-03-27,148
2017-04-03,148
2017-04-10,136
2017-04-17,132
2017-04-24,130
2017-05-01,142
2017-05-08,144
2017-05-15,137
2017-05-22,142
2017-05-29,131
2017-06-05,154
2017-06-12,150
2017-06-19,213
2017-06-26,188
2017-07-03,163
2017-07-10,161
2017-07-17,147
2017-07-24,151
2017-07-31,144
2017-08-07,151
2017-08-14,155
2017-08-21,148
2017-08-28,149
2017-09-04,149
2017-09-11,144
2017-09-18,136
2017-09-25,111
2017-10-02,142
2017-10-09,143
2017-10-16,140
2017-10-23,126
2017-10-30,142
2017-11-06,149
2017-11-13,140
2017-11-20,145
2017-11-27,136
2017-12-04,138
2017-12-11,130
2017-12-18,134
2017-12-25,134
2018-01-01,154
2018-01-08,141
2018-01-15,147
2018-01-22,142
2018-01-29,111
2018-02-05,149
2018-02-12,136
2018-02-19,147
2018-03-05,153
2018-03-12,143
2018-03-19,141
2018-03-26,127
2018-04-02,137
2018-04-09,128
2018-04-16,138
2018-04-23,120
2018-04-30,128
2018-05-07,131
2018-05-14,131
2018-05-21,128
2018-05-28,167
2018-06-04,145
2018-06-11,136
2018-06-18,141
2018-06-25,142
2018-07-02,144
2018-07-09,146
2018-07-16,144
2018-07-23,144
2018-07-30,145
2018-08-06,135
2018-08-13,171
2018-08-20,151
2018-08-27,171
2018-09-03,170
2018-09-10,151
2018-09-17,154
2018-09-24,127
2018-10-01,145
2018-10-08,132
2018-10-15,140
2018-10-22,144
2018-10-29,140
2018-11-05,129
2018-11-12,132
2018-11-19,139
2018-11-26,142
2018-12-03,134
2018-12-10,122
2018-12-17,111
2018-12-24,114
2018-12-31,135
2019-01-07,131
2019-01-14,134
2019-01-21,110
2019-01-28,154
2019-02-04,142
2019-02-11,134
2019-02-18,143
2019-03-04,132
2019-03-11,117
2019-03-18,140
2019-03-25,121
2019-04-01,140
2019-04-08,133
2019-04-15,144
2019-04-22,132
2019-04-29,143
2019-05-06,150
2019-05-13,134
2019-05-20,134
2019-05-27,143
2019-06-03,142
2019-06-10,143
2019-06-17,136
2019-06-24,139
2019-07-01,145
2019-07-08,131
2019-07-15,147
2019-07-22,122
2019-07-29,136
2019-08-05,145
2019-08-12,128
2019-08-19,137
2019-08-26,136
2019-09-02,143
2019-09-09,143
2019-09-16,134
2019-09-23,92
2019-09-30,151
2019-10-07,131
2019-10-14,129
2019-10-21,144
2019-10-28,141
2019-11-04,142
2019-11-11,145
2019-11-18,146
2019-11-25,121
2019-12-02,129
2019-12-09,127
2019-12-16,129
2019-12-23,132
2019-12-30,142
2020-01-06,94
2020-01-13,102
2020-01-20,115
2020-01-27,99
2020-02-03,111
2020-02-10,135
2020-02-17,119
2020-03-02,125
2020-03-09,122
2020-03-16,136
2020-03-23,129
2020-03-30,140
2020-04-06,138
2020-04-13,139
2020-04-20,143
2020-04-27,134
2020-05-04,141
2020-05-11,138
2020-05-18,125
2020-05-25,137
2020-06-01,149
2020-06-08,150
2020-06-15,125
2020-06-22,142
2020-06-29,132
2020-07-06,134
2020-07-13,134
2020-07-20,141
2020-07-27,138
2020-08-03,132
2020-08-10,130
2020-08-17,135
2020-08-24,141
2020-08-31,145
2020-09-07,145
2020-09-14,159
2020-09-21,133
2020-09-28,133
2020-10-05,149
2020-10-12,159
2020-10-19,147
2020-10-26,148
2020-11-02,143
2020-11-09,145
2020-11-16,146
2020-11-23,144
2020-11-30,150
2020-12-07,140
2020-12-14,143
2020-12-21,134
2020-12-28,133
2021-01-04,130
2021-01-11,148
2021-01-18,146
2021-01-25,143
2021-02-01,158
2021-02-08,149
2021-02-15,158
2021-02-22,143
2021-03-08,132
2021-03-15,143
2021-03-22,130
2021-03-29,147
2021-04-05,134
2021-04-12,140
2021-04-19,150
2021-04-26,149
2021-05-03,137
