date,index
2016-08-29,181
2016-09-05,169
2016-09-12,168
2016-09-19,162
2016-09-26,165
2016-10-03,173
2016-10-10,169
2016-10-17,163
2016-10-24,139
2016-10-31,162
2016-11-07,161
2016-11-14,156
2016-11-21,166
2016-11-28,157
2016-12-05,167
2016-12-12,165
2016-12-19,162
2016-12-26,153
2017-01-02,157
2017-01-09,133
2017-01-16,157
2017-01-23,167
2017-01-30,182
2017-02-06,167
2017-02-13,192
2017-02-20,188
2017-03-06,183
2017-03-13,165
2017-03-20,171
2017-03-27,147
2017-04-03,167
2017-04-10,162
2017-04-17,161
2017-04-24,166
2017-05-01,168
2017-05-08,165
2017-05-15,166
2017-05-22,159
2017-05-29,163
2017-06-05,198
2017-06-12,202
2017-06-19,681
2017-06-26,411
2017-07-03,192
2017-07-10,221
2017-07-17,174
2017-07-24,170
2017-07-31,173
2017-08-07,166
2017-08-14,170
2017-08-21,162
2017-08-28,160
2017-09-04,155
2017-09-11,152
2017-09-18,149
2017-09-25,138
2017-10-02,158
2017-10-09,166
2017-10-16,159
2017-10-23,155
2017-10-30,154
2017-11-06,205
2017-11-13,156
2017-11-20,157
2017-11-27,156
2017-12-04,149
2017-12-11,147
2017-12-18,137
2017-12-25,150
2018-01-01,162
2018-01-08,154
2018-01-15,150
2018-01-22,133
2018-01-29,105
2018-02-05,130
2018-02-12,152
2018-02-19,158
2018-03-05,159
2018-03-12,158
2018-03-19,157
2018-03-26,142
2018-04-02,156
2018-04-09,169
2018-04-16,156
2018-04-23,147
2018-04-30,147
2018-05-07,146
2018-05-14,144
2018-05-21,150
2018-05-28,150
2018-06-04,154
2018-06-11,145
2018-06-18,149
2018-06-25,149
2018-07-02,151
2018-07-09,158
2018-07-16,149
2018-07-23,148
2018-07-30,152
2018-08-06,151
2018-08-13,177
2018-08-20,165
2018-08-27,160
2018-09-03,195
2018-09-10,143
2018-09-17,152
2018-09-24,133
2018-10-01,138
2018-10-08,142
2018-10-15,157
2018-10-22,159
2018-10-29,159
2018-11-05,157
2018-11-12,147
2018-11-19,148
2018-11-26,179
2018-12-03,146
2018-12-10,145
2018-12-17,133
2018-12-24,145
2018-12-31,147
2019-01-07,146
2019-01-14,137
2019-01-21,97
2019-01-28,143
2019-02-04,146
2019-02-11,156
2019-02-18,151
2019-03-04,145
2019-03-11,147
2019-03-18,140
2019-03-25,128
2019-04-01,152
2019-04-08,147
2019-04-15,146
2019-04-22,140
2019-04-29,143
2019-05-06,142
2019-05-13,139
2019-05-20,138
2019-05-27,144
2019-06-03,143
2019-06-10,138
2019-06-17,138
2019-06-24,142
2019-07-01,126
2019-07-08,137
2019-07-15,141
2019-07-22,129
2019-07-29,142
2019-08-05,141
2019-08-12,139
2019-08-19,138
2019-08-26,120
2019-09-02,109
2019-09-09,135
2019-09-16,135
2019-09-23,114
2019-09-30,145
2019-10-07,122
2019-10-14,144
2019-10-21,139
2019-10-28,136
2019-11-04,139
2019-11-11,150
2019-11-18,141
2019-11-25,130
2019-12-02,126
2019-12-09,124
2019-12-16,121
2019-12-23,137
2019-12-30,130
2020-01-06,86
2020-01-13,86
2020-01-20,104
2020-01-27,114
2020-02-03,101
2020-02-10,117
2020-02-17,108
2020-03-02,124
2020-03-09,136
2020-03-16,138
2020-03-23,126
2020-03-30,130
2020-04-06,137
2020-04-13,132
2020-04-20,118
2020-04-27,139
2020-05-04,137
2020-05-11,135
2020-05-18,134
2020-05-25,139
2020-06-01,135
2020-06-08,122
2020-06-15,117
2020-06-22,128
2020-06-29,133
2020-07-06,123
2020-07-13,135
2020-07-20,135
2020-07-27,128
2020-08-03,139
2020-08-10,139
2020-08-17,135
2020-08-24,124
2020-08-31,136
2020-09-07,123
2020-09-14,141
2020-09-21,142
2020-09-28,130
2020-10-05,127
2020-10-12,161
2020-10-19,140
2020-10-26,140
2020-11-02,148
2020-11-09,139
2020-11-16,142
2020-11-23,134
2020-11-30,142
2020-12-07,141
2020-12-14,137
2020-12-21,139
2020-12-28,132
2021-01-04,133
2021-01-11,134
2021-01-18,137
2021-01-25,101
2021-02-01,119
2021-02-08,137
2021-02-15,145
2021-02-22,145
2021-03-08,132
2021-03-15,143
2021-03-22,139
2021-03-29,130
2021-04-05,128
2021-04-12,136
2021-04-19,104
2021-04-26,124
2021-05-03,134
2021-05-10,132
2021-05-17,128
2021-05-24,92
2021-05-31,114
2021-06-07,125
2021-06-14,121
2021-06-21,128
2021-06-28,113
2021-07-05,123
2021-07-12,124
2021-07-19,102
2021-07-26,138
2021-08-02,137
2021-08-09,132
2021-08-16,120
2021-08-23,131
2021-08-30,130
2021-09-06,131
2021-09-13,124
2021-09-20,130
2021-09-27,111
2021-10-04,134
2021-10-11,112
2021-10-18,117
2021-10-25,128
2021-11-01,104
2021-11-08,117
2021-11-15,130
2021-11-22,121
2021-11-29,123
2021-12-06,110
2021-12-13,111
2021-12-20,118
2021-12-27,120
2022-01-03,111
2022-01-10,117
2022-01-17,80
2022-01-24,125
2022-01-31,129
2022-02-07,138
2022-02-14,137
2022-02-21,140
2022-03-07,124
2022-03-14,106
2022-03-21,126
2022-03-28,133
2022-04-04,135
2022-04-11,135
2022-04-18,134
2022-04-25,123
2022-05-02,125
2022-05-09,130
2022-05-16,121
2022-05-23,130
2022-05-30,136
2022-06-06,133
2022-06-13,139
2022-06-20,134
2022-06-27,135
2022-07-04,133
2022-07-11,135
2022-07-18,121
2022-07-25,118
2022-08-01,134
2022-08-08,137
2022-08-15,132
2022-08-22,131
2022-08-29,121
2022-09-05,119
2022-09-12,130
2022-09-19,131
2022-09-26,131
2022-10-03,131
2022-10-10,124
2022-10-17,130
2022-10-24,122
2022-10-31,132
2022-11-07,123
2022-11-14,129
2022-11-21,126
2022-11-28,110
2022-12-05,106
2022-12-12,110
2022-12-19,117
2022-12-26,114
2023-01-02,81
2023-01-09,109
2023-01-16,129
2023-01-23,138
2023-01-30,121
2023-02-06,139
2023-02-13,132
2023-02-20,125
2023-03-06,130
2023-03-13,133
2023-03-20,125
2023-03-27,128
2023-04-03,133
2023-04-10,137
2023-04-17,119
2023-04-24,126
2023-05-01,127
2023-05-08,120
2023-05-15,134
2023-05-22,130
2023-05-29,129
2023-06-05,133
2023-06-12,125
2023-06-19,131
2023-06-26,118
2023-07-03,129
2023-07-10,133
2023-07-17,132
2023-07-24,124
2023-07-31,124
2023-08-07,117
2023-08-14,121
2023-08-21,121
2023-08-28,111
2023-09-04,121
2023-09-11,110
2023-09-18,112
2023-09-25,104
2023-10-02,129
2023-10-09,109
2023-10-16,119
2023-10-23,116
2023-10-30,126
2023-11-06,126
2023-11-13,126
2023-11-20,112
2023-11-27,114
2023-12-04,124
2023-12-11,116
2023-12-18,120
2023-12-25,108
2024-01-01,119
2024-01-08,114
2024-01-15,105
2024-01-22,84
2024-01-29,82
2024-02-05,108
2024-02-12,126
2024-02-19,126
2024-03-04,113
2024-03-11,109
2024-03-18,116
2024-03-25,108
2024-04-01,114
2024-04-08,121
2024-04-15,119
2024-04-22,97
2024-04-29,115
2024-05-06,98
2024-05-13,70
2024-05-20,92
2024-05-27,97
2024-06-03,77
2024-06-10,114
2024-06-17,103
2024-06-24,94
2024-07-01,105
2024-07-08,119
2024-07-15,94
2024-07-22,95
2024-07-29,100
2024-08-05,110
2024-08-12,101
2024-08-19,77
2024-08-26,86
2024-09-02,76
2024-09-09,94
2024-09-16,94
2024-09-23,69
2024-09-30,101
2024-10-07,89
2024-10-14,88
2024-10-21,110
2024-10-28,101
2024-11-04,94
2024-11-11,112
2024-11-18,77
2024-11-25,76
2024-12-02,85
2024-12-09,95
2024-12-16,84
2024-12-23,66
2024-12-30,76
2025-01-06,84
2025-01-13,17
2025-01-20,83
2025-01-27,58
2025-02-03,85
2025-02-10,75
2025-02-17,60
2025-03-03,76
2025-03-10,84
2025-03-17,100
2025-03-24,76
2025-03-31,84
2025-04-07,84
2025-04-14,93
2025-04-21,74
2025-04-28,75
2025-05-05,84
2025-05-12,59
2025-05-19,59
2025-05-26,84
2025-06-02,83
2025-06-09,91
2025-06-16,51
2025-06-23,58
2025-06-30,83
2025-07-07,49
2025-07-14,25
2025-07-21,57
2025-07-28,50
2025-08-04,83
2025-08-11,68
