date,index
2016-08-29,148
2016-09-05,158
2016-09-12,160
2016-09-19,150
2016-09-26,155
2016-10-03,151
2016-10-10,153
2016-10-17,151
2016-10-24,150
2016-10-31,137
2016-11-07,148
2016-11-14,142
2016-11-21,157
2016-11-28,146
2016-12-05,140
2016-12-12,151
2016-12-19,156
2016-12-26,140
2017-01-02,157
2017-01-09,138
2017-01-16,137
2017-01-23,148
2017-01-30,166
2017-02-06,159
2017-02-13,195
2017-02-20,222
2017-03-06,200
2017-03-13,180
2017-03-20,179
2017-03-27,164
2017-04-03,162
2017-04-10,172
2017-04-17,161
2017-04-24,179
2017-05-01,163
2017-05-08,175
2017-05-15,155
2017-05-22,185
2017-05-29,174
2017-06-05,247
2017-06-12,298
2017-06-19,222
2017-06-26,207
2017-07-03,198
2017-07-10,188
2017-07-17,183
2017-07-24,177
2017-07-31,175
2017-08-07,177
2017-08-14,191
2017-08-21,187
2017-08-28,178
2017-09-04,184
2017-09-11,166
2017-09-18,170
2017-09-25,164
2017-10-02,168
2017-10-09,164
2017-10-16,166
2017-10-23,201
2017-10-30,159
2017-11-06,250
2017-11-13,174
2017-11-20,169
2017-11-27,169
2017-12-04,173
2017-12-11,161
2017-12-18,163
2017-12-25,178
2018-01-01,186
2018-01-08,166
2018-01-15,188
2018-01-22,185
2018-01-29,169
2018-02-05,171
2018-02-12,169
2018-02-19,177
2018-03-05,188
2018-03-12,181
2018-03-19,179
2018-03-26,170
2018-04-02,177
2018-04-09,170
2018-04-16,180
2018-04-23,153
2018-04-30,159
2018-05-07,171
2018-05-14,162
2018-05-21,167
2018-05-28,180
2018-06-04,195
2018-06-11,173
2018-06-18,171
2018-06-25,183
2018-07-02,193
2018-07-09,186
2018-07-16,186
2018-07-23,180
2018-07-30,176
2018-08-06,180
2018-08-13,193
2018-08-20,171
2018-08-27,192
2018-09-03,226
2018-09-10,192
2018-09-17,186
2018-09-24,163
2018-10-01,177
2018-10-08,156
2018-10-15,185
2018-10-22,193
2018-10-29,162
2018-11-05,162
2018-11-12,157
2018-11-19,154
2018-11-26,198
2018-12-03,187
2018-12-10,166
2018-12-17,142
2018-12-24,138
2018-12-31,153
2019-01-07,161
2019-01-14,154
2019-01-21,104
2019-01-28,146
2019-02-04,162
2019-02-11,155
2019-02-18,158
2019-03-04,155
2019-03-11,152
2019-03-18,148
2019-03-25,143
2019-04-01,154
2019-04-08,146
2019-04-15,156
2019-04-22,147
2019-04-29,132
2019-05-06,149
2019-05-13,152
2019-05-20,146
2019-05-27,146
2019-06-03,155
2019-06-10,160
2019-06-17,157
2019-06-24,153
2019-07-01,142
2019-07-08,153
2019-07-15,143
2019-07-22,149
2019-07-29,149
2019-08-05,149
2019-08-12,146
2019-08-19,160
2019-08-26,140
2019-09-02,132
2019-09-09,143
2019-09-16,144
2019-09-23,102
2019-09-30,132
2019-10-07,145
2019-10-14,145
2019-10-21,154
2019-10-28,140
2019-11-04,159
2019-11-11,155
2019-11-18,151
2019-11-25,137
2019-12-02,138
2019-12-09,118
2019-12-16,124
2019-12-23,149
2019-12-30,148
2020-01-06,108
2020-01-13,99
2020-01-20,96
2020-01-27,109
2020-02-03,94
2020-02-10,115
2020-02-17,124
2020-03-02,140
2020-03-09,126
2020-03-16,131
2020-03-23,139
2020-03-30,141
2020-04-06,142
2020-04-13,145
2020-04-20,140
2020-04-27,141
2020-05-04,148
2020-05-11,143
2020-05-18,142
2020-05-25,137
2020-06-01,144
2020-06-08,139
2020-06-15,139
2020-06-22,143
2020-06-29,147
2020-07-06,151
2020-07-13,154
2020-07-20,155
2020-07-27,143
2020-08-03,155
2020-08-10,137
2020-08-17,141
2020-08-24,147
2020-08-31,156
2020-09-07,141
2020-09-14,155
2020-09-21,150
2020-09-28,153
2020-10-05,149
2020-10-12,180
2020-10-19,155
2020-10-26,151
2020-11-02,153
2020-11-09,153
2020-11-16,149
2020-11-23,165
2020-11-30,139
2020-12-07,137
2020-12-14,147
2020-12-21,147
2020-12-28,138
2021-01-04,146
2021-01-11,149
2021-01-18,152
2021-01-25,120
2021-02-01,136
2021-02-08,151
2021-02-15,155
2021-02-22,134
2021-03-08,145
2021-03-15,129
2021-03-22,144
2021-03-29,137
2021-04-05,148
2021-04-12,148
2021-04-19,140
2021-04-26,122
2021-05-03,148
2021-05-10,145
2021-05-17,151
2021-05-24,139
2021-05-31,145
2021-06-07,142
2021-06-14,131
2021-06-21,128
2021-06-28,142
2021-07-05,141
2021-07-12,131
2021-07-19,135
2021-07-26,132
2021-08-02,152
2021-08-09,136
2021-08-16,143
2021-08-23,146
2021-08-30,127
2021-09-06,138
2021-09-13,120
2021-09-20,124
2021-09-27,120
2021-10-04,130
2021-10-11,129
2021-10-18,127
2021-10-25,120
