date,index
2016-08-29,160
2016-09-05,165
2016-09-12,157
2016-09-19,145
2016-09-26,138
2016-10-03,157
2016-10-10,148
2016-10-17,158
2016-10-24,186
2016-10-31,160
2016-11-07,145
2016-11-14,148
2016-11-21,151
2016-11-28,144
2016-12-05,149
2016-12-12,157
2016-12-19,160
2016-12-26,160
2017-01-02,163
2017-01-09,129
2017-01-16,123
2017-01-23,156
2017-01-30,162
2017-02-06,159
2017-02-13,212
2017-02-20,242
2017-03-06,181
2017-03-13,175
2017-03-20,167
2017-03-27,168
2017-04-03,146
2017-04-10,160
2017-04-17,141
2017-04-24,155
2017-05-01,163
2017-05-08,155
2017-05-15,167
2017-05-22,162
2017-05-29,151
2017-06-05,245
2017-06-12,236
2017-06-19,175
2017-06-26,190
2017-07-03,182
2017-07-10,190
2017-07-17,177
2017-07-24,175
2017-07-31,164
2017-08-07,173
2017-08-14,179
2017-08-21,172
2017-08-28,162
2017-09-04,158
2017-09-11,163
2017-09-18,161
2017-09-25,148
2017-10-02,162
2017-10-09,160
2017-10-16,154
2017-10-23,191
2017-10-30,155
2017-11-06,197
2017-11-13,157
2017-11-20,153
2017-11-27,156
2017-12-04,151
2017-12-11,156
2017-12-18,156
2017-12-25,155
2018-01-01,168
2018-01-08,155
2018-01-15,164
2018-01-22,172
2018-01-29,157
2018-02-05,151
2018-02-12,161
2018-02-19,163
2018-03-05,163
2018-03-12,156
2018-03-19,160
2018-03-26,141
2018-04-02,144
2018-04-09,137
2018-04-16,153
2018-04-23,137
2018-04-30,153
2018-05-07,158
2018-05-14,142
2018-05-21,148
2018-05-28,143
2018-06-04,171
2018-06-11,151
2018-06-18,151
2018-06-25,144
2018-07-02,159
2018-07-09,158
2018-07-16,150
2018-07-23,158
2018-07-30,150
2018-08-06,159
2018-08-13,161
2018-08-20,165
2018-08-27,180
2018-09-03,178
2018-09-10,167
2018-09-17,156
2018-09-24,154
2018-10-01,138
2018-10-08,143
2018-10-15,145
2018-10-22,180
2018-10-29,149
2018-11-05,146
2018-11-12,147
2018-11-19,138
2018-11-26,191
2018-12-03,158
2018-12-10,153
2018-12-17,138
2018-12-24,137
2018-12-31,140
2019-01-07,154
2019-01-14,164
2019-01-21,99
2019-01-28,143
2019-02-04,140
2019-02-11,155
2019-02-18,147
2019-03-04,134
2019-03-11,143
2019-03-18,134
2019-03-25,132
2019-04-01,140
2019-04-08,147
2019-04-15,142
2019-04-22,131
2019-04-29,147
2019-05-06,150
2019-05-13,147
2019-05-20,144
2019-05-27,134
2019-06-03,129
2019-06-10,128
2019-06-17,147
2019-06-24,130
2019-07-01,136
2019-07-08,124
2019-07-15,137
2019-07-22,131
2019-07-29,142
2019-08-05,140
2019-08-12,121
2019-08-19,139
2019-08-26,132
2019-09-02,138
2019-09-09,135
2019-09-16,143
2019-09-23,114
2019-09-30,122
2019-10-07,125
2019-10-14,129
2019-10-21,143
2019-10-28,148
2019-11-04,139
2019-11-11,132
2019-11-18,142
2019-11-25,117
2019-12-02,121
2019-12-09,130
2019-12-16,127
2019-12-23,143
2019-12-30,147
2020-01-06,106
2020-01-13,109
2020-01-20,114
2020-01-27,130
2020-02-03,102
2020-02-10,122
2020-02-17,116
2020-03-02,103
2020-03-09,131
2020-03-16,102
2020-03-23,140
2020-03-30,118
2020-04-06,129
2020-04-13,124
2020-04-20,134
2020-04-27,129
2020-05-04,133
2020-05-11,130
2020-05-18,120
2020-05-25,121
2020-06-01,127
2020-06-08,117
2020-06-15,125
2020-06-22,120
2020-06-29,144
2020-07-06,131
2020-07-13,142
2020-07-20,129
2020-07-27,139
2020-08-03,137
2020-08-10,142
2020-08-17,143
2020-08-24,142
2020-08-31,143
2020-09-07,139
2020-09-14,144
2020-09-21,150
2020-09-28,127
2020-10-05,133
2020-10-12,158
2020-10-19,131
2020-10-26,139
2020-11-02,127
2020-11-09,129
2020-11-16,143
2020-11-23,137
2020-11-30,139
2020-12-07,141
2020-12-14,134
2020-12-21,140
2020-12-28,137
2021-01-04,142
2021-01-11,142
2021-01-18,144
2021-01-25,126
2021-02-01,130
2021-02-08,135
2021-02-15,140
2021-02-22,134
2021-03-08,118
2021-03-15,136
2021-03-22,134
2021-03-29,135
2021-04-05,137
2021-04-12,137
2021-04-19,134
2021-04-26,128
2021-05-03,130
2021-05-10,132
2021-05-17,145
2021-05-24,141
2021-05-31,145
2021-06-07,129
2021-06-14,131
2021-06-21,140
2021-06-28,123
2021-07-05,139
2021-07-12,124
2021-07-19,140
2021-07-26,129
2021-08-02,120
2021-08-09,126
2021-08-16,137
2021-08-23,135
2021-08-30,140
2021-09-06,139
2021-09-13,123
2021-09-20,117
2021-09-27,105
2021-10-04,119
2021-10-11,136
2021-10-18,160
2021-10-25,134
2021-11-01,120
2021-11-08,119
2021-11-15,135
2021-11-22,110
2021-11-29,135
2021-12-06,126
2021-12-13,133
2021-12-20,113
