date,index
2016-08-29,307
2016-09-05,316
2016-09-12,283
2016-09-19,291
2016-09-26,262
2016-10-03,293
2016-10-10,274
2016-10-17,286
2016-10-24,307
2016-10-31,278
2016-11-07,261
2016-11-14,280
2016-11-21,302
2016-11-28,283
2016-12-05,286
2016-12-12,295
2016-12-19,296
2016-12-26,308
2017-01-02,344
2017-01-09,291
2017-01-16,253
2017-01-23,282
2017-01-30,308
2017-02-06,311
2017-02-13,343
2017-02-20,378
2017-03-06,319
2017-03-13,308
2017-03-20,315
2017-03-27,281
2017-04-03,280
2017-04-10,289
2017-04-17,282
2017-04-24,303
2017-05-01,303
2017-05-08,320
2017-05-15,294
2017-05-22,300
2017-05-29,298
2017-06-05,411
2017-06-12,325
2017-06-19,392
2017-06-26,400
2017-07-03,386
2017-07-10,386
2017-07-17,336
2017-07-24,337
2017-07-31,323
2017-08-07,321
2017-08-14,342
2017-08-21,315
2017-08-28,347
2017-09-04,334
2017-09-11,334
2017-09-18,333
2017-09-25,270
2017-10-02,320
2017-10-09,324
2017-10-16,310
2017-10-23,400
2017-10-30,314
2017-11-06,416
2017-11-13,317
2017-11-20,313
2017-11-27,333
2017-12-04,303
2017-12-11,296
2017-12-18,290
2017-12-25,324
2018-01-01,362
2018-01-08,357
2018-01-15,360
2018-01-22,346
2018-01-29,289
2018-02-05,277
2018-02-12,323
2018-02-19,325
2018-03-05,316
2018-03-12,306
2018-03-19,312
2018-03-26,297
2018-04-02,308
2018-04-09,298
2018-04-16,315
2018-04-23,278
2018-04-30,306
2018-05-07,292
2018-05-14,299
2018-05-21,297
2018-05-28,305
2018-06-04,375
2018-06-11,291
2018-06-18,303
2018-06-25,299
2018-07-02,338
2018-07-09,328
2018-07-16,282
2018-07-23,313
2018-07-30,297
2018-08-06,293
2018-08-13,290
2018-08-20,299
2018-08-27,311
2018-09-03,340
2018-09-10,316
2018-09-17,302
2018-09-24,247
2018-10-01,286
2018-10-08,251
2018-10-15,280
2018-10-22,361
2018-10-29,271
2018-11-05,276
2018-11-12,273
2018-11-19,276
2018-11-26,466
2018-12-03,370
2018-12-10,338
2018-12-17,278
2018-12-24,245
2018-12-31,272
2019-01-07,303
2019-01-14,294
2019-01-21,216
2019-01-28,260
2019-02-04,275
2019-02-11,274
2019-02-18,267
2019-03-04,259
2019-03-11,264
2019-03-18,237
2019-03-25,231
2019-04-01,235
2019-04-08,257
2019-04-15,244
2019-04-22,234
2019-04-29,228
2019-05-06,239
2019-05-13,233
2019-05-20,235
2019-05-27,229
2019-06-03,238
2019-06-10,224
2019-06-17,245
2019-06-24,226
2019-07-01,227
2019-07-08,242
2019-07-15,244
2019-07-22,230
2019-07-29,219
2019-08-05,239
2019-08-12,249
2019-08-19,246
2019-08-26,245
2019-09-02,234
2019-09-09,218
2019-09-16,206
2019-09-23,198
2019-09-30,214
2019-10-07,202
2019-10-14,219
2019-10-21,228
2019-10-28,220
2019-11-04,226
2019-11-11,213
2019-11-18,218
2019-11-25,201
2019-12-02,193
2019-12-09,199
2019-12-16,212
2019-12-23,226
2019-12-30,233
2020-01-06,214
2020-01-13,199
2020-01-20,213
2020-01-27,201
2020-02-03,190
2020-02-10,185
2020-02-17,198
2020-03-02,193
2020-03-09,189
2020-03-16,191
2020-03-23,206
2020-03-30,212
2020-04-06,214
2020-04-13,200
2020-04-20,202
2020-04-27,204
2020-05-04,200
2020-05-11,191
2020-05-18,196
2020-05-25,198
2020-06-01,196
2020-06-08,191
2020-06-15,188
2020-06-22,191
2020-06-29,204
2020-07-06,192
2020-07-13,213
2020-07-20,219
2020-07-27,214
2020-08-03,218
2020-08-10,207
2020-08-17,210
2020-08-24,204
2020-08-31,209
2020-09-07,214
2020-09-14,221
2020-09-21,215
2020-09-28,198
2020-10-05,206
2020-10-12,276
2020-10-19,209
2020-10-26,210
2020-11-02,200
2020-11-09,187
2020-11-16,191
2020-11-23,207
2020-11-30,198
2020-12-07,195
2020-12-14,194
2020-12-21,195
2020-12-28,203
2021-01-04,218
2021-01-11,204
2021-01-18,213
2021-01-25,216
2021-02-01,189
2021-02-08,187
2021-02-15,188
2021-02-22,189
2021-03-08,189
2021-03-15,213
2021-03-22,212
2021-03-29,201
2021-04-05,196
2021-04-12,204
2021-04-19,188
2021-04-26,180
2021-05-03,177
2021-05-10,179
2021-05-17,184
2021-05-24,194
2021-05-31,182
2021-06-07,180
2021-06-14,187
2021-06-21,178
2021-06-28,182
2021-07-05,183
2021-07-12,176
