date,index
2016-08-29,144
2016-09-05,131
2016-09-12,140
2016-09-19,128
2016-09-26,125
2016-10-03,133
2016-10-10,139
2016-10-17,133
2016-10-24,116
2016-10-31,126
2016-11-07,140
2016-11-14,129
2016-11-21,117
2016-11-28,141
2016-12-05,140
2016-12-12,134
2016-12-19,122
2016-12-26,130
2017-01-02,129
2017-01-09,80
2017-01-16,102
2017-01-23,148
2017-01-30,161
2017-02-06,136
2017-02-13,154
2017-02-20,154
2017-03-06,158
2017-03-13,143
2017-03-20,153
2017-03-27,134
2017-04-03,152
2017-04-10,142
2017-04-17,142
2017-04-24,125
2017-05-01,146
2017-05-08,148
2017-05-15,149
2017-05-22,130
2017-05-29,137
2017-06-05,176
2017-06-12,220
2017-06-19,261
2017-06-26,201
2017-07-03,177
2017-07-10,163
2017-07-17,151
2017-07-24,155
2017-07-31,167
2017-08-07,145
2017-08-14,155
2017-08-21,150
2017-08-28,151
2017-09-04,150
2017-09-11,146
2017-09-18,149
2017-09-25,119
2017-10-02,148
2017-10-09,141
2017-10-16,141
2017-10-23,145
2017-10-30,143
2017-11-06,197
2017-11-13,144
2017-11-20,137
2017-11-27,132
2017-12-04,124
2017-12-11,142
2017-12-18,139
2017-12-25,145
2018-01-01,153
2018-01-08,156
2018-01-15,146
2018-01-22,133
2018-01-29,83
2018-02-05,126
2018-02-12,151
2018-02-19,154
2018-03-05,148
2018-03-12,154
2018-03-19,144
2018-03-26,141
2018-04-02,145
2018-04-09,139
2018-04-16,151
2018-04-23,140
2018-04-30,143
2018-05-07,144
2018-05-14,137
2018-05-21,146
2018-05-28,150
2018-06-04,156
2018-06-11,140
2018-06-18,140
2018-06-25,147
2018-07-02,152
2018-07-09,154
2018-07-16,126
2018-07-23,148
2018-07-30,150
2018-08-06,153
2018-08-13,163
2018-08-20,162
2018-08-27,164
2018-09-03,210
2018-09-10,151
2018-09-17,138
2018-09-24,115
2018-10-01,154
2018-10-08,147
2018-10-15,142
2018-10-22,148
2018-10-29,143
2018-11-05,137
2018-11-12,143
2018-11-19,144
2018-11-26,182
2018-12-03,129
2018-12-10,139
2018-12-17,130
2018-12-24,124
2018-12-31,134
2019-01-07,134
2019-01-14,105
2019-01-21,82
2019-01-28,132
2019-02-04,152
2019-02-11,150
2019-02-18,150
2019-03-04,137
2019-03-11,129
2019-03-18,121
2019-03-25,125
2019-04-01,140
2019-04-08,135
2019-04-15,147
2019-04-22,122
2019-04-29,130
2019-05-06,133
2019-05-13,129
2019-05-20,132
2019-05-27,139
2019-06-03,135
2019-06-10,124
2019-06-17,140
2019-06-24,126
2019-07-01,126
2019-07-08,134
2019-07-15,138
2019-07-22,135
2019-07-29,128
2019-08-05,124
2019-08-12,132
2019-08-19,118
2019-08-26,132
2019-09-02,117
2019-09-09,125
2019-09-16,132
2019-09-23,85
2019-09-30,136
2019-10-07,128
2019-10-14,127
2019-10-21,136
2019-10-28,128
2019-11-04,132
2019-11-11,130
2019-11-18,126
2019-11-25,123
2019-12-02,111
2019-12-09,125
2019-12-16,113
2019-12-23,129
2019-12-30,103
2020-01-06,73
2020-01-13,68
2020-01-20,96
2020-01-27,103
2020-02-03,82
2020-02-10,95
2020-02-17,110
2020-03-02,118
2020-03-09,118
2020-03-16,136
2020-03-23,112
2020-03-30,127
2020-04-06,126
2020-04-13,129
2020-04-20,128
2020-04-27,124
2020-05-04,138
2020-05-11,139
2020-05-18,124
2020-05-25,132
2020-06-01,140
2020-06-08,135
2020-06-15,113
2020-06-22,135
2020-06-29,131
2020-07-06,133
2020-07-13,134
2020-07-20,137
2020-07-27,133
2020-08-03,126
2020-08-10,138
2020-08-17,134
2020-08-24,132
2020-08-31,128
2020-09-07,136
2020-09-14,137
