date,index
2016-08-29,129
2016-09-05,111
2016-09-12,117
2016-09-19,117
2016-09-26,105
2016-10-03,115
2016-10-10,100
2016-10-17,123
2016-10-24,99
2016-10-31,126
2016-11-07,130
2016-11-14,123
2016-11-21,117
2016-11-28,128
2016-12-05,130
2016-12-12,113
2016-12-19,120
2016-12-26,130
2017-01-02,132
2017-01-09,103
2017-01-16,125
2017-01-23,123
2017-01-30,123
2017-02-06,129
2017-02-13,128
2017-02-20,128
2017-03-06,122
2017-03-13,126
2017-03-20,129
2017-03-27,134
2017-04-03,116
2017-04-10,128
2017-04-17,105
2017-04-24,123
2017-05-01,125
2017-05-08,110
2017-05-15,128
2017-05-22,125
2017-05-29,125
2017-06-05,120
2017-06-12,127
2017-06-19,118
2017-06-26,128
2017-07-03,135
2017-07-10,138
2017-07-17,134
2017-07-24,168
2017-07-31,130
2017-08-07,132
2017-08-14,140
2017-08-21,130
2017-08-28,149
2017-09-04,138
2017-09-11,165
2017-09-18,161
2017-09-25,137
2017-10-02,144
2017-10-09,148
2017-10-16,151
2017-10-23,143
2017-10-30,142
2017-11-06,142
2017-11-13,137
2017-11-20,140
2017-11-27,127
2017-12-04,137
2017-12-11,137
2017-12-18,160
2017-12-25,145
2018-01-01,142
2018-01-08,129
2018-01-15,134
2018-01-22,131
2018-01-29,116
2018-02-05,121
2018-02-12,138
2018-02-19,126
2018-03-05,133
2018-03-12,140
2018-03-19,130
2018-03-26,134
2018-04-02,135
2018-04-09,136
2018-04-16,131
2018-04-23,143
2018-04-30,139
2018-05-07,134
2018-05-14,145
2018-05-21,143
2018-05-28,141
2018-06-04,125
2018-06-11,137
2018-06-18,139
2018-06-25,138
2018-07-02,140
2018-07-09,149
2018-07-16,138
2018-07-23,156
2018-07-30,174
2018-08-06,152
2018-08-13,145
2018-08-20,145
2018-08-27,144
2018-09-03,146
2018-09-10,125
2018-09-17,132
2018-09-24,118
2018-10-01,136
2018-10-08,136
2018-10-15,140
2018-10-22,136
2018-10-29,121
2018-11-05,129
2018-11-12,115
2018-11-19,123
2018-11-26,132
2018-12-03,133
2018-12-10,111
2018-12-17,128
2018-12-24,127
2018-12-31,122
2019-01-07,130
2019-01-14,128
2019-01-21,96
2019-01-28,120
2019-02-04,124
2019-02-11,128
2019-02-18,132
2019-03-04,132
2019-03-11,126
2019-03-18,129
2019-03-25,132
2019-04-01,126
2019-04-08,139
2019-04-15,134
2019-04-22,121
2019-04-29,139
2019-05-06,139
2019-05-13,135
2019-05-20,123
2019-05-27,135
2019-06-03,147
2019-06-10,145
2019-06-17,141
2019-06-24,128
2019-07-01,137
2019-07-08,130
2019-07-15,146
2019-07-22,136
2019-07-29,134
2019-08-05,115
2019-08-12,148
2019-08-19,560
2019-08-26,237
2019-09-02,163
2019-09-09,178
2019-09-16,145
2019-09-23,125
2019-09-30,137
2019-10-07,128
2019-10-14,121
2019-10-21,131
2019-10-28,131
2019-11-04,129
2019-11-11,129
2019-11-18,124
2019-11-25,121
2019-12-02,129
2019-12-09,126
2019-12-16,103
2019-12-23,109
2019-12-30,112
2020-01-06,85
2020-01-13,92
2020-01-20,114
2020-01-27,104
2020-02-03,117
2020-02-10,129
2020-02-17,132
2020-03-02,125
2020-03-09,119
2020-03-16,115
2020-03-23,106
2020-03-30,104
2020-04-06,84
2020-04-13,85
2020-04-20,96
2020-04-27,103
2020-05-04,77
2020-05-11,76
2020-05-18,70
2020-05-25,60
2020-06-01,93
2020-06-08,77
2020-06-15,92
2020-06-22,59
2020-06-29,67
2020-07-06,78
2020-07-13,84
2020-07-20,76
2020-07-27,69
2020-08-03,124
2020-08-10,104
2020-08-17,84
2020-08-24,105
2020-08-31,120
2020-09-07,112
2020-09-14,125
2020-09-21,95
2020-09-28,95
2020-10-05,113
2020-10-12,94
2020-10-19,113
2020-10-26,98
2020-11-02,101
2020-11-09,111
2020-11-16,106
2020-11-23,111
2020-11-30,113
2020-12-07,116
2020-12-14,87
2020-12-21,122
2020-12-28,103
2021-01-04,102
2021-01-11,126
2021-01-18,116
2021-01-25,77
2021-02-01,114
2021-02-08,105
2021-02-15,104
2021-02-22,105
2021-03-08,106
2021-03-15,112
2021-03-22,86
2021-03-29,121
2021-04-05,121
2021-04-12,111
2021-04-19,103
2021-04-26,95
2021-05-03,104
2021-05-10,102
2021-05-17,68
2021-05-24,120
2021-05-31,92
2021-06-07,112
2021-06-14,86
2021-06-21,103
2021-06-28,93
2021-07-05,100
2021-07-12,103
2021-07-19,92
2021-07-26,101
2021-08-02,94
2021-08-09,102
2021-08-16,103
2021-08-23,95
2021-08-30,104
2021-09-06,96
2021-09-13,111
2021-09-20,75
2021-09-27,100
2021-10-04,102
2021-10-11,84
2021-10-18,94
2021-10-25,78
2021-11-01,94
2021-11-08,94
2021-11-15,109
2021-11-22,113
2021-11-29,97
2021-12-06,103
2021-12-13,75
2021-12-20,93
2021-12-27,93
2022-01-03,66
2022-01-10,67
2022-01-17,49
2022-01-24,86
2022-01-31,76
2022-02-07,100
2022-02-14,120
2022-02-21,84
2022-03-07,102
2022-03-14,59
2022-03-21,86
2022-03-28,114
2022-04-04,102
2022-04-11,86
2022-04-18,59
2022-04-25,109
2022-05-02,86
2022-05-09,76
2022-05-16,115
2022-05-23,89
2022-05-30,103
2022-06-06,103
2022-06-13,94
2022-06-20,77
2022-06-27,111
2022-07-04,75
2022-07-11,76
2022-07-18,66
2022-07-25,101
2022-08-01,85
2022-08-08,58
2022-08-15,74
2022-08-22,78
2022-08-29,75
2022-09-05,97
2022-09-12,113
2022-09-19,85
2022-09-26,77
2022-10-03,109
2022-10-10,85
2022-10-17,85
2022-10-24,93
2022-10-31,103
2022-11-07,93
2022-11-14,67
2022-11-21,68
2022-11-28,76
2022-12-05,42
2022-12-12,67
2022-12-19,96
2022-12-26,95
2023-01-02,50
2023-01-09,41
2023-01-16,110
2023-01-23,102
2023-01-30,112
2023-02-06,95
2023-02-13,115
2023-02-20,42
2023-03-06,68
2023-03-13,100
2023-03-20,85
2023-03-27,84
2023-04-03,94
2023-04-10,78
2023-04-17,59
2023-04-24,84
2023-05-01,86
2023-05-08,75
2023-05-15,79
2023-05-22,92
2023-05-29,93
2023-06-05,76
2023-06-12,75
2023-06-19,58
2023-06-26,95
2023-07-03,92
2023-07-10,103
2023-07-17,83
2023-07-24,77
2023-07-31,69
2023-08-07,76
2023-08-14,84
2023-08-21,102
2023-08-28,84
2023-09-04,95
2023-09-11,104
2023-09-18,93
2023-09-25,67
2023-10-02,75
2023-10-09,75
2023-10-16,43
2023-10-23,59
2023-10-30,60
2023-11-06,93
2023-11-13,89
2023-11-20,92
2023-11-27,67
2023-12-04,94
2023-12-11,78
2023-12-18,84
2023-12-25,93
2024-01-01,87
2024-01-08,85
2024-01-15,68
2024-01-22,66
2024-01-29,82
2024-02-05,68
2024-02-12,52
2024-02-19,77
2024-03-04,94
2024-03-11,93
2024-03-18,68
2024-03-25,58
2024-04-01,83
2024-04-08,50
2024-04-15,59
2024-04-22,61
2024-04-29,92
2024-05-06,75
2024-05-13,67
2024-05-20,67
2024-05-27,59
2024-06-03,57
2024-06-10,91
2024-06-17,58
2024-06-24,73
2024-07-01,100
2024-07-08,67
2024-07-15,59
2024-07-22,58
2024-07-29,83
2024-08-05,84
2024-08-12,50
2024-08-19,84
2024-08-26,75
2024-09-02,58
2024-09-09,58
2024-09-16,60
2024-09-23,33
2024-09-30,67
2024-10-07,84
2024-10-14,58
2024-10-21,83
2024-10-28,76
2024-11-04,77
2024-11-11,74
2024-11-18,76
2024-11-25,92
2024-12-02,77
2024-12-09,60
2024-12-16,75
2024-12-23,51
2024-12-30,83
2025-01-06,83
2025-01-13,42
2025-01-20,76
2025-01-27,59
2025-02-03,59
2025-02-10,75
2025-02-17,51
2025-03-03,59
2025-03-10,42
2025-03-17,58
2025-03-24,84
2025-03-31,58
2025-04-07,66
2025-04-14,58
2025-04-21,50
2025-04-28,58
2025-05-05,50
2025-05-12,42
2025-05-19,49
2025-05-26,33
2025-06-02,57
2025-06-09,58
2025-06-16,50
2025-06-23,66
2025-06-30,49
2025-07-07,83
2025-07-14,92
2025-07-21,25
2025-07-28,42
2025-08-04,74
2025-08-11,50
