date,index
2016-08-29,85
2016-09-05,79
2016-09-12,76
2016-09-19,42
2016-09-26,75
2016-10-03,67
2016-10-10,67
2016-10-17,50
2016-10-24,51
2016-10-31,75
2016-11-07,50
2016-11-14,51
2016-11-21,51
2016-11-28,51
2016-12-05,78
2016-12-12,51
2016-12-19,69
2016-12-26,58
2017-01-02,58
2017-01-09,59
2017-01-16,67
2017-01-23,77
2017-01-30,61
2017-02-06,87
2017-02-13,94
2017-02-20,68
2017-03-06,65
2017-03-13,50
2017-03-20,25
2017-03-27,75
2017-04-03,49
2017-04-10,41
2017-04-17,57
2017-04-24,100
2017-05-01,42
2017-05-08,58
2017-05-15,75
2017-05-22,25
2017-05-29,75
2017-06-05,61
2017-06-12,83
2017-06-19,67
2017-06-26,50
2017-07-03,67
2017-07-10,94
2017-07-17,76
2017-07-24,94
2017-07-31,102
2017-08-07,85
2017-08-14,109
2017-08-21,67
2017-08-28,84
2017-09-04,41
2017-09-11,120
2017-09-18,121
2017-09-25,87
2017-10-02,106
2017-10-09,87
2017-10-16,78
2017-10-23,94
2017-10-30,107
2017-11-06,115
2017-11-13,67
2017-11-20,78
2017-11-27,92
2017-12-04,92
2017-12-11,58
2017-12-18,77
2017-12-25,115
2018-01-01,78
2018-01-08,76
2018-01-15,93
2018-01-22,98
2018-01-29,34
2018-02-05,61
2018-02-12,95
2018-02-19,100
2018-03-05,92
2018-03-12,87
2018-03-19,103
2018-03-26,105
2018-04-02,87
2018-04-09,51
2018-04-16,92
2018-04-23,85
2018-04-30,103
2018-05-07,95
2018-05-14,88
2018-05-21,105
2018-05-28,115
2018-06-04,94
2018-06-11,103
2018-06-18,67
2018-06-25,112
2018-07-02,110
2018-07-09,110
2018-07-16,93
2018-07-23,119
2018-07-30,131
2018-08-06,108
2018-08-13,97
2018-08-20,121
2018-08-27,78
2018-09-03,116
2018-09-10,75
2018-09-17,84
2018-09-24,81
2018-10-01,103
2018-10-08,93
2018-10-15,78
2018-10-22,85
2018-10-29,49
2018-11-05,58
2018-11-12,76
2018-11-19,85
2018-11-26,58
2018-12-03,75
2018-12-10,35
2018-12-17,41
2018-12-24,58
2018-12-31,67
2019-01-07,75
2019-01-14,77
2019-01-21,25
2019-01-28,86
2019-02-04,92
2019-02-11,60
2019-02-18,94
2019-03-04,106
2019-03-11,97
2019-03-18,101
2019-03-25,69
2019-04-01,106
2019-04-08,86
2019-04-15,93
2019-04-22,98
2019-04-29,104
2019-05-06,107
2019-05-13,114
2019-05-20,108
2019-05-27,122
2019-06-03,129
2019-06-10,119
2019-06-17,129
2019-06-24,108
2019-07-01,118
2019-07-08,113
2019-07-15,119
2019-07-22,116
2019-07-29,115
2019-08-05,105
2019-08-12,120
2019-08-19,318
2019-08-26,170
2019-09-02,126
2019-09-09,156
2019-09-16,121
2019-09-23,86
2019-09-30,104
2019-10-07,99
2019-10-14,103
2019-10-21,89
2019-10-28,97
2019-11-04,94
2019-11-11,85
2019-11-18,85
2019-11-25,83
2019-12-02,68
2019-12-09,94
2019-12-16,68
2019-12-23,74
2019-12-30,76
2020-01-06,16
2020-01-13,42
2020-01-20,67
2020-01-27,83
2020-02-03,76
2020-02-10,94
2020-02-17,100
2020-03-02,103
2020-03-09,110
2020-03-16,122
2020-03-23,84
2020-03-30,66
2020-04-06,58
2020-04-13,25
2020-04-20,34
2020-04-27,50
2020-05-04,43
2020-05-11,58
2020-05-18,49
2020-05-25,50
2020-06-01,25
2020-06-08,33
2020-06-15,34
2020-06-22,49
2020-06-29,50
2020-07-06,25
2020-07-13,33
2020-07-20,33
2020-07-27,16
2020-08-03,66
2020-08-10,33
2020-08-17,83
2020-08-24,67
2020-08-31,67
2020-09-07,66
2020-09-14,83
2020-09-21,42
2020-09-28,59
2020-10-05,59
2020-10-12,58
2020-10-19,59
2020-10-26,58
2020-11-02,82
2020-11-09,74
2020-11-16,17
2020-11-23,75
2020-11-30,42
2020-12-07,74
2020-12-14,67
2020-12-21,83
2020-12-28,66
2021-01-04,24
2021-01-11,67
2021-01-18,50
2021-01-25,66
2021-02-01,68
2021-02-08,67
2021-02-15,67
2021-02-22,66
2021-03-08,41
2021-03-15,75
2021-03-22,58
2021-03-29,83
2021-04-05,34
2021-04-12,91
2021-04-19,58
2021-04-26,41
2021-05-03,50
2021-05-10,33
2021-05-17,100
2021-05-24,74
2021-05-31,33
2021-06-07,58
2021-06-14,33
2021-06-21,74
2021-06-28,57
2021-07-05,25
2021-07-12,16
2021-07-19,42
2021-07-26,49
2021-08-02,49
2021-08-09,41
2021-08-16,33
2021-08-23,60
2021-08-30,52
2021-09-06,50
2021-09-13,50
2021-09-20,41
2021-09-27,17
2021-10-04,49
2021-10-11,33
2021-10-18,64
2021-10-25,50
2021-11-01,25
2021-11-08,49
2021-11-15,49
2021-11-22,67
2021-11-29,41
2021-12-06,25
2021-12-13,50
2021-12-20,33
2021-12-27,41
2022-01-03,34
2022-01-10,8
2022-01-17,16
2022-01-24,8
2022-01-31,41
2022-02-07,17
2022-02-14,17
2022-02-21,25
2022-03-07,76
2022-03-14,82
2022-03-21,24
2022-03-28,67
2022-04-04,50
2022-04-11,43
2022-04-18,25
2022-04-25,57
2022-05-02,33
2022-05-09,50
2022-05-16,61
2022-05-23,43
2022-05-30,52
2022-06-06,76
2022-06-13,50
2022-06-20,16
2022-06-27,33
2022-07-04,33
2022-07-11,24
2022-07-18,33
2022-07-25,25
2022-08-01,33
2022-08-08,49
2022-08-15,74
2022-08-22,41
2022-08-29,24
2022-09-05,17
2022-09-12,66
2022-09-19,27
2022-09-26,33
2022-10-03,33
2022-10-10,33
2022-10-17,34
2022-10-24,61
2022-10-31,68
2022-11-07,41
2022-11-14,58
2022-11-21,62
2022-11-28,25
2022-12-05,25
2022-12-12,41
2022-12-19,52
2022-12-26,66
2023-01-02,16
2023-01-09,16
2023-01-16,41
2023-01-23,41
2023-01-30,49
2023-02-06,75
2023-02-13,68
2023-02-20,50
2023-03-06,49
2023-03-13,33
2023-03-20,24
2023-03-27,25
2023-04-03,17
2023-04-10,26
2023-04-17,33
2023-04-24,33
2023-05-01,25
2023-05-08,33
2023-05-15,17
2023-05-22,67
2023-05-29,58
2023-06-05,25
