date,index
2016-08-29,8
2016-09-05,49
2016-09-12,50
2016-09-19,41
2016-09-26,16
2016-10-03,24
2016-10-10,41
2016-10-17,50
2016-10-24,16
2016-10-31,49
2016-11-07,42
2016-11-14,9
2016-11-21,17
2016-11-28,24
2016-12-05,33
2016-12-12,24
2016-12-19,49
2016-12-26,33
2017-01-02,58
2017-01-09,8
2017-01-16,16
2017-01-23,50
2017-01-30,57
2017-02-06,16
2017-02-13,49
2017-02-20,57
2017-03-06,33
2017-03-13,25
2017-03-20,34
2017-03-27,50
2017-04-03,58
2017-04-10,41
2017-04-17,33
2017-04-24,49
2017-05-01,24
2017-05-08,33
2017-05-15,33
2017-05-22,49
2017-05-29,33
2017-06-05,49
2017-06-12,41
2017-06-19,58
2017-06-26,49
2017-07-03,33
2017-07-10,53
2017-07-17,49
2017-07-24,80
2017-07-31,33
2017-08-07,41
2017-08-14,76
2017-08-21,16
2017-08-28,41
2017-09-04,57
2017-09-11,99
2017-09-18,114
2017-09-25,92
2017-10-02,93
2017-10-09,95
2017-10-16,66
2017-10-23,93
2017-10-30,84
2017-11-06,77
2017-11-13,67
2017-11-20,58
2017-11-27,58
2017-12-04,42
2017-12-11,66
2017-12-18,85
2017-12-25,50
2018-01-01,59
2018-01-08,74
2018-01-15,41
2018-01-22,58
2018-01-29,8
2018-02-05,49
2018-02-12,33
2018-02-19,58
2018-03-05,76
2018-03-12,42
2018-03-19,50
2018-03-26,66
2018-04-02,66
2018-04-09,60
2018-04-16,69
2018-04-23,33
2018-04-30,59
2018-05-07,70
2018-05-14,67
2018-05-21,86
2018-05-28,33
2018-06-04,67
2018-06-11,42
2018-06-18,75
2018-06-25,50
2018-07-02,75
2018-07-09,58
2018-07-16,66
2018-07-23,104
2018-07-30,90
2018-08-06,96
2018-08-13,91
2018-08-20,85
2018-08-27,76
2018-09-03,51
2018-09-10,34
2018-09-17,42
2018-09-24,26
2018-10-01,34
2018-10-08,68
2018-10-15,76
2018-10-22,67
2018-10-29,41
2018-11-05,42
2018-11-12,59
2018-11-19,57
2018-11-26,67
2018-12-03,42
2018-12-10,41
2018-12-17,25
2018-12-24,41
2018-12-31,17
2019-01-07,33
2019-01-14,33
2019-01-21,0
2019-01-28,50
2019-02-04,50
2019-02-11,59
2019-02-18,33
2019-03-04,51
2019-03-11,58
2019-03-18,58
2019-03-25,57
2019-04-01,80
2019-04-08,59
2019-04-15,34
2019-04-22,82
2019-04-29,66
2019-05-06,108
2019-05-13,83
2019-05-20,67
2019-05-27,85
2019-06-03,76
2019-06-10,85
2019-06-17,106
2019-06-24,85
2019-07-01,26
2019-07-08,75
2019-07-15,92
2019-07-22,76
2019-07-29,83
2019-08-05,75
2019-08-12,102
2019-08-19,233
2019-08-26,139
2019-09-02,134
2019-09-09,131
2019-09-16,81
2019-09-23,74
2019-09-30,85
2019-10-07,66
2019-10-14,92
2019-10-21,92
2019-10-28,34
2019-11-04,51
2019-11-11,67
2019-11-18,99
2019-11-25,83
2019-12-02,50
2019-12-09,59
2019-12-16,49
2019-12-23,33
2019-12-30,24
2020-01-06,24
2020-01-13,0
2020-01-20,75
2020-01-27,41
2020-02-03,41
2020-02-10,75
2020-02-17,59
2020-03-02,66
2020-03-09,68
2020-03-16,50
2020-03-23,42
2020-03-30,16
2020-04-06,24
2020-04-13,49
2020-04-20,8
2020-04-27,33
2020-05-04,50
2020-05-11,49
2020-05-18,16
2020-05-25,17
2020-06-01,17
2020-06-08,16
2020-06-15,17
2020-06-22,25
2020-06-29,24
2020-07-06,16
2020-07-13,24
2020-07-20,8
2020-07-27,24
2020-08-03,34
2020-08-10,41
2020-08-17,34
2020-08-24,33
2020-08-31,25
2020-09-07,16
2020-09-14,17
2020-09-21,24
2020-09-28,16
2020-10-05,8
2020-10-12,33
2020-10-19,66
2020-10-26,42
2020-11-02,41
2020-11-09,33
2020-11-16,16
2020-11-23,66
2020-11-30,58
2020-12-07,59
2020-12-14,33
2020-12-21,25
2020-12-28,42
2021-01-04,16
2021-01-11,49
2021-01-18,41
2021-01-25,16
2021-02-01,24
2021-02-08,24
2021-02-15,8
2021-02-22,41
2021-03-08,58
2021-03-15,33
2021-03-22,16
2021-03-29,16
2021-04-05,33
2021-04-12,25
2021-04-19,58
2021-04-26,16
2021-05-03,8
2021-05-10,8
2021-05-17,33
2021-05-24,41
2021-05-31,33
2021-06-07,25
2021-06-14,8
2021-06-21,0
2021-06-28,8
2021-07-05,41
2021-07-12,25
2021-07-19,8
2021-07-26,24
2021-08-02,17
2021-08-09,24
2021-08-16,25
2021-08-23,33
2021-08-30,16
2021-09-06,16
2021-09-13,33
2021-09-20,16
2021-09-27,25
2021-10-04,8
2021-10-11,16
2021-10-18,69
2021-10-25,16
2021-11-01,49
2021-11-08,8
2021-11-15,24
2021-11-22,16
2021-11-29,24
2021-12-06,42
2021-12-13,25
2021-12-20,0
2021-12-27,25
2022-01-03,25
2022-01-10,9
2022-01-17,8
2022-01-24,8
2022-01-31,25
2022-02-07,25
2022-02-14,17
2022-02-21,8
2022-03-07,33
2022-03-14,33
2022-03-21,0
2022-03-28,33
2022-04-04,16
2022-04-11,33
2022-04-18,25
2022-04-25,17
2022-05-02,25
2022-05-09,42
2022-05-16,66
2022-05-23,52
2022-05-30,50
2022-06-06,42
2022-06-13,49
2022-06-20,57
2022-06-27,8
2022-07-04,8
2022-07-11,25
2022-07-18,41
2022-07-25,34
2022-08-01,17
2022-08-08,24
2022-08-15,8
2022-08-22,25
2022-08-29,49
2022-09-05,42
2022-09-12,42
2022-09-19,42
2022-09-26,16
2022-10-03,16
2022-10-10,33
2022-10-17,41
2022-10-24,16
2022-10-31,49
2022-11-07,17
2022-11-14,33
2022-11-21,16
2022-11-28,0
2022-12-05,8
2022-12-12,8
2022-12-19,34
2022-12-26,43
2023-01-02,16
2023-01-09,17
2023-01-16,49
2023-01-23,33
2023-01-30,25
