date,index
2016-08-29,75
2016-09-05,90
2016-09-12,75
2016-09-19,58
2016-09-26,42
2016-10-03,50
2016-10-10,67
2016-10-17,41
2016-10-24,41
2016-10-31,57
2016-11-07,41
2016-11-14,58
2016-11-21,50
2016-11-28,17
2016-12-05,49
2016-12-12,59
2016-12-19,83
2016-12-26,41
2017-01-02,65
2017-01-09,41
2017-01-16,8
2017-01-23,66
2017-01-30,75
2017-02-06,74
2017-02-13,101
2017-02-20,83
2017-03-06,67
2017-03-13,42
2017-03-20,58
2017-03-27,75
2017-04-03,51
2017-04-10,68
2017-04-17,75
2017-04-24,77
2017-05-01,58
2017-05-08,67
2017-05-15,76
2017-05-22,67
2017-05-29,67
2017-06-05,83
2017-06-12,100
2017-06-19,84
2017-06-26,85
2017-07-03,74
2017-07-10,111
2017-07-17,94
2017-07-24,116
2017-07-31,85
2017-08-07,103
2017-08-14,89
2017-08-21,79
2017-08-28,101
2017-09-04,95
2017-09-11,118
2017-09-18,121
2017-09-25,91
2017-10-02,126
2017-10-09,107
2017-10-16,106
2017-10-23,126
2017-10-30,112
2017-11-06,114
2017-11-13,105
2017-11-20,122
2017-11-27,112
2017-12-04,86
2017-12-11,77
2017-12-18,114
2017-12-25,117
2018-01-01,112
2018-01-08,79
2018-01-15,88
2018-01-22,93
2018-01-29,59
2018-02-05,68
2018-02-12,87
2018-02-19,86
2018-03-05,93
2018-03-12,100
2018-03-19,103
2018-03-26,102
2018-04-02,116
2018-04-09,111
2018-04-16,95
2018-04-23,88
2018-04-30,112
2018-05-07,101
2018-05-14,106
2018-05-21,103
2018-05-28,105
2018-06-04,103
2018-06-11,68
2018-06-18,87
2018-06-25,104
2018-07-02,118
2018-07-09,120
2018-07-16,106
2018-07-23,125
2018-07-30,132
2018-08-06,120
2018-08-13,128
2018-08-20,106
2018-08-27,122
2018-09-03,119
2018-09-10,96
2018-09-17,94
2018-09-24,71
2018-10-01,98
2018-10-08,112
2018-10-15,114
2018-10-22,85
2018-10-29,67
2018-11-05,42
2018-11-12,58
2018-11-19,85
2018-11-26,69
2018-12-03,43
2018-12-10,102
