date,index
2016-08-29,110
2016-09-05,128
2016-09-12,105
2016-09-19,126
2016-09-26,121
2016-10-03,116
2016-10-10,123
2016-10-17,121
2016-10-24,108
2016-10-31,124
2016-11-07,104
2016-11-14,123
2016-11-21,107
2016-11-28,104
2016-12-05,123
2016-12-12,113
2016-12-19,126
2016-12-26,114
2017-01-02,122
2017-01-09,95
2017-01-16,95
2017-01-23,129
2017-01-30,118
2017-02-06,126
2017-02-13,127
2017-02-20,118
2017-03-06,126
2017-03-13,124
2017-03-20,124
2017-03-27,119
2017-04-03,125
2017-04-10,114
2017-04-17,104
2017-04-24,125
2017-05-01,116
2017-05-08,107
2017-05-15,123
2017-05-22,104
2017-05-29,124
2017-06-05,119
2017-06-12,126
2017-06-19,126
2017-06-26,131
2017-07-03,135
2017-07-10,144
2017-07-17,133
2017-07-24,156
2017-07-31,135
2017-08-07,132
2017-08-14,131
2017-08-21,129
2017-08-28,133
2017-09-04,143
2017-09-11,211
2017-09-18,202
2017-09-25,156
2017-10-02,163
2017-10-09,154
2017-10-16,143
2017-10-23,146
2017-10-30,142
2017-11-06,149
2017-11-13,131
2017-11-20,142
2017-11-27,139
2017-12-04,143
2017-12-11,137
2017-12-18,149
2017-12-25,148
2018-01-01,144
2018-01-08,139
2018-01-15,135
2018-01-22,131
2018-01-29,83
2018-02-05,133
2018-02-12,130
2018-02-19,134
2018-03-05,146
2018-03-12,141
2018-03-19,135
2018-03-26,132
2018-04-02,139
2018-04-09,135
2018-04-16,139
2018-04-23,137
2018-04-30,159
2018-05-07,151
2018-05-14,152
2018-05-21,146
2018-05-28,139
2018-06-04,139
2018-06-11,139
2018-06-18,137
2018-06-25,130
2018-07-02,150
2018-07-09,152
2018-07-16,146
2018-07-23,156
2018-07-30,175
2018-08-06,154
2018-08-13,149
2018-08-20,147
2018-08-27,149
2018-09-03,143
2018-09-10,127
2018-09-17,142
2018-09-24,126
2018-10-01,141
2018-10-08,138
2018-10-15,132
2018-10-22,135
2018-10-29,128
2018-11-05,134
2018-11-12,130
2018-11-19,133
2018-11-26,130
2018-12-03,129
2018-12-10,128
2018-12-17,129
2018-12-24,133
2018-12-31,123
2019-01-07,130
2019-01-14,132
2019-01-21,104
2019-01-28,134
2019-02-04,136
2019-02-11,129
2019-02-18,140
2019-03-04,140
2019-03-11,141
2019-03-18,142
2019-03-25,138
2019-04-01,158
2019-04-08,148
2019-04-15,152
2019-04-22,148
2019-04-29,152
2019-05-06,194
2019-05-13,174
2019-05-20,179
2019-05-27,189
2019-06-03,197
2019-06-10,184
2019-06-17,192
2019-06-24,170
2019-07-01,170
2019-07-08,162
2019-07-15,172
2019-07-22,170
2019-07-29,175
2019-08-05,198
2019-08-12,418
2019-08-19,1182
2019-08-26,385
2019-09-02,275
2019-09-09,229
2019-09-16,179
2019-09-23,157
2019-09-30,156
2019-10-07,151
2019-10-14,152
2019-10-21,154
2019-10-28,141
2019-11-04,141
2019-11-11,141
2019-11-18,141
2019-11-25,139
2019-12-02,144
2019-12-09,141
2019-12-16,146
2019-12-23,143
2019-12-30,152
2020-01-06,125
2020-01-13,128
2020-01-20,142
2020-01-27,128
2020-02-03,154
2020-02-10,147
2020-02-17,140
2020-03-02,141
2020-03-09,141
2020-03-16,132
2020-03-23,135
2020-03-30,100
2020-04-06,122
2020-04-13,114
2020-04-20,115
2020-04-27,106
2020-05-04,106
2020-05-11,116
2020-05-18,112
2020-05-25,112
2020-06-01,122
2020-06-08,93
2020-06-15,85
2020-06-22,112
2020-06-29,105
2020-07-06,104
2020-07-13,97
2020-07-20,104
2020-07-27,107
2020-08-03,122
2020-08-10,112
2020-08-17,122
2020-08-24,118
2020-08-31,116
2020-09-07,124
2020-09-14,117
2020-09-21,112
2020-09-28,111
2020-10-05,124
2020-10-12,123
2020-10-19,106
2020-10-26,126
2020-11-02,119
2020-11-09,120
2020-11-16,118
2020-11-23,124
2020-11-30,96
2020-12-07,115
2020-12-14,107
2020-12-21,116
2020-12-28,105
2021-01-04,113
2021-01-11,121
2021-01-18,128
2021-01-25,109
2021-02-01,116
2021-02-08,125
2021-02-15,127
2021-02-22,113
2021-03-08,108
2021-03-15,114
2021-03-22,112
2021-03-29,113
2021-04-05,113
2021-04-12,104
2021-04-19,105
2021-04-26,103
2021-05-03,111
2021-05-10,94
2021-05-17,123
2021-05-24,111
2021-05-31,94
2021-06-07,93
2021-06-14,112
2021-06-21,112
2021-06-28,96
2021-07-05,110
2021-07-12,113
2021-07-19,84
2021-07-26,104
2021-08-02,98
2021-08-09,103
2021-08-16,76
2021-08-23,87
2021-08-30,102
2021-09-06,104
2021-09-13,113
2021-09-20,107
2021-09-27,103
2021-10-04,93
2021-10-11,101
2021-10-18,115
2021-10-25,95
2021-11-01,92
2021-11-08,85
2021-11-15,59
2021-11-22,120
2021-11-29,89
2021-12-06,107
2021-12-13,114
2021-12-20,104
2021-12-27,87
2022-01-03,92
2022-01-10,101
2022-01-17,67
2022-01-24,105
2022-01-31,111
2022-02-07,85
2022-02-14,96
2022-02-21,86
2022-03-07,103
2022-03-14,103
2022-03-21,112
2022-03-28,123
2022-04-04,78
2022-04-11,76
2022-04-18,95
2022-04-25,92
2022-05-02,78
2022-05-09,115
2022-05-16,120
2022-05-23,124
2022-05-30,127
2022-06-06,115
2022-06-13,112
2022-06-20,86
2022-06-27,60
2022-07-04,102
2022-07-11,75
2022-07-18,119
2022-07-25,84
2022-08-01,102
2022-08-08,93
2022-08-15,93
2022-08-22,86
2022-08-29,95
2022-09-05,97
2022-09-12,93
2022-09-19,86
2022-09-26,84
2022-10-03,110
2022-10-10,99
2022-10-17,88
2022-10-24,95
2022-10-31,102
2022-11-07,83
2022-11-14,83
2022-11-21,97
2022-11-28,113
2022-12-05,66
2022-12-12,77
2022-12-19,105
2022-12-26,114
2023-01-02,76
2023-01-09,68
2023-01-16,92
2023-01-23,103
2023-01-30,112
2023-02-06,112
2023-02-13,113
2023-02-20,124
2023-03-06,94
2023-03-13,77
2023-03-20,84
2023-03-27,93
2023-04-03,93
2023-04-10,75
2023-04-17,93
2023-04-24,76
2023-05-01,76
2023-05-08,102
2023-05-15,52
2023-05-22,93
2023-05-29,104
2023-06-05,51
2023-06-12,60
2023-06-19,100
2023-06-26,94
2023-07-03,111
2023-07-10,76
2023-07-17,84
2023-07-24,92
2023-07-31,87
2023-08-07,77
2023-08-14,85
2023-08-21,93
2023-08-28,85
2023-09-04,59
2023-09-11,110
2023-09-18,92
2023-09-25,75
2023-10-02,59
2023-10-09,67
2023-10-16,59
2023-10-23,84
2023-10-30,76
2023-11-06,67
2023-11-13,79
