date,index
2016-08-29,77
2016-09-05,68
2016-09-12,67
2016-09-19,83
2016-09-26,85
2016-10-03,74
2016-10-10,67
2016-10-17,92
2016-10-24,76
2016-10-31,76
2016-11-07,83
2016-11-14,75
2016-11-21,93
2016-11-28,75
2016-12-05,84
2016-12-12,76
2016-12-19,94
2016-12-26,77
2017-01-02,85
2017-01-09,82
2017-01-16,50
2017-01-23,85
2017-01-30,78
2017-02-06,101
2017-02-13,100
2017-02-20,84
2017-03-06,93
2017-03-13,77
2017-03-20,87
2017-03-27,78
2017-04-03,100
2017-04-10,87
2017-04-17,58
2017-04-24,77
2017-05-01,101
2017-05-08,68
2017-05-15,114
2017-05-22,93
2017-05-29,95
2017-06-05,95
2017-06-12,112
2017-06-19,111
2017-06-26,110
2017-07-03,106
2017-07-10,128
2017-07-17,125
2017-07-24,152
2017-07-31,125
2017-08-07,118
2017-08-14,127
2017-08-21,128
2017-08-28,123
2017-09-04,121
2017-09-11,136
2017-09-18,131
2017-09-25,120
2017-10-02,132
2017-10-09,122
2017-10-16,108
2017-10-23,131
2017-10-30,127
2017-11-06,128
2017-11-13,125
2017-11-20,125
2017-11-27,120
2017-12-04,105
2017-12-11,101
2017-12-18,136
2017-12-25,120
2018-01-01,111
2018-01-08,126
2018-01-15,112
2018-01-22,104
2018-01-29,95
2018-02-05,106
2018-02-12,126
2018-02-19,118
2018-03-05,124
2018-03-12,123
2018-03-19,122
2018-03-26,114
2018-04-02,114
2018-04-09,112
2018-04-16,108
2018-04-23,117
2018-04-30,129
2018-05-07,120
2018-05-14,120
2018-05-21,110
2018-05-28,127
2018-06-04,109
2018-06-11,119
2018-06-18,127
2018-06-25,108
2018-07-02,118
2018-07-09,126
2018-07-16,129
2018-07-23,136
2018-07-30,155
2018-08-06,134
2018-08-13,127
2018-08-20,132
2018-08-27,130
2018-09-03,129
2018-09-10,107
2018-09-17,107
2018-09-24,97
2018-10-01,94
2018-10-08,128
2018-10-15,121
2018-10-22,123
2018-10-29,124
2018-11-05,116
2018-11-12,97
2018-11-19,112
2018-11-26,107
2018-12-03,116
2018-12-10,99
2018-12-17,102
2018-12-24,103
2018-12-31,113
2019-01-07,120
2019-01-14,93
2019-01-21,66
2019-01-28,97
2019-02-04,125
2019-02-11,104
2019-02-18,106
2019-03-04,106
2019-03-11,121
2019-03-18,114
2019-03-25,105
2019-04-01,111
2019-04-08,114
2019-04-15,118
2019-04-22,123
2019-04-29,126
2019-05-06,109
2019-05-13,110
2019-05-20,121
2019-05-27,120
2019-06-03,124
2019-06-10,119
2019-06-17,135
2019-06-24,117
2019-07-01,131
2019-07-08,123
2019-07-15,137
2019-07-22,125
2019-07-29,121
2019-08-05,110
2019-08-12,132
2019-08-19,425
2019-08-26,197
2019-09-02,142
2019-09-09,164
2019-09-16,130
2019-09-23,123
2019-09-30,128
2019-10-07,117
2019-10-14,125
2019-10-21,114
2019-10-28,115
2019-11-04,105
2019-11-11,113
2019-11-18,110
2019-11-25,106
2019-12-02,104
2019-12-09,96
2019-12-16,94
2019-12-23,102
2019-12-30,102
2020-01-06,49
2020-01-13,73
2020-01-20,75
2020-01-27,95
2020-02-03,93
2020-02-10,111
2020-02-17,126
2020-03-02,87
2020-03-09,115
2020-03-16,116
2020-03-23,86
2020-03-30,52
2020-04-06,66
2020-04-13,41
2020-04-20,82
2020-04-27,75
2020-05-04,59
2020-05-11,83
2020-05-18,83
2020-05-25,59
2020-06-01,33
2020-06-08,16
2020-06-15,42
2020-06-22,25
2020-06-29,33
2020-07-06,66
2020-07-13,50
2020-07-20,58
2020-07-27,83
2020-08-03,97
2020-08-10,96
2020-08-17,103
2020-08-24,112
2020-08-31,85
2020-09-07,100
2020-09-14,67
2020-09-21,67
2020-09-28,68
2020-10-05,93
2020-10-12,92
2020-10-19,84
2020-10-26,96
2020-11-02,117
2020-11-09,109
2020-11-16,85
2020-11-23,84
2020-11-30,85
2020-12-07,87
2020-12-14,86
2020-12-21,94
2020-12-28,103
2021-01-04,103
2021-01-11,102
2021-01-18,104
