date,index
2016-08-29,877
2016-09-05,927
2016-09-12,726
2016-09-19,757
2016-09-26,681
2016-10-03,884
2016-10-10,656
2016-10-17,642
2016-10-24,648
2016-10-31,555
2016-11-07,580
2016-11-14,576
2016-11-21,829
2016-11-28,732
2016-12-05,639
2016-12-12,725
2016-12-19,751
2016-12-26,831
2017-01-02,5105
2017-01-09,1476
2017-01-16,774
2017-01-23,794
2017-01-30,725
2017-02-06,644
2017-02-13,876
2017-02-20,1121
2017-03-06,759
2017-03-13,662
2017-03-20,673
2017-03-27,581
2017-04-03,606
2017-04-10,566
2017-04-17,593
2017-04-24,577
2017-05-01,606
2017-05-08,566
2017-05-15,640
2017-05-22,612
2017-05-29,562
2017-06-05,557
2017-06-12,652
2017-06-19,651
2017-06-26,691
2017-07-03,654
2017-07-10,746
2017-07-17,644
2017-07-24,644
2017-07-31,644
2017-08-07,617
2017-08-14,641
2017-08-21,634
2017-08-28,683
2017-09-04,690
2017-09-11,757
2017-09-18,896
2017-09-25,602
2017-10-02,719
2017-10-09,713
2017-10-16,677
2017-10-23,662
2017-10-30,578
2017-11-06,574
2017-11-13,546
2017-11-20,653
2017-11-27,627
2017-12-04,671
2017-12-11,683
2017-12-18,607
2017-12-25,608
2018-01-01,687
2018-01-08,963
2018-01-15,931
2018-01-22,1287
2018-01-29,923
2018-02-05,611
2018-02-12,661
2018-02-19,607
2018-03-05,585
2018-03-12,550
2018-03-19,550
2018-03-26,549
2018-04-02,541
2018-04-09,550
2018-04-16,559
2018-04-23,556
2018-04-30,553
2018-05-07,535
2018-05-14,595
2018-05-21,544
2018-05-28,572
2018-06-04,568
2018-06-11,528
2018-06-18,581
2018-06-25,553
2018-07-02,601
2018-07-09,618
2018-07-16,602
2018-07-23,1052
2018-07-30,1063
2018-08-06,668
2018-08-13,633
2018-08-20,619
2018-08-27,622
2018-09-03,699
2018-09-10,744
2018-09-17,659
2018-09-24,501
2018-10-01,596
2018-10-08,547
2018-10-15,567
2018-10-22,557
2018-10-29,484
2018-11-05,501
2018-11-12,463
2018-11-19,546
2018-11-26,534
2018-12-03,487
2018-12-10,479
2018-12-17,520
2018-12-24,532
2018-12-31,598
2019-01-07,815
2019-01-14,918
2019-01-21,484
2019-01-28,505
2019-02-04,513
2019-02-11,555
2019-02-18,472
2019-03-04,439
2019-03-11,409
2019-03-18,461
2019-03-25,439
2019-04-01,448
2019-04-08,436
2019-04-15,433
2019-04-22,440
2019-04-29,460
2019-05-06,489
2019-05-13,466
2019-05-20,501
2019-05-27,507
2019-06-03,511
2019-06-10,588
2019-06-17,1126
2019-06-24,579
2019-07-01,490
2019-07-08,490
2019-07-15,472
2019-07-22,470
2019-07-29,458
2019-08-05,443
2019-08-12,455
2019-08-19,532
2019-08-26,561
2019-09-02,581
2019-09-09,482
2019-09-16,563
2019-09-23,395
2019-09-30,393
2019-10-07,417
2019-10-14,408
2019-10-21,475
2019-10-28,423
2019-11-04,444
2019-11-11,406
2019-11-18,393
2019-11-25,401
2019-12-02,404
2019-12-09,430
2019-12-16,470
2019-12-23,520
2019-12-30,729
2020-01-06,597
2020-01-13,588
2020-01-20,556
2020-01-27,506
2020-02-03,470
2020-02-10,420
2020-02-17,427
2020-03-02,399
2020-03-09,385
2020-03-16,370
2020-03-23,406
2020-03-30,380
2020-04-06,382
2020-04-13,377
2020-04-20,391
2020-04-27,367
2020-05-04,356
2020-05-11,359
2020-05-18,387
2020-05-25,364
2020-06-01,373
2020-06-08,393
2020-06-15,417
2020-06-22,350
2020-06-29,364
2020-07-06,359
2020-07-13,344
2020-07-20,372
2020-07-27,368
2020-08-03,383
2020-08-10,413
2020-08-17,358
2020-08-24,370
2020-08-31,400
2020-09-07,415
2020-09-14,499
2020-09-21,456
2020-09-28,389
2020-10-05,367
2020-10-12,374
2020-10-19,398
2020-10-26,391
2020-11-02,368
2020-11-09,367
2020-11-16,429
2020-11-23,415
2020-11-30,379
2020-12-07,400
2020-12-14,413
2020-12-21,394
2020-12-28,435
2021-01-04,408
2021-01-11,518
2021-01-18,610
2021-01-25,597
2021-02-01,380
2021-02-08,369
2021-02-15,349
2021-02-22,323
2021-03-08,354
2021-03-15,362
2021-03-22,315
2021-03-29,302
2021-04-05,318
2021-04-12,303
2021-04-19,307
2021-04-26,297
2021-05-03,303
2021-05-10,288
2021-05-17,321
2021-05-24,299
2021-05-31,288
2021-06-07,287
2021-06-14,279
2021-06-21,286
2021-06-28,286
2021-07-05,294
2021-07-12,288
2021-07-19,274
2021-07-26,283
2021-08-02,287
2021-08-09,298
2021-08-16,291
2021-08-23,296
2021-08-30,329
2021-09-06,369
2021-09-13,315
2021-09-20,300
2021-09-27,279
2021-10-04,273
2021-10-11,290
2021-10-18,343
2021-10-25,270
2021-11-01,268
2021-11-08,274
2021-11-15,263
2021-11-22,270
2021-11-29,262
2021-12-06,288
2021-12-13,388
2021-12-20,351
2021-12-27,354
2022-01-03,398
2022-01-10,525
2022-01-17,366
2022-01-24,326
2022-01-31,308
2022-02-07,299
2022-02-14,343
2022-02-21,334
2022-03-07,361
2022-03-14,308
2022-03-21,364
2022-03-28,338
2022-04-04,340
2022-04-11,374
2022-04-18,396
2022-04-25,288
2022-05-02,303
2022-05-09,279
2022-05-16,282
2022-05-23,289
2022-05-30,255
2022-06-06,252
2022-06-13,243
2022-06-20,251
2022-06-27,248
2022-07-04,283
2022-07-11,277
2022-07-18,266
2022-07-25,269
2022-08-01,259
2022-08-08,273
2022-08-15,271
2022-08-22,303
2022-08-29,334
2022-09-05,279
2022-09-12,266
2022-09-19,279
2022-09-26,279
2022-10-03,256
2022-10-10,245
2022-10-17,241
2022-10-24,242
2022-10-31,248
2022-11-07,284
2022-11-14,249
2022-11-21,240
2022-11-28,211
2022-12-05,277
2022-12-12,432
2022-12-19,686
2022-12-26,2058
2023-01-02,1070
2023-01-09,796
2023-01-16,994
2023-01-23,969
2023-01-30,735
2023-02-06,645
2023-02-13,562
2023-02-20,441
2023-03-06,399
2023-03-13,431
2023-03-20,509
2023-03-27,416
2023-04-03,355
2023-04-10,337
2023-04-17,401
2023-04-24,423
2023-05-01,377
2023-05-08,354
2023-05-15,354
2023-05-22,386
2023-05-29,525
2023-06-05,443
2023-06-12,371
2023-06-19,448
2023-06-26,400
2023-07-03,360
2023-07-10,341
2023-07-17,344
2023-07-24,363
2023-07-31,421
2023-08-07,421
2023-08-14,575
2023-08-21,593
2023-08-28,401
2023-09-04,783
2023-09-11,406
2023-09-18,337
2023-09-25,305
2023-10-02,337
2023-10-09,291
2023-10-16,291
2023-10-23,246
2023-10-30,240
2023-11-06,258
2023-11-13,234
2023-11-20,233
2023-11-27,213
2023-12-04,235
2023-12-11,256
2023-12-18,327
2023-12-25,239
2024-01-01,249
2024-01-08,263
2024-01-15,262
2024-01-22,236
2024-01-29,217
2024-02-05,221
2024-02-12,218
2024-02-19,217
2024-03-04,212
2024-03-11,211
2024-03-18,204
2024-03-25,201
2024-04-01,196
2024-04-08,194
2024-04-15,174
2024-04-22,179
2024-04-29,175
2024-05-06,188
2024-05-13,203
2024-05-20,177
2024-05-27,174
2024-06-03,157
2024-06-10,176
2024-06-17,172
2024-06-24,171
2024-07-01,180
2024-07-08,160
2024-07-15,174
2024-07-22,165
2024-07-29,163
2024-08-05,169
2024-08-12,168
2024-08-19,175
2024-08-26,169
2024-09-02,175
2024-09-09,164
2024-09-16,171
2024-09-23,166
2024-09-30,164
2024-10-07,175
2024-10-14,172
2024-10-21,172
2024-10-28,181
2024-11-04,180
2024-11-11,176
2024-11-18,161
2024-11-25,171
2024-12-02,176
2024-12-09,165
2024-12-16,165
2024-12-23,169
2024-12-30,174
2025-01-06,170
2025-01-13,141
2025-01-20,160
2025-01-27,169
2025-02-03,165
2025-02-10,166
2025-02-17,157
2025-03-03,163
2025-03-10,159
2025-03-17,160
2025-03-24,153
2025-03-31,159
2025-04-07,155
2025-04-14,155
2025-04-21,140
2025-04-28,152
2025-05-05,155
2025-05-12,149
2025-05-19,134
2025-05-26,140
2025-06-02,143
2025-06-09,150
2025-06-16,135
2025-06-23,152
2025-06-30,143
2025-07-07,153
2025-07-14,143
2025-07-21,139
2025-07-28,146
2025-08-04,157
2025-08-11,156
