date,index
2016-08-29,439
2016-09-05,489
2016-09-12,418
2016-09-19,418
2016-09-26,396
2016-10-03,480
2016-10-10,421
2016-10-17,415
2016-10-24,355
2016-10-31,307
2016-11-07,317
2016-11-14,326
2016-11-21,404
2016-11-28,380
2016-12-05,344
2016-12-12,359
2016-12-19,365
2016-12-26,363
2017-01-02,2351
2017-01-09,860
2017-01-16,401
2017-01-23,379
2017-01-30,350
2017-02-06,347
2017-02-13,368
2017-02-20,533
2017-03-06,362
2017-03-13,301
2017-03-20,287
2017-03-27,255
2017-04-03,261
2017-04-10,246
2017-04-17,255
2017-04-24,253
2017-05-01,260
2017-05-08,266
2017-05-15,309
2017-05-22,311
2017-05-29,285
2017-06-05,289
2017-06-12,337
2017-06-19,354
2017-06-26,315
2017-07-03,318
2017-07-10,312
2017-07-17,300
2017-07-24,296
2017-07-31,286
2017-08-07,302
2017-08-14,295
2017-08-21,304
2017-08-28,299
2017-09-04,308
2017-09-11,304
2017-09-18,331
2017-09-25,268
2017-10-02,296
2017-10-09,280
2017-10-16,271
2017-10-23,283
2017-10-30,260
2017-11-06,268
2017-11-13,248
2017-11-20,269
2017-11-27,275
2017-12-04,264
2017-12-11,274
2017-12-18,283
2017-12-25,257
2018-01-01,283
2018-01-08,339
2018-01-15,301
2018-01-22,395
2018-01-29,283
2018-02-05,260
2018-02-12,273
2018-02-19,310
2018-03-05,276
2018-03-12,281
2018-03-19,307
2018-03-26,277
2018-04-02,268
2018-04-09,270
2018-04-16,264
2018-04-23,266
2018-04-30,250
2018-05-07,262
2018-05-14,251
2018-05-21,260
2018-05-28,253
2018-06-04,279
2018-06-11,251
2018-06-18,260
2018-06-25,260
2018-07-02,289
2018-07-09,295
2018-07-16,270
2018-07-23,392
2018-07-30,348
2018-08-06,281
2018-08-13,266
2018-08-20,269
2018-08-27,265
2018-09-03,274
2018-09-10,289
2018-09-17,274
2018-09-24,248
2018-10-01,257
2018-10-08,249
2018-10-15,266
2018-10-22,277
2018-10-29,253
2018-11-05,250
2018-11-12,246
2018-11-19,262
2018-11-26,263
2018-12-03,244
2018-12-10,243
2018-12-17,252
2018-12-24,245
2018-12-31,265
2019-01-07,277
2019-01-14,317
2019-01-21,216
2019-01-28,253
2019-02-04,251
2019-02-11,263
2019-02-18,242
2019-03-04,240
2019-03-11,227
2019-03-18,241
2019-03-25,234
2019-04-01,223
2019-04-08,230
2019-04-15,241
2019-04-22,236
2019-04-29,244
2019-05-06,247
2019-05-13,245
2019-05-20,258
2019-05-27,242
2019-06-03,259
2019-06-10,303
2019-06-17,492
2019-06-24,266
2019-07-01,250
2019-07-08,254
2019-07-15,242
2019-07-22,233
2019-07-29,240
2019-08-05,233
2019-08-12,232
2019-08-19,262
2019-08-26,255
2019-09-02,263
2019-09-09,248
2019-09-16,315
2019-09-23,236
2019-09-30,254
2019-10-07,238
2019-10-14,231
2019-10-21,244
2019-10-28,217
2019-11-04,213
2019-11-11,220
2019-11-18,207
2019-11-25,214
2019-12-02,211
2019-12-09,222
2019-12-16,228
2019-12-23,229
2019-12-30,286
2020-01-06,268
2020-01-13,273
2020-01-20,268
2020-01-27,261
2020-02-03,231
2020-02-10,220
2020-02-17,234
2020-03-02,228
2020-03-09,221
2020-03-16,219
2020-03-23,247
2020-03-30,219
2020-04-06,213
2020-04-13,218
2020-04-20,224
2020-04-27,217
2020-05-04,217
2020-05-11,227
2020-05-18,217
2020-05-25,226
2020-06-01,226
2020-06-08,230
2020-06-15,226
2020-06-22,210
2020-06-29,220
2020-07-06,226
2020-07-13,227
2020-07-20,223
2020-07-27,234
2020-08-03,241
2020-08-10,257
2020-08-17,240
2020-08-24,228
2020-08-31,232
2020-09-07,230
2020-09-14,229
2020-09-21,234
2020-09-28,226
2020-10-05,242
2020-10-12,241
2020-10-19,229
2020-10-26,238
2020-11-02,233
2020-11-09,227
2020-11-16,245
2020-11-23,218
2020-11-30,197
2020-12-07,203
2020-12-14,222
2020-12-21,204
2020-12-28,208
2021-01-04,205
2021-01-11,220
2021-01-18,249
2021-01-25,230
2021-02-01,199
2021-02-08,215
2021-02-15,207
2021-02-22,203
2021-03-08,221
2021-03-15,220
2021-03-22,190
2021-03-29,194
2021-04-05,202
2021-04-12,188
2021-04-19,171
2021-04-26,182
2021-05-03,187
2021-05-10,183
2021-05-17,202
2021-05-24,188
2021-05-31,201
2021-06-07,192
2021-06-14,189
2021-06-21,176
2021-06-28,205
2021-07-05,182
2021-07-12,196
2021-07-19,188
2021-07-26,181
2021-08-02,186
2021-08-09,193
2021-08-16,191
2021-08-23,190
2021-08-30,209
2021-09-06,212
2021-09-13,202
2021-09-20,339
2021-09-27,209
2021-10-04,193
2021-10-11,197
2021-10-18,213
2021-10-25,168
2021-11-01,161
2021-11-08,181
2021-11-15,176
2021-11-22,172
2021-11-29,169
2021-12-06,188
2021-12-13,212
2021-12-20,193
2021-12-27,207
2022-01-03,203
2022-01-10,226
2022-01-17,165
2022-01-24,183
2022-01-31,189
2022-02-07,182
2022-02-14,182
2022-02-21,181
2022-03-07,194
2022-03-14,186
2022-03-21,197
2022-03-28,194
2022-04-04,191
2022-04-11,191
2022-04-18,193
2022-04-25,194
2022-05-02,188
2022-05-09,180
2022-05-16,189
2022-05-23,196
2022-05-30,176
2022-06-06,178
2022-06-13,170
2022-06-20,188
2022-06-27,193
2022-07-04,189
2022-07-11,173
2022-07-18,185
2022-07-25,183
2022-08-01,178
2022-08-08,174
2022-08-15,158
2022-08-22,192
2022-08-29,203
2022-09-05,184
2022-09-12,161
2022-09-19,142
2022-09-26,152
2022-10-03,162
2022-10-10,155
2022-10-17,175
2022-10-24,164
2022-10-31,167
2022-11-07,161
2022-11-14,151
2022-11-21,153
2022-11-28,122
2022-12-05,116
2022-12-12,178
2022-12-19,211
2022-12-26,320
2023-01-02,237
2023-01-09,164
2023-01-16,247
2023-01-23,295
2023-01-30,226
2023-02-06,213
2023-02-13,197
2023-02-20,189
2023-03-06,191
2023-03-13,183
2023-03-20,188
2023-03-27,191
2023-04-03,176
2023-04-10,178
2023-04-17,176
2023-04-24,163
2023-05-01,156
2023-05-08,163
2023-05-15,175
2023-05-22,181
2023-05-29,180
2023-06-05,179
2023-06-12,169
2023-06-19,166
2023-06-26,188
2023-07-03,184
2023-07-10,176
2023-07-17,143
2023-07-24,180
2023-07-31,168
2023-08-07,188
2023-08-14,206
2023-08-21,261
2023-08-28,182
2023-09-04,189
2023-09-11,181
2023-09-18,169
2023-09-25,157
2023-10-02,194
2023-10-09,443
2023-10-16,174
2023-10-23,161
2023-10-30,155
2023-11-06,173
2023-11-13,148
2023-11-20,150
2023-11-27,146
2023-12-04,141
2023-12-11,170
2023-12-18,190
2023-12-25,144
2024-01-01,167
2024-01-08,157
2024-01-15,153
2024-01-22,137
2024-01-29,133
2024-02-05,135
2024-02-12,144
2024-02-19,155
2024-03-04,148
2024-03-11,134
2024-03-18,125
2024-03-25,138
2024-04-01,141
2024-04-08,140
2024-04-15,129
2024-04-22,133
2024-04-29,144
2024-05-06,138
2024-05-13,127
2024-05-20,110
2024-05-27,128
2024-06-03,119
2024-06-10,128
2024-06-17,130
2024-06-24,131
2024-07-01,111
2024-07-08,123
2024-07-15,123
2024-07-22,117
2024-07-29,113
2024-08-05,125
2024-08-12,130
2024-08-19,117
2024-08-26,139
2024-09-02,116
2024-09-09,93
2024-09-16,128
2024-09-23,90
2024-09-30,112
2024-10-07,111
2024-10-14,130
2024-10-21,107
2024-10-28,139
2024-11-04,134
2024-11-11,125
2024-11-18,113
