date,index
2016-08-29,169
2016-09-05,164
2016-09-12,159
2016-09-19,161
2016-09-26,156
2016-10-03,160
2016-10-10,165
2016-10-17,154
2016-10-24,147
2016-10-31,156
2016-11-07,155
2016-11-14,159
2016-11-21,168
2016-11-28,170
2016-12-05,169
2016-12-12,156
2016-12-19,154
2016-12-26,141
2017-01-02,1059
2017-01-09,344
2017-01-16,160
2017-01-23,182
2017-01-30,166
2017-02-06,160
2017-02-13,196
2017-02-20,341
2017-03-06,193
2017-03-13,166
2017-03-20,184
2017-03-27,149
2017-04-03,164
2017-04-10,157
2017-04-17,152
2017-04-24,150
2017-05-01,155
2017-05-08,140
2017-05-15,161
2017-05-22,149
2017-05-29,151
2017-06-05,151
2017-06-12,153
2017-06-19,169
2017-06-26,165
2017-07-03,172
2017-07-10,160
2017-07-17,161
2017-07-24,165
2017-07-31,153
2017-08-07,156
2017-08-14,159
2017-08-21,153
2017-08-28,161
2017-09-04,156
2017-09-11,152
2017-09-18,161
2017-09-25,153
2017-10-02,153
2017-10-09,160
2017-10-16,152
2017-10-23,149
2017-10-30,149
2017-11-06,150
2017-11-13,152
2017-11-20,154
2017-11-27,155
2017-12-04,155
2017-12-11,161
2017-12-18,144
2017-12-25,144
2018-01-01,152
2018-01-08,184
2018-01-15,159
2018-01-22,178
2018-01-29,142
2018-02-05,139
2018-02-12,153
2018-02-19,151
2018-03-05,155
2018-03-12,144
2018-03-19,160
2018-03-26,151
2018-04-02,154
2018-04-09,155
2018-04-16,147
2018-04-23,147
2018-04-30,145
2018-05-07,147
2018-05-14,152
2018-05-21,164
2018-05-28,164
2018-06-04,161
2018-06-11,157
2018-06-18,154
2018-06-25,156
2018-07-02,167
2018-07-09,184
2018-07-16,169
2018-07-23,232
2018-07-30,198
2018-08-06,170
2018-08-13,166
2018-08-20,170
2018-08-27,164
2018-09-03,161
2018-09-10,171
2018-09-17,166
2018-09-24,151
2018-10-01,172
2018-10-08,174
2018-10-15,165
2018-10-22,160
2018-10-29,152
2018-11-05,146
2018-11-12,153
2018-11-19,149
2018-11-26,169
2018-12-03,149
2018-12-10,154
2018-12-17,162
2018-12-24,133
2018-12-31,151
2019-01-07,165
2019-01-14,169
2019-01-21,117
2019-01-28,158
