date,index
2016-08-29,256
2016-09-05,258
2016-09-12,241
2016-09-19,242
2016-09-26,231
2016-10-03,236
2016-10-10,244
2016-10-17,230
2016-10-24,211
2016-10-31,209
2016-11-07,217
2016-11-14,218
2016-11-21,246
2016-11-28,238
2016-12-05,213
2016-12-12,214
2016-12-19,219
2016-12-26,246
2017-01-02,1535
2017-01-09,442
2017-01-16,230
2017-01-23,250
2017-01-30,238
2017-02-06,227
2017-02-13,282
2017-02-20,384
2017-03-06,268
2017-03-13,249
2017-03-20,247
2017-03-27,224
2017-04-03,233
2017-04-10,229
2017-04-17,239
2017-04-24,221
2017-05-01,223
2017-05-08,238
2017-05-15,239
2017-05-22,235
2017-05-29,229
2017-06-05,228
2017-06-12,244
2017-06-19,240
2017-06-26,248
2017-07-03,255
2017-07-10,276
2017-07-17,242
2017-07-24,224
2017-07-31,226
2017-08-07,219
2017-08-14,225
2017-08-21,231
2017-08-28,224
2017-09-04,238
2017-09-11,253
2017-09-18,250
2017-09-25,194
2017-10-02,222
2017-10-09,224
2017-10-16,234
2017-10-23,210
2017-10-30,222
2017-11-06,217
2017-11-13,196
2017-11-20,237
2017-11-27,219
2017-12-04,227
2017-12-11,237
2017-12-18,223
2017-12-25,199
2018-01-01,232
2018-01-08,310
2018-01-15,243
2018-01-22,282
2018-01-29,203
2018-02-05,192
2018-02-12,221
2018-02-19,217
2018-03-05,230
2018-03-12,225
2018-03-19,229
2018-03-26,219
2018-04-02,230
2018-04-09,221
2018-04-16,221
2018-04-23,230
2018-04-30,223
2018-05-07,215
2018-05-14,223
2018-05-21,225
2018-05-28,213
2018-06-04,231
2018-06-11,215
2018-06-18,217
2018-06-25,236
2018-07-02,248
2018-07-09,241
2018-07-16,241
2018-07-23,365
2018-07-30,305
2018-08-06,233
2018-08-13,227
2018-08-20,233
2018-08-27,240
2018-09-03,252
2018-09-10,255
2018-09-17,221
2018-09-24,202
2018-10-01,244
2018-10-08,226
2018-10-15,240
2018-10-22,264
2018-10-29,228
2018-11-05,224
2018-11-12,237
2018-11-19,268
2018-11-26,275
2018-12-03,212
2018-12-10,201
2018-12-17,243
2018-12-24,218
2018-12-31,215
2019-01-07,235
2019-01-14,247
2019-01-21,185
2019-01-28,195
2019-02-04,211
2019-02-11,243
2019-02-18,222
2019-03-04,223
2019-03-11,209
2019-03-18,234
2019-03-25,211
2019-04-01,213
2019-04-08,221
2019-04-15,222
2019-04-22,201
2019-04-29,225
2019-05-06,228
2019-05-13,226
2019-05-20,236
2019-05-27,225
2019-06-03,246
2019-06-10,301
2019-06-17,538
2019-06-24,254
2019-07-01,237
2019-07-08,226
2019-07-15,224
2019-07-22,218
2019-07-29,204
2019-08-05,204
2019-08-12,209
2019-08-19,240
2019-08-26,232
2019-09-02,208
2019-09-09,216
2019-09-16,256
2019-09-23,177
2019-09-30,221
2019-10-07,204
2019-10-14,201
2019-10-21,211
2019-10-28,207
2019-11-04,200
2019-11-11,197
2019-11-18,197
2019-11-25,185
2019-12-02,179
2019-12-09,194
2019-12-16,201
2019-12-23,198
2019-12-30,212
2020-01-06,184
2020-01-13,196
2020-01-20,182
2020-01-27,201
2020-02-03,181
2020-02-10,191
2020-02-17,191
2020-03-02,189
2020-03-09,198
2020-03-16,189
2020-03-23,190
2020-03-30,183
2020-04-06,181
2020-04-13,180
2020-04-20,189
2020-04-27,186
2020-05-04,188
2020-05-11,180
2020-05-18,180
2020-05-25,184
2020-06-01,180
2020-06-08,176
2020-06-15,173
2020-06-22,172
2020-06-29,163
2020-07-06,170
2020-07-13,170
2020-07-20,171
2020-07-27,170
2020-08-03,178
2020-08-10,205
2020-08-17,172
2020-08-24,168
2020-08-31,167
2020-09-07,184
2020-09-14,193
2020-09-21,154
2020-09-28,174
2020-10-05,181
2020-10-12,184
2020-10-19,204
2020-10-26,190
2020-11-02,200
2020-11-09,189
2020-11-16,219
2020-11-23,207
2020-11-30,187
2020-12-07,189
2020-12-14,168
2020-12-21,168
2020-12-28,180
2021-01-04,170
2021-01-11,170
2021-01-18,188
2021-01-25,158
2021-02-01,158
2021-02-08,165
2021-02-15,174
2021-02-22,178
2021-03-08,186
2021-03-15,210
2021-03-22,177
2021-03-29,162
2021-04-05,163
2021-04-12,162
2021-04-19,160
2021-04-26,157
2021-05-03,165
2021-05-10,167
2021-05-17,161
2021-05-24,160
2021-05-31,160
2021-06-07,153
2021-06-14,151
2021-06-21,155
2021-06-28,157
2021-07-05,163
2021-07-12,157
2021-07-19,155
2021-07-26,164
2021-08-02,163
2021-08-09,168
2021-08-16,158
2021-08-23,161
2021-08-30,177
2021-09-06,181
2021-09-13,163
2021-09-20,150
2021-09-27,149
2021-10-04,161
2021-10-11,181
2021-10-18,212
2021-10-25,163
2021-11-01,157
2021-11-08,154
2021-11-15,152
2021-11-22,147
2021-11-29,142
2021-12-06,159
2021-12-13,189
2021-12-20,165
2021-12-27,154
2022-01-03,167
2022-01-10,168
2022-01-17,151
2022-01-24,177
2022-01-31,270
2022-02-07,192
2022-02-14,189
2022-02-21,160
2022-03-07,175
2022-03-14,165
2022-03-21,164
2022-03-28,161
2022-04-04,160
2022-04-11,165
2022-04-18,166
2022-04-25,159
2022-05-02,163
2022-05-09,157
2022-05-16,156
2022-05-23,153
2022-05-30,156
2022-06-06,151
2022-06-13,154
2022-06-20,150
2022-06-27,148
2022-07-04,139
2022-07-11,144
2022-07-18,148
2022-07-25,144
2022-08-01,146
2022-08-08,145
2022-08-15,151
2022-08-22,142
2022-08-29,141
2022-09-05,149
2022-09-12,162
2022-09-19,143
2022-09-26,131
2022-10-03,141
2022-10-10,142
2022-10-17,141
2022-10-24,134
2022-10-31,152
2022-11-07,148
2022-11-14,145
2022-11-21,141
2022-11-28,127
2022-12-05,132
2022-12-12,138
2022-12-19,168
2022-12-26,282
2023-01-02,169
2023-01-09,147
2023-01-16,194
2023-01-23,261
2023-01-30,180
2023-02-06,190
2023-02-13,180
2023-02-20,153
2023-03-06,166
2023-03-13,161
2023-03-20,190
2023-03-27,184
2023-04-03,165
2023-04-10,165
2023-04-17,161
2023-04-24,154
2023-05-01,224
2023-05-08,162
2023-05-15,156
2023-05-22,153
2023-05-29,148
2023-06-05,150
2023-06-12,177
2023-06-19,214
2023-06-26,186
2023-07-03,146
2023-07-10,158
2023-07-17,146
2023-07-24,165
2023-07-31,143
2023-08-07,141
2023-08-14,171
2023-08-21,549
2023-08-28,162
2023-09-04,164
2023-09-11,158
2023-09-18,139
2023-09-25,123
2023-10-02,136
2023-10-09,144
2023-10-16,141
2023-10-23,133
2023-10-30,125
2023-11-06,133
2023-11-13,137
2023-11-20,145
2023-11-27,135
2023-12-04,135
2023-12-11,128
2023-12-18,180
2023-12-25,133
2024-01-01,126
2024-01-08,129
2024-01-15,126
2024-01-22,119
2024-01-29,81
2024-02-05,131
2024-02-12,136
2024-02-19,141
2024-03-04,132
2024-03-11,124
2024-03-18,132
2024-03-25,129
2024-04-01,122
2024-04-08,114
2024-04-15,134
2024-04-22,110
2024-04-29,123
2024-05-06,127
2024-05-13,120
2024-05-20,116
2024-05-27,127
2024-06-03,110
2024-06-10,123
2024-06-17,103
2024-06-24,113
2024-07-01,122
2024-07-08,117
2024-07-15,129
2024-07-22,110
2024-07-29,123
2024-08-05,106
2024-08-12,114
2024-08-19,129
2024-08-26,122
2024-09-02,131
2024-09-09,109
2024-09-16,118
2024-09-23,91
2024-09-30,116
2024-10-07,115
2024-10-14,121
2024-10-21,124
2024-10-28,128
2024-11-04,112
2024-11-11,120
2024-11-18,123
2024-11-25,124
2024-12-02,125
2024-12-09,110
2024-12-16,125
2024-12-23,99
2024-12-30,122
2025-01-06,99
2025-01-13,77
2025-01-20,96
2025-01-27,116
2025-02-03,114
2025-02-10,99
2025-02-17,113
2025-03-03,107
2025-03-10,112
2025-03-17,89
2025-03-24,104
2025-03-31,110
2025-04-07,109
2025-04-14,113
2025-04-21,90
2025-04-28,107
2025-05-05,114
2025-05-12,85
2025-05-19,96
2025-05-26,86
2025-06-02,111
2025-06-09,113
2025-06-16,97
2025-06-23,106
2025-06-30,106
2025-07-07,97
2025-07-14,107
2025-07-21,105
2025-07-28,61
2025-08-04,98
2025-08-11,87
