date,index
2016-08-29,158
2016-09-05,160
2016-09-12,158
2016-09-19,156
2016-09-26,165
2016-10-03,160
2016-10-10,155
2016-10-17,154
2016-10-24,154
2016-10-31,158
2016-11-07,158
2016-11-14,152
2016-11-21,165
2016-11-28,156
2016-12-05,146
2016-12-12,154
2016-12-19,150
2016-12-26,149
2017-01-02,1192
2017-01-09,276
2017-01-16,175
2017-01-23,172
2017-01-30,156
2017-02-06,150
2017-02-13,221
2017-02-20,297
2017-03-06,201
2017-03-13,179
2017-03-20,183
2017-03-27,157
2017-04-03,164
2017-04-10,162
2017-04-17,164
2017-04-24,157
2017-05-01,162
2017-05-08,153
2017-05-15,167
2017-05-22,162
2017-05-29,155
2017-06-05,140
2017-06-12,163
2017-06-19,162
2017-06-26,170
2017-07-03,170
2017-07-10,178
2017-07-17,161
2017-07-24,157
2017-07-31,169
2017-08-07,161
2017-08-14,161
2017-08-21,163
2017-08-28,164
2017-09-04,166
2017-09-11,177
2017-09-18,177
2017-09-25,168
2017-10-02,171
2017-10-09,169
2017-10-16,160
2017-10-23,172
2017-10-30,161
2017-11-06,157
2017-11-13,167
2017-11-20,164
2017-11-27,172
2017-12-04,178
2017-12-11,165
2017-12-18,161
2017-12-25,162
2018-01-01,188
2018-01-08,236
2018-01-15,190
2018-01-22,212
2018-01-29,170
2018-02-05,163
2018-02-12,163
2018-02-19,167
2018-03-05,174
2018-03-12,166
2018-03-19,174
2018-03-26,169
2018-04-02,158
2018-04-09,165
2018-04-16,157
2018-04-23,158
2018-04-30,156
2018-05-07,158
2018-05-14,159
2018-05-21,165
2018-05-28,168
2018-06-04,163
2018-06-11,158
2018-06-18,161
2018-06-25,164
2018-07-02,170
2018-07-09,176
2018-07-16,170
2018-07-23,257
2018-07-30,214
2018-08-06,170
2018-08-13,172
2018-08-20,163
2018-08-27,171
2018-09-03,169
2018-09-10,192
2018-09-17,169
2018-09-24,158
2018-10-01,177
2018-10-08,173
2018-10-15,172
2018-10-22,171
2018-10-29,147
2018-11-05,156
2018-11-12,159
2018-11-19,179
2018-11-26,179
2018-12-03,160
2018-12-10,151
2018-12-17,162
2018-12-24,148
2018-12-31,150
2019-01-07,161
2019-01-14,164
2019-01-21,120
2019-01-28,151
2019-02-04,164
2019-02-11,162
2019-02-18,139
2019-03-04,144
2019-03-11,145
2019-03-18,153
2019-03-25,155
2019-04-01,151
2019-04-08,147
2019-04-15,152
2019-04-22,142
2019-04-29,162
2019-05-06,162
2019-05-13,166
2019-05-20,162
2019-05-27,161
2019-06-03,165
2019-06-10,211
2019-06-17,375
2019-06-24,185
2019-07-01,166
2019-07-08,163
2019-07-15,158
2019-07-22,162
2019-07-29,152
2019-08-05,163
2019-08-12,155
2019-08-19,187
2019-08-26,176
2019-09-02,166
2019-09-09,158
2019-09-16,192
2019-09-23,138
2019-09-30,162
2019-10-07,155
2019-10-14,161
2019-10-21,161
2019-10-28,150
2019-11-04,157
2019-11-11,154
2019-11-18,148
2019-11-25,156
2019-12-02,146
2019-12-09,151
2019-12-16,158
2019-12-23,155
2019-12-30,155
2020-01-06,121
2020-01-13,161
2020-01-20,138
2020-01-27,144
2020-02-03,134
2020-02-10,143
2020-02-17,136
2020-03-02,148
2020-03-09,144
2020-03-16,144
2020-03-23,149
2020-03-30,140
2020-04-06,144
2020-04-13,149
2020-04-20,150
2020-04-27,147
2020-05-04,149
2020-05-11,138
2020-05-18,152
2020-05-25,149
2020-06-01,153
2020-06-08,146
2020-06-15,145
2020-06-22,146
2020-06-29,146
2020-07-06,146
2020-07-13,150
2020-07-20,153
2020-07-27,146
2020-08-03,156
2020-08-10,174
2020-08-17,147
2020-08-24,150
2020-08-31,150
2020-09-07,154
2020-09-14,156
2020-09-21,136
2020-09-28,143
2020-10-05,152
2020-10-12,154
2020-10-19,153
2020-10-26,158
2020-11-02,160
2020-11-09,157
2020-11-16,187
2020-11-23,160
2020-11-30,152
2020-12-07,155
2020-12-14,150
2020-12-21,150
2020-12-28,145
2021-01-04,143
2021-01-11,151
2021-01-18,153
2021-01-25,132
2021-02-01,122
2021-02-08,134
2021-02-15,150
2021-02-22,151
2021-03-08,154
2021-03-15,171
2021-03-22,146
2021-03-29,145
2021-04-05,143
2021-04-12,131
2021-04-19,129
2021-04-26,126
2021-05-03,125
2021-05-10,128
2021-05-17,138
2021-05-24,143
2021-05-31,131
2021-06-07,137
2021-06-14,135
2021-06-21,133
2021-06-28,120
2021-07-05,139
2021-07-12,132
2021-07-19,136
2021-07-26,134
2021-08-02,124
2021-08-09,131
2021-08-16,132
2021-08-23,126
2021-08-30,143
2021-09-06,141
2021-09-13,133
2021-09-20,132
2021-09-27,118
2021-10-04,144
2021-10-11,148
2021-10-18,202
2021-10-25,160
2021-11-01,159
2021-11-08,147
2021-11-15,143
2021-11-22,140
2021-11-29,129
2021-12-06,143
2021-12-13,174
2021-12-20,143
2021-12-27,128
2022-01-03,145
2022-01-10,139
2022-01-17,97
2022-01-24,128
2022-01-31,141
2022-02-07,140
2022-02-14,136
2022-02-21,130
2022-03-07,145
2022-03-14,141
2022-03-21,130
2022-03-28,132
2022-04-04,137
2022-04-11,146
2022-04-18,149
2022-04-25,146
2022-05-02,150
2022-05-09,145
2022-05-16,130
2022-05-23,129
2022-05-30,135
2022-06-06,116
2022-06-13,126
2022-06-20,124
2022-06-27,132
2022-07-04,125
2022-07-11,125
2022-07-18,121
2022-07-25,135
2022-08-01,137
2022-08-08,136
2022-08-15,121
2022-08-22,142
2022-08-29,135
2022-09-05,122
2022-09-12,124
2022-09-19,130
2022-09-26,107
2022-10-03,128
2022-10-10,121
2022-10-17,121
2022-10-24,128
2022-10-31,144
2022-11-07,145
2022-11-14,122
2022-11-21,134
2022-11-28,130
2022-12-05,116
2022-12-12,121
2022-12-19,154
2022-12-26,235
2023-01-02,136
2023-01-09,125
2023-01-16,164
2023-01-23,172
2023-01-30,146
2023-02-06,155
2023-02-13,147
2023-02-20,124
2023-03-06,121
2023-03-13,130
2023-03-20,145
2023-03-27,129
2023-04-03,152
2023-04-10,138
2023-04-17,136
2023-04-24,116
2023-05-01,127
2023-05-08,106
2023-05-15,124
2023-05-22,133
2023-05-29,140
2023-06-05,138
2023-06-12,110
2023-06-19,133
2023-06-26,129
2023-07-03,126
2023-07-10,113
2023-07-17,116
2023-07-24,140
2023-07-31,132
2023-08-07,134
2023-08-14,130
