date,index
2016-08-29,182
2016-09-05,191
2016-09-12,169
2016-09-19,173
2016-09-26,148
2016-10-03,173
2016-10-10,171
2016-10-17,165
2016-10-24,155
2016-10-31,159
2016-11-07,158
2016-11-14,151
2016-11-21,174
2016-11-28,167
2016-12-05,152
2016-12-12,163
2016-12-19,159
2016-12-26,164
2017-01-02,1197
2017-01-09,274
2017-01-16,165
2017-01-23,173
2017-01-30,164
2017-02-06,160
2017-02-13,239
2017-02-20,320
2017-03-06,195
2017-03-13,188
2017-03-20,189
2017-03-27,171
2017-04-03,185
2017-04-10,184
2017-04-17,206
2017-04-24,214
2017-05-01,215
2017-05-08,209
2017-05-15,221
2017-05-22,208
2017-05-29,192
2017-06-05,170
2017-06-12,188
2017-06-19,190
2017-06-26,189
2017-07-03,202
2017-07-10,199
2017-07-17,198
2017-07-24,192
2017-07-31,191
2017-08-07,198
2017-08-14,191
2017-08-21,194
2017-08-28,192
2017-09-04,190
2017-09-11,219
2017-09-18,227
2017-09-25,175
2017-10-02,212
2017-10-09,189
2017-10-16,201
2017-10-23,191
2017-10-30,165
2017-11-06,176
2017-11-13,166
2017-11-20,179
2017-11-27,186
2017-12-04,188
2017-12-11,180
2017-12-18,171
2017-12-25,163
2018-01-01,174
2018-01-08,209
2018-01-15,191
2018-01-22,224
2018-01-29,181
2018-02-05,169
2018-02-12,172
2018-02-19,182
2018-03-05,178
2018-03-12,173
2018-03-19,184
2018-03-26,164
2018-04-02,177
2018-04-09,173
2018-04-16,171
2018-04-23,159
2018-04-30,161
2018-05-07,163
2018-05-14,176
2018-05-21,171
2018-05-28,171
2018-06-04,178
2018-06-11,175
2018-06-18,164
2018-06-25,161
2018-07-02,189
2018-07-09,189
2018-07-16,176
2018-07-23,267
2018-07-30,223
2018-08-06,187
2018-08-13,180
2018-08-20,170
2018-08-27,172
2018-09-03,177
2018-09-10,186
2018-09-17,170
2018-09-24,161
2018-10-01,175
2018-10-08,177
2018-10-15,184
2018-10-22,175
2018-10-29,153
2018-11-05,167
2018-11-12,167
2018-11-19,187
2018-11-26,182
2018-12-03,161
2018-12-10,157
2018-12-17,169
2018-12-24,160
2018-12-31,159
2019-01-07,176
2019-01-14,184
2019-01-21,126
2019-01-28,151
2019-02-04,156
2019-02-11,165
2019-02-18,156
2019-03-04,156
2019-03-11,146
2019-03-18,159
2019-03-25,144
2019-04-01,143
2019-04-08,160
2019-04-15,161
2019-04-22,162
2019-04-29,170
2019-05-06,174
2019-05-13,165
2019-05-20,170
2019-05-27,160
2019-06-03,160
2019-06-10,224
2019-06-17,358
2019-06-24,180
2019-07-01,166
2019-07-08,170
2019-07-15,166
2019-07-22,172
2019-07-29,166
2019-08-05,160
2019-08-12,166
2019-08-19,191
2019-08-26,204
2019-09-02,194
2019-09-09,176
2019-09-16,237
2019-09-23,164
2019-09-30,175
2019-10-07,172
2019-10-14,167
2019-10-21,182
2019-10-28,166
2019-11-04,166
2019-11-11,177
2019-11-18,167
2019-11-25,163
2019-12-02,165
2019-12-09,169
2019-12-16,169
2019-12-23,176
2019-12-30,187
2020-01-06,169
2020-01-13,183
2020-01-20,179
2020-01-27,184
2020-02-03,171
2020-02-10,180
2020-02-17,170
2020-03-02,173
2020-03-09,166
2020-03-16,166
2020-03-23,165
2020-03-30,157
2020-04-06,165
2020-04-13,157
2020-04-20,159
2020-04-27,158
2020-05-04,145
2020-05-11,156
2020-05-18,159
2020-05-25,157
2020-06-01,149
2020-06-08,163
2020-06-15,157
2020-06-22,159
2020-06-29,158
2020-07-06,154
2020-07-13,150
2020-07-20,162
2020-07-27,166
2020-08-03,199
2020-08-10,182
2020-08-17,161
2020-08-24,158
2020-08-31,162
2020-09-07,167
2020-09-14,181
2020-09-21,178
2020-09-28,167
2020-10-05,163
2020-10-12,164
2020-10-19,162
2020-10-26,163
2020-11-02,158
2020-11-09,156
2020-11-16,195
2020-11-23,183
2020-11-30,171
2020-12-07,178
2020-12-14,160
2020-12-21,158
2020-12-28,165
2021-01-04,156
2021-01-11,153
2021-01-18,175
2021-01-25,138
2021-02-01,144
2021-02-08,157
2021-02-15,158
2021-02-22,153
2021-03-08,216
2021-03-15,203
2021-03-22,163
2021-03-29,149
2021-04-05,152
2021-04-12,153
2021-04-19,135
2021-04-26,143
2021-05-03,148
2021-05-10,146
2021-05-17,151
2021-05-24,145
2021-05-31,142
2021-06-07,135
2021-06-14,135
2021-06-21,151
2021-06-28,146
2021-07-05,136
2021-07-12,139
2021-07-19,141
2021-07-26,142
2021-08-02,144
2021-08-09,132
2021-08-16,141
2021-08-23,144
2021-08-30,140
2021-09-06,155
2021-09-13,146
2021-09-20,145
2021-09-27,129
2021-10-04,140
2021-10-11,156
2021-10-18,173
2021-10-25,150
2021-11-01,150
2021-11-08,148
2021-11-15,154
2021-11-22,148
2021-11-29,140
2021-12-06,148
2021-12-13,170
2021-12-20,153
2021-12-27,151
2022-01-03,155
2022-01-10,157
2022-01-17,114
2022-01-24,143
2022-01-31,141
2022-02-07,138
2022-02-14,139
2022-02-21,141
2022-03-07,145
2022-03-14,140
2022-03-21,140
2022-03-28,138
2022-04-04,153
2022-04-11,156
2022-04-18,152
2022-04-25,143
2022-05-02,144
2022-05-09,138
2022-05-16,120
2022-05-23,140
2022-05-30,138
2022-06-06,144
2022-06-13,136
2022-06-20,132
2022-06-27,144
2022-07-04,140
2022-07-11,139
2022-07-18,135
2022-07-25,131
2022-08-01,136
2022-08-08,128
2022-08-15,124
2022-08-22,143
2022-08-29,160
2022-09-05,131
2022-09-12,151
2022-09-19,141
2022-09-26,133
2022-10-03,128
2022-10-10,126
2022-10-17,129
2022-10-24,121
2022-10-31,123
2022-11-07,138
2022-11-14,141
2022-11-21,128
2022-11-28,124
2022-12-05,120
2022-12-12,139
2022-12-19,198
2022-12-26,299
2023-01-02,181
2023-01-09,121
2023-01-16,175
2023-01-23,227
2023-01-30,174
2023-02-06,174
2023-02-13,150
2023-02-20,153
2023-03-06,144
2023-03-13,150
2023-03-20,152
2023-03-27,148
2023-04-03,149
2023-04-10,146
2023-04-17,134
2023-04-24,135
2023-05-01,129
2023-05-08,106
2023-05-15,139
2023-05-22,137
2023-05-29,140
2023-06-05,139
2023-06-12,138
2023-06-19,142
2023-06-26,120
2023-07-03,135
2023-07-10,134
2023-07-17,132
2023-07-24,150
2023-07-31,144
2023-08-07,149
2023-08-14,147
2023-08-21,174
2023-08-28,143
2023-09-04,144
2023-09-11,138
2023-09-18,125
2023-09-25,124
2023-10-02,134
2023-10-09,138
2023-10-16,105
2023-10-23,117
2023-10-30,118
2023-11-06,119
2023-11-13,122
2023-11-20,121
2023-11-27,117
2023-12-04,110
2023-12-11,133
2023-12-18,140
2023-12-25,119
2024-01-01,127
2024-01-08,133
2024-01-15,124
2024-01-22,123
2024-01-29,85
2024-02-05,129
2024-02-12,146
2024-02-19,125
2024-03-04,110
2024-03-11,118
2024-03-18,115
2024-03-25,128
2024-04-01,112
2024-04-08,98
2024-04-15,116
2024-04-22,54
2024-04-29,127
2024-05-06,112
2024-05-13,116
2024-05-20,121
2024-05-27,111
2024-06-03,112
2024-06-10,79
2024-06-17,103
2024-06-24,96
2024-07-01,104
2024-07-08,103
2024-07-15,110
2024-07-22,84
2024-07-29,80
2024-08-05,112
2024-08-12,105
2024-08-19,98
2024-08-26,98
2024-09-02,105
2024-09-09,114
2024-09-16,87
2024-09-23,96
2024-09-30,104
2024-10-07,99
2024-10-14,88
2024-10-21,104
2024-10-28,121
2024-11-04,93
2024-11-11,95
2024-11-18,88
2024-11-25,98
2024-12-02,81
2024-12-09,97
2024-12-16,111
2024-12-23,114
2024-12-30,111
2025-01-06,111
2025-01-13,68
2025-01-20,85
2025-01-27,108
2025-02-03,86
2025-02-10,86
2025-02-17,92
2025-03-03,105
2025-03-10,85
2025-03-17,93
2025-03-24,90
2025-03-31,94
2025-04-07,84
2025-04-14,85
2025-04-21,57
2025-04-28,94
2025-05-05,87
2025-05-12,85
2025-05-19,93
2025-05-26,66
2025-06-02,59
2025-06-09,63
2025-06-16,102
2025-06-23,85
2025-06-30,84
2025-07-07,85
2025-07-14,93
2025-07-21,85
2025-07-28,77
2025-08-04,87
2025-08-11,87
