date,index
2016-08-29,895
2016-09-05,896
2016-09-12,695
2016-09-19,705
2016-09-26,729
2016-10-03,998
2016-10-10,683
2016-10-17,700
2016-10-24,698
2016-10-31,560
2016-11-07,556
2016-11-14,549
2016-11-21,820
2016-11-28,657
2016-12-05,566
2016-12-12,645
2016-12-19,747
2016-12-26,777
2017-01-02,4098
2017-01-09,1345
2017-01-16,686
2017-01-23,705
2017-01-30,693
2017-02-06,634
2017-02-13,766
2017-02-20,985
2017-03-06,742
2017-03-13,677
2017-03-20,661
2017-03-27,589
2017-04-03,598
2017-04-10,548
2017-04-17,543
2017-04-24,563
2017-05-01,591
2017-05-08,535
2017-05-15,563
2017-05-22,591
2017-05-29,544
2017-06-05,486
2017-06-12,628
2017-06-19,639
2017-06-26,779
2017-07-03,703
2017-07-10,847
2017-07-17,722
2017-07-24,699
2017-07-31,668
2017-08-07,655
2017-08-14,685
2017-08-21,677
2017-08-28,758
2017-09-04,720
2017-09-11,756
2017-09-18,858
2017-09-25,607
2017-10-02,736
2017-10-09,692
2017-10-16,730
2017-10-23,793
2017-10-30,581
2017-11-06,609
2017-11-13,542
2017-11-20,666
2017-11-27,661
2017-12-04,634
2017-12-11,639
2017-12-18,616
2017-12-25,618
2018-01-01,675
2018-01-08,1032
2018-01-15,910
2018-01-22,1098
2018-01-29,730
2018-02-05,605
2018-02-12,708
2018-02-19,627
2018-03-05,649
2018-03-12,577
2018-03-19,613
2018-03-26,572
2018-04-02,589
2018-04-09,596
2018-04-16,594
2018-04-23,588
2018-04-30,577
2018-05-07,608
2018-05-14,680
2018-05-21,608
2018-05-28,600
2018-06-04,593
2018-06-11,572
2018-06-18,633
2018-06-25,604
2018-07-02,709
2018-07-09,708
2018-07-16,683
2018-07-23,1025
2018-07-30,994
2018-08-06,650
2018-08-13,648
2018-08-20,669
2018-08-27,661
2018-09-03,751
2018-09-10,734
2018-09-17,646
2018-09-24,525
2018-10-01,582
2018-10-08,571
2018-10-15,565
2018-10-22,648
2018-10-29,526
2018-11-05,538
2018-11-12,529
2018-11-19,570
2018-11-26,610
2018-12-03,536
2018-12-10,479
2018-12-17,514
2018-12-24,579
2018-12-31,548
2019-01-07,770
2019-01-14,769
2019-01-21,431
2019-01-28,491
2019-02-04,529
2019-02-11,627
2019-02-18,483
2019-03-04,466
2019-03-11,455
2019-03-18,486
2019-03-25,458
2019-04-01,488
2019-04-08,464
2019-04-15,451
2019-04-22,476
2019-04-29,488
2019-05-06,529
2019-05-13,481
2019-05-20,556
2019-05-27,519
2019-06-03,534
2019-06-10,636
2019-06-17,1106
2019-06-24,601
2019-07-01,552
2019-07-08,551
2019-07-15,534
2019-07-22,530
2019-07-29,504
2019-08-05,468
2019-08-12,504
2019-08-19,611
2019-08-26,582
2019-09-02,619
2019-09-09,475
2019-09-16,532
2019-09-23,352
2019-09-30,404
2019-10-07,415
2019-10-14,438
2019-10-21,542
2019-10-28,474
2019-11-04,465
2019-11-11,429
2019-11-18,437
2019-11-25,411
