date,index
2016-08-29,222
2016-09-05,223
2016-09-12,199
2016-09-19,195
2016-09-26,209
2016-10-03,207
2016-10-10,213
2016-10-17,208
2016-10-24,210
2016-10-31,201
2016-11-07,194
2016-11-14,180
2016-11-21,229
2016-11-28,212
2016-12-05,217
2016-12-12,212
2016-12-19,241
2016-12-26,245
2017-01-02,1543
2017-01-09,442
2017-01-16,224
2017-01-23,253
2017-01-30,236
2017-02-06,244
2017-02-13,277
2017-02-20,353
2017-03-06,270
2017-03-13,255
2017-03-20,243
2017-03-27,208
2017-04-03,215
2017-04-10,200
2017-04-17,197
2017-04-24,198
2017-05-01,211
2017-05-08,194
2017-05-15,209
2017-05-22,217
2017-05-29,216
2017-06-05,199
2017-06-12,228
2017-06-19,226
2017-06-26,216
2017-07-03,225
2017-07-10,228
2017-07-17,218
2017-07-24,224
2017-07-31,208
2017-08-07,215
2017-08-14,224
2017-08-21,225
2017-08-28,232
2017-09-04,219
2017-09-11,218
2017-09-18,233
2017-09-25,209
2017-10-02,224
2017-10-09,216
2017-10-16,213
2017-10-23,226
2017-10-30,198
2017-11-06,214
2017-11-13,198
2017-11-20,228
2017-11-27,208
2017-12-04,220
2017-12-11,204
2017-12-18,188
2017-12-25,183
2018-01-01,212
2018-01-08,245
2018-01-15,218
2018-01-22,259
2018-01-29,208
2018-02-05,183
2018-02-12,202
2018-02-19,194
2018-03-05,201
2018-03-12,195
2018-03-19,205
2018-03-26,186
2018-04-02,205
2018-04-09,192
2018-04-16,200
2018-04-23,193
2018-04-30,192
2018-05-07,199
2018-05-14,195
2018-05-21,194
2018-05-28,193
2018-06-04,203
2018-06-11,187
2018-06-18,189
2018-06-25,194
2018-07-02,212
2018-07-09,216
2018-07-16,206
2018-07-23,303
2018-07-30,273
2018-08-06,209
2018-08-13,205
2018-08-20,207
2018-08-27,212
2018-09-03,215
2018-09-10,216
2018-09-17,213
2018-09-24,211
2018-10-01,203
2018-10-08,206
2018-10-15,207
2018-10-22,222
2018-10-29,188
2018-11-05,200
2018-11-12,200
2018-11-19,209
2018-11-26,220
2018-12-03,192
2018-12-10,185
2018-12-17,210
2018-12-24,188
2018-12-31,204
2019-01-07,212
2019-01-14,216
2019-01-21,175
2019-01-28,191
2019-02-04,198
2019-02-11,208
2019-02-18,181
2019-03-04,184
2019-03-11,179
2019-03-18,183
2019-03-25,177
2019-04-01,174
2019-04-08,166
2019-04-15,178
2019-04-22,165
2019-04-29,181
2019-05-06,195
2019-05-13,198
2019-05-20,199
2019-05-27,191
2019-06-03,200
2019-06-10,226
2019-06-17,383
2019-06-24,224
2019-07-01,205
2019-07-08,194
2019-07-15,192
