date,index
2016-08-29,356
2016-09-05,353
2016-09-12,333
2016-09-19,325
2016-09-26,312
2016-10-03,322
2016-10-10,328
2016-10-17,323
2016-10-24,282
2016-10-31,320
2016-11-07,332
2016-11-14,338
2016-11-21,361
2016-11-28,352
2016-12-05,350
2016-12-12,341
2016-12-19,360
2016-12-26,372
2017-01-02,429
2017-01-09,394
2017-01-16,339
2017-01-23,352
2017-01-30,363
2017-02-06,354
2017-02-13,357
2017-02-20,370
2017-03-06,329
2017-03-13,318
2017-03-20,298
2017-03-27,305
2017-04-03,300
2017-04-10,289
2017-04-17,292
2017-04-24,295
2017-05-01,310
2017-05-08,283
2017-05-15,296
2017-05-22,297
2017-05-29,316
2017-06-05,308
2017-06-12,318
2017-06-19,338
2017-06-26,340
2017-07-03,331
2017-07-10,352
2017-07-17,347
2017-07-24,362
2017-07-31,372
2017-08-07,389
2017-08-14,377
2017-08-21,376
2017-08-28,371
2017-09-04,357
2017-09-11,378
2017-09-18,392
2017-09-25,302
2017-10-02,387
2017-10-09,384
2017-10-16,357
2017-10-23,351
2017-10-30,334
2017-11-06,348
2017-11-13,336
2017-11-20,352
2017-11-27,340
2017-12-04,370
2017-12-11,370
2017-12-18,368
2017-12-25,375
2018-01-01,496
2018-01-08,427
2018-01-15,408
2018-01-22,437
2018-01-29,342
2018-02-05,320
2018-02-12,336
2018-02-19,352
2018-03-05,364
2018-03-12,345
2018-03-19,379
2018-03-26,362
2018-04-02,349
2018-04-09,339
2018-04-16,348
2018-04-23,318
2018-04-30,336
2018-05-07,323
2018-05-14,325
2018-05-21,326
2018-05-28,338
2018-06-04,307
2018-06-11,286
2018-06-18,307
2018-06-25,313
2018-07-02,339
2018-07-09,343
2018-07-16,363
2018-07-23,379
2018-07-30,358
2018-08-06,342
2018-08-13,332
2018-08-20,339
2018-08-27,342
2018-09-03,358
2018-09-10,376
2018-09-17,350
2018-09-24,310
2018-10-01,310
2018-10-08,320
2018-10-15,322
2018-10-22,327
2018-10-29,308
2018-11-05,317
2018-11-12,304
2018-11-19,280
2018-11-26,309
2018-12-03,310
2018-12-10,299
2018-12-17,307
2018-12-24,336
2018-12-31,343
2019-01-07,378
2019-01-14,412
2019-01-21,279
2019-01-28,416
2019-02-04,381
2019-02-11,352
2019-02-18,311
2019-03-04,294
2019-03-11,393
2019-03-18,325
2019-03-25,303
2019-04-01,323
2019-04-08,304
2019-04-15,310
2019-04-22,294
2019-04-29,282
2019-05-06,291
2019-05-13,293
2019-05-20,334
2019-05-27,318
2019-06-03,307
2019-06-10,306
2019-06-17,336
2019-06-24,302
2019-07-01,338
2019-07-08,312
2019-07-15,308
2019-07-22,305
2019-07-29,324
2019-08-05,329
2019-08-12,322
2019-08-19,492
2019-08-26,353
2019-09-02,320
2019-09-09,313
2019-09-16,300
2019-09-23,242
2019-09-30,524
2019-10-07,385
2019-10-14,285
2019-10-21,273
2019-10-28,255
2019-11-04,255
2019-11-11,254
2019-11-18,254
2019-11-25,265
2019-12-02,259
2019-12-09,292
2019-12-16,288
2019-12-23,313
2019-12-30,336
2020-01-06,278
2020-01-13,341
2020-01-20,331
2020-01-27,352
2020-02-03,349
2020-02-10,339
2020-02-17,399
2020-03-02,344
2020-03-09,353
2020-03-16,379
2020-03-23,380
2020-03-30,340
2020-04-06,325
2020-04-13,368
2020-04-20,336
2020-04-27,316
2020-05-04,315
2020-05-11,302
2020-05-18,319
2020-05-25,281
2020-06-01,291
2020-06-08,322
2020-06-15,304
2020-06-22,277
2020-06-29,311
2020-07-06,339
2020-07-13,294
2020-07-20,294
2020-07-27,290
2020-08-03,287
2020-08-10,280
2020-08-17,296
2020-08-24,302
2020-08-31,310
2020-09-07,337
2020-09-14,348
2020-09-21,310
2020-09-28,295
2020-10-05,267
2020-10-12,257
2020-10-19,276
2020-10-26,277
2020-11-02,296
2020-11-09,303
2020-11-16,319
2020-11-23,362
2020-11-30,362
2020-12-07,341
2020-12-14,327
2020-12-21,350
2020-12-28,368
2021-01-04,366
2021-01-11,453
2021-01-18,459
2021-01-25,420
2021-02-01,328
2021-02-08,302
2021-02-15,297
2021-02-22,291
2021-03-08,293
2021-03-15,284
2021-03-22,325
2021-03-29,298
2021-04-05,330
2021-04-12,319
2021-04-19,318
2021-04-26,330
2021-05-03,314
2021-05-10,331
2021-05-17,328
2021-05-24,338
2021-05-31,339
2021-06-07,333
2021-06-14,498
