date,index
2016-08-29,355
2016-09-05,350
2016-09-12,503
2016-09-19,372
2016-09-26,344
2016-10-03,336
2016-10-10,329
2016-10-17,343
2016-10-24,314
2016-10-31,336
2016-11-07,293
2016-11-14,294
2016-11-21,321
2016-11-28,301
2016-12-05,301
2016-12-12,299
2016-12-19,297
2016-12-26,311
2017-01-02,366
2017-01-09,346
2017-01-16,309
2017-01-23,308
2017-01-30,312
2017-02-06,301
2017-02-13,256
2017-02-20,270
2017-03-06,239
2017-03-13,224
2017-03-20,230
2017-03-27,224
2017-04-03,220
2017-04-10,223
2017-04-17,235
2017-04-24,222
2017-05-01,223
2017-05-08,231
2017-05-15,262
2017-05-22,248
2017-05-29,274
2017-06-05,281
2017-06-12,285
2017-06-19,298
2017-06-26,284
2017-07-03,282
2017-07-10,266
2017-07-17,265
2017-07-24,265
2017-07-31,270
2017-08-07,301
2017-08-14,283
2017-08-21,286
2017-08-28,299
2017-09-04,289
2017-09-11,464
2017-09-18,345
2017-09-25,281
2017-10-02,276
2017-10-09,297
2017-10-16,277
2017-10-23,301
2017-10-30,324
2017-11-06,264
2017-11-13,249
2017-11-20,256
2017-11-27,244
2017-12-04,247
2017-12-11,236
2017-12-18,234
2017-12-25,242
2018-01-01,235
2018-01-08,243
2018-01-15,257
2018-01-22,285
2018-01-29,230
2018-02-05,227
2018-02-12,239
2018-02-19,240
2018-03-05,255
2018-03-12,260
2018-03-19,272
2018-03-26,254
2018-04-02,250
2018-04-09,245
2018-04-16,247
2018-04-23,242
2018-04-30,233
2018-05-07,230
2018-05-14,228
2018-05-21,239
2018-05-28,232
2018-06-04,213
2018-06-11,203
2018-06-18,208
2018-06-25,221
2018-07-02,227
2018-07-09,236
2018-07-16,240
2018-07-23,243
2018-07-30,236
2018-08-06,230
2018-08-13,225
2018-08-20,227
2018-08-27,220
2018-09-03,229
2018-09-10,236
2018-09-17,225
2018-09-24,223
2018-10-01,223
2018-10-08,222
2018-10-15,225
2018-10-22,229
2018-10-29,209
2018-11-05,204
2018-11-12,213
2018-11-19,209
2018-11-26,218
2018-12-03,225
2018-12-10,213
2018-12-17,223
2018-12-24,241
2018-12-31,220
2019-01-07,236
2019-01-14,247
2019-01-21,181
2019-01-28,237
2019-02-04,227
2019-02-11,223
2019-02-18,223
2019-03-04,225
2019-03-11,248
2019-03-18,226
2019-03-25,213
2019-04-01,222
2019-04-08,240
2019-04-15,238
2019-04-22,232
2019-04-29,228
2019-05-06,215
2019-05-13,239
2019-05-20,254
2019-05-27,223
2019-06-03,214
2019-06-10,220
2019-06-17,234
2019-06-24,220
2019-07-01,227
2019-07-08,222
2019-07-15,218
2019-07-22,217
2019-07-29,221
2019-08-05,224
2019-08-12,227
2019-08-19,285
2019-08-26,239
2019-09-02,223
2019-09-09,211
2019-09-16,211
2019-09-23,199
2019-09-30,259
2019-10-07,252
2019-10-14,225
2019-10-21,210
2019-10-28,199
2019-11-04,191
2019-11-11,192
2019-11-18,185
2019-11-25,192
2019-12-02,193
2019-12-09,209
2019-12-16,209
2019-12-23,223
2019-12-30,252
2020-01-06,228
2020-01-13,225
2020-01-20,226
2020-01-27,219
2020-02-03,211
2020-02-10,222
2020-02-17,221
2020-03-02,223
2020-03-09,230
2020-03-16,227
2020-03-23,237
2020-03-30,214
2020-04-06,214
2020-04-13,227
