date,index
2016-08-29,225
2016-09-05,206
2016-09-12,188
2016-09-19,202
2016-09-26,191
2016-10-03,199
2016-10-10,190
2016-10-17,201
2016-10-24,171
2016-10-31,179
2016-11-07,210
2016-11-14,192
2016-11-21,211
2016-11-28,201
2016-12-05,209
2016-12-12,201
2016-12-19,203
2016-12-26,213
2017-01-02,243
2017-01-09,242
2017-01-16,194
2017-01-23,194
2017-01-30,191
2017-02-06,194
2017-02-13,216
2017-02-20,267
2017-03-06,219
2017-03-13,204
2017-03-20,199
2017-03-27,193
2017-04-03,210
2017-04-10,195
2017-04-17,195
2017-04-24,191
2017-05-01,187
2017-05-08,215
2017-05-15,217
2017-05-22,202
2017-05-29,228
2017-06-05,213
2017-06-12,229
2017-06-19,235
2017-06-26,226
2017-07-03,209
2017-07-10,220
2017-07-17,221
2017-07-24,219
2017-07-31,227
2017-08-07,225
2017-08-14,227
2017-08-21,230
2017-08-28,222
2017-09-04,214
2017-09-11,228
2017-09-18,221
2017-09-25,211
2017-10-02,213
2017-10-09,211
2017-10-16,211
2017-10-23,228
2017-10-30,226
2017-11-06,209
2017-11-13,201
2017-11-20,203
2017-11-27,187
2017-12-04,208
2017-12-11,191
2017-12-18,181
2017-12-25,187
2018-01-01,188
2018-01-08,187
2018-01-15,207
2018-01-22,225
2018-01-29,212
2018-02-05,188
2018-02-12,191
2018-02-19,186
2018-03-05,201
2018-03-12,193
2018-03-19,204
2018-03-26,213
2018-04-02,203
2018-04-09,205
2018-04-16,202
2018-04-23,194
2018-04-30,195
2018-05-07,197
2018-05-14,195
2018-05-21,189
2018-05-28,202
2018-06-04,181
2018-06-11,168
2018-06-18,179
2018-06-25,194
2018-07-02,199
2018-07-09,203
2018-07-16,212
2018-07-23,215
2018-07-30,196
2018-08-06,206
2018-08-13,204
2018-08-20,200
2018-08-27,197
2018-09-03,201
2018-09-10,228
2018-09-17,197
2018-09-24,200
2018-10-01,192
2018-10-08,204
2018-10-15,202
2018-10-22,194
2018-10-29,197
2018-11-05,183
2018-11-12,197
2018-11-19,198
2018-11-26,197
2018-12-03,210
2018-12-10,203
2018-12-17,205
2018-12-24,215
2018-12-31,227
2019-01-07,225
2019-01-14,251
2019-01-21,193
2019-01-28,225
2019-02-04,244
2019-02-11,233
2019-02-18,219
2019-03-04,212
2019-03-11,223
2019-03-18,204
2019-03-25,199
2019-04-01,196
2019-04-08,220
2019-04-15,207
2019-04-22,207
2019-04-29,205
2019-05-06,217
2019-05-13,243
2019-05-20,277
2019-05-27,310
2019-06-03,249
2019-06-10,234
2019-06-17,226
2019-06-24,216
2019-07-01,223
2019-07-08,217
2019-07-15,216
2019-07-22,218
2019-07-29,234
2019-08-05,263
2019-08-12,375
2019-08-19,322
2019-08-26,243
2019-09-02,244
2019-09-09,208
2019-09-16,208
2019-09-23,185
2019-09-30,224
2019-10-07,224
2019-10-14,190
2019-10-21,188
2019-10-28,179
2019-11-04,174
2019-11-11,180
2019-11-18,188
2019-11-25,177
2019-12-02,179
2019-12-09,191
2019-12-16,197
2019-12-23,197
2019-12-30,219
2020-01-06,277
2020-01-13,231
2020-01-20,245
2020-01-27,243
2020-02-03,241
2020-02-10,227
2020-02-17,221
2020-03-02,213
2020-03-09,216
2020-03-16,217
2020-03-23,229
2020-03-30,204
2020-04-06,210
2020-04-13,205
2020-04-20,205
2020-04-27,194
2020-05-04,193
2020-05-11,196
2020-05-18,189
2020-05-25,191
2020-06-01,178
2020-06-08,169
2020-06-15,189
2020-06-22,180
2020-06-29,192
2020-07-06,200
2020-07-13,196
2020-07-20,188
2020-07-27,184
2020-08-03,199
2020-08-10,196
2020-08-17,189
2020-08-24,185
2020-08-31,196
2020-09-07,192
2020-09-14,201
2020-09-21,196
2020-09-28,191
2020-10-05,191
2020-10-12,200
2020-10-19,179
2020-10-26,179
2020-11-02,221
2020-11-09,214
2020-11-16,211
2020-11-23,219
2020-11-30,247
2020-12-07,270
2020-12-14,240
2020-12-21,230
2020-12-28,238
2021-01-04,231
2021-01-11,243
2021-01-18,264
2021-01-25,277
2021-02-01,217
2021-02-08,199
2021-02-15,193
2021-02-22,192
2021-03-08,192
2021-03-15,186
2021-03-22,189
2021-03-29,189
2021-04-05,190
2021-04-12,181
2021-04-19,182
2021-04-26,174
2021-05-03,189
2021-05-10,186
2021-05-17,175
2021-05-24,175
2021-05-31,201
2021-06-07,189
2021-06-14,190
2021-06-21,259
2021-06-28,199
2021-07-05,206
2021-07-12,212
2021-07-19,204
2021-07-26,206
2021-08-02,217
2021-08-09,224
2021-08-16,208
2021-08-23,201
2021-08-30,210
2021-09-06,212
2021-09-13,205
2021-09-20,206
2021-09-27,199
2021-10-04,197
2021-10-11,199
2021-10-18,181
2021-10-25,197
2021-11-01,205
2021-11-08,207
2021-11-15,218
2021-11-22,214
2021-11-29,217
2021-12-06,308
2021-12-13,312
2021-12-20,284
2021-12-27,233
2022-01-03,245
2022-01-10,286
2022-01-17,210
2022-01-24,200
2022-01-31,186
2022-02-07,185
2022-02-14,187
2022-02-21,179
2022-03-07,192
2022-03-14,163
2022-03-21,189
2022-03-28,231
2022-04-04,197
2022-04-11,183
2022-04-18,205
2022-04-25,190
2022-05-02,189
2022-05-09,195
2022-05-16,192
2022-05-23,188
2022-05-30,180
2022-06-06,172
2022-06-13,158
2022-06-20,169
2022-06-27,181
2022-07-04,170
2022-07-11,186
2022-07-18,170
2022-07-25,176
2022-08-01,173
2022-08-08,196
2022-08-15,246
2022-08-22,216
2022-08-29,225
2022-09-05,202
2022-09-12,187
2022-09-19,200
2022-09-26,189
2022-10-03,190
2022-10-10,168
2022-10-17,161
2022-10-24,211
2022-10-31,240
2022-11-07,243
2022-11-14,213
2022-11-21,185
2022-11-28,160
2022-12-05,156
2022-12-12,174
2022-12-19,204
2022-12-26,255
2023-01-02,229
2023-01-09,140
2023-01-16,176
2023-01-23,179
2023-01-30,187
2023-02-06,179
2023-02-13,174
2023-02-20,173
2023-03-06,172
2023-03-13,171
2023-03-20,171
2023-03-27,176
2023-04-03,166
2023-04-10,177
2023-04-17,173
2023-04-24,177
2023-05-01,170
2023-05-08,179
2023-05-15,179
2023-05-22,178
2023-05-29,159
2023-06-05,168
2023-06-12,174
2023-06-19,163
2023-06-26,171
2023-07-03,178
