date,index
2016-08-29,281
2016-09-05,277
2016-09-12,265
2016-09-19,250
2016-09-26,250
2016-10-03,262
2016-10-10,262
2016-10-17,256
2016-10-24,224
2016-10-31,265
2016-11-07,227
2016-11-14,241
2016-11-21,250
2016-11-28,250
2016-12-05,254
2016-12-12,251
2016-12-19,271
2016-12-26,276
2017-01-02,285
2017-01-09,239
2017-01-16,229
2017-01-23,244
2017-01-30,242
2017-02-06,240
2017-02-13,269
2017-02-20,297
2017-03-06,286
2017-03-13,280
2017-03-20,246
2017-03-27,241
2017-04-03,244
2017-04-10,242
2017-04-17,238
2017-04-24,242
2017-05-01,238
2017-05-08,243
2017-05-15,251
2017-05-22,238
2017-05-29,247
2017-06-05,249
2017-06-12,248
2017-06-19,250
2017-06-26,268
2017-07-03,262
2017-07-10,264
2017-07-17,258
2017-07-24,268
2017-07-31,268
2017-08-07,274
2017-08-14,278
2017-08-21,276
2017-08-28,263
2017-09-04,250
2017-09-11,267
2017-09-18,273
2017-09-25,227
2017-10-02,241
2017-10-09,241
2017-10-16,258
2017-10-23,296
2017-10-30,227
2017-11-06,227
2017-11-13,233
2017-11-20,238
2017-11-27,225
2017-12-04,222
2017-12-11,228
2017-12-18,224
2017-12-25,212
2018-01-01,213
2018-01-08,230
2018-01-15,245
2018-01-22,254
2018-01-29,198
2018-02-05,193
2018-02-12,216
2018-02-19,215
2018-03-05,234
2018-03-12,239
2018-03-19,242
2018-03-26,231
2018-04-02,243
2018-04-09,247
2018-04-16,241
2018-04-23,232
2018-04-30,231
2018-05-07,234
2018-05-14,245
2018-05-21,240
2018-05-28,230
2018-06-04,211
2018-06-11,200
2018-06-18,205
2018-06-25,221
2018-07-02,218
2018-07-09,229
2018-07-16,232
2018-07-23,230
2018-07-30,239
2018-08-06,229
2018-08-13,242
2018-08-20,236
2018-08-27,234
2018-09-03,242
2018-09-10,253
2018-09-17,212
2018-09-24,201
2018-10-01,220
2018-10-08,228
2018-10-15,234
2018-10-22,245
2018-10-29,240
2018-11-05,233
2018-11-12,235
2018-11-19,230
2018-11-26,231
2018-12-03,227
2018-12-10,233
2018-12-17,218
2018-12-24,231
2018-12-31,254
2019-01-07,256
2019-01-14,258
2019-01-21,182
2019-01-28,261
2019-02-04,249
2019-02-11,235
2019-02-18,221
2019-03-04,226
2019-03-11,266
2019-03-18,240
2019-03-25,223
2019-04-01,219
2019-04-08,229
2019-04-15,230
2019-04-22,225
2019-04-29,214
2019-05-06,220
2019-05-13,225
2019-05-20,246
2019-05-27,226
2019-06-03,217
2019-06-10,219
2019-06-17,239
2019-06-24,221
2019-07-01,258
2019-07-08,237
2019-07-15,232
2019-07-22,218
2019-07-29,222
2019-08-05,222
2019-08-12,216
2019-08-19,326
2019-08-26,248
2019-09-02,231
2019-09-09,217
2019-09-16,216
2019-09-23,182
2019-09-30,259
2019-10-07,255
2019-10-14,230
2019-10-21,209
2019-10-28,199
2019-11-04,202
2019-11-11,198
2019-11-18,198
2019-11-25,194
2019-12-02,193
2019-12-09,200
2019-12-16,206
2019-12-23,220
2019-12-30,217
2020-01-06,205
2020-01-13,209
2020-01-20,206
2020-01-27,211
2020-02-03,205
2020-02-10,213
2020-02-17,206
2020-03-02,211
2020-03-09,221
2020-03-16,226
2020-03-23,224
2020-03-30,218
2020-04-06,211
2020-04-13,213
2020-04-20,213
2020-04-27,207
2020-05-04,214
2020-05-11,206
2020-05-18,214
2020-05-25,201
2020-06-01,197
2020-06-08,189
2020-06-15,190
2020-06-22,182
2020-06-29,190
2020-07-06,194
2020-07-13,184
2020-07-20,199
2020-07-27,191
2020-08-03,191
2020-08-10,185
2020-08-17,183
2020-08-24,190
2020-08-31,198
2020-09-07,209
2020-09-14,211
2020-09-21,188
2020-09-28,194
2020-10-05,195
2020-10-12,198
2020-10-19,195
2020-10-26,191
2020-11-02,224
2020-11-09,226
2020-11-16,238
2020-11-23,236
2020-11-30,234
2020-12-07,225
2020-12-14,216
2020-12-21,225
2020-12-28,235
2021-01-04,227
2021-01-11,239
2021-01-18,254
2021-01-25,232
2021-02-01,191
2021-02-08,203
2021-02-15,201
2021-02-22,203
2021-03-08,204
2021-03-15,204
2021-03-22,211
2021-03-29,208
2021-04-05,229
2021-04-12,208
2021-04-19,196
2021-04-26,197
2021-05-03,215
2021-05-10,208
2021-05-17,197
2021-05-24,180
2021-05-31,208
2021-06-07,206
2021-06-14,199
2021-06-21,340
2021-06-28,223
2021-07-05,235
2021-07-12,236
2021-07-19,216
2021-07-26,215
2021-08-02,223
2021-08-09,212
2021-08-16,223
2021-08-23,219
2021-08-30,249
2021-09-06,239
2021-09-13,201
2021-09-20,209
2021-09-27,204
2021-10-04,207
2021-10-11,206
2021-10-18,221
2021-10-25,223
2021-11-01,212
2021-11-08,202
2021-11-15,213
2021-11-22,214
2021-11-29,197
2021-12-06,382
2021-12-13,363
2021-12-20,250
2021-12-27,227
2022-01-03,247
2022-01-10,253
2022-01-17,172
2022-01-24,195
2022-01-31,195
2022-02-07,197
2022-02-14,206
2022-02-21,202
2022-03-07,216
2022-03-14,208
2022-03-21,197
2022-03-28,403
2022-04-04,223
2022-04-11,206
2022-04-18,204
2022-04-25,190
2022-05-02,183
2022-05-09,211
2022-05-16,209
2022-05-23,201
2022-05-30,200
2022-06-06,187
2022-06-13,173
2022-06-20,187
2022-06-27,185
2022-07-04,179
2022-07-11,195
2022-07-18,198
2022-07-25,181
2022-08-01,198
2022-08-08,205
2022-08-15,218
2022-08-22,255
2022-08-29,217
2022-09-05,200
2022-09-12,205
2022-09-19,209
2022-09-26,183
2022-10-03,196
2022-10-10,200
2022-10-17,194
2022-10-24,213
2022-10-31,178
2022-11-07,192
2022-11-14,182
2022-11-21,181
2022-11-28,172
2022-12-05,166
2022-12-12,185
2022-12-19,210
2022-12-26,236
2023-01-02,216
2023-01-09,163
2023-01-16,197
2023-01-23,212
2023-01-30,219
2023-02-06,226
2023-02-13,216
2023-02-20,192
2023-03-06,198
2023-03-13,187
2023-03-20,201
2023-03-27,210
2023-04-03,199
2023-04-10,221
2023-04-17,193
2023-04-24,188
2023-05-01,192
2023-05-08,188
2023-05-15,183
2023-05-22,194
2023-05-29,197
2023-06-05,220
2023-06-12,186
2023-06-19,212
2023-06-26,189
2023-07-03,203
2023-07-10,183
2023-07-17,202
2023-07-24,186
2023-07-31,190
2023-08-07,180
2023-08-14,194
2023-08-21,197
2023-08-28,200
2023-09-04,199
2023-09-11,203
2023-09-18,183
2023-09-25,169
2023-10-02,175
2023-10-09,184
2023-10-16,179
2023-10-23,168
2023-10-30,162
2023-11-06,159
2023-11-13,173
2023-11-20,170
2023-11-27,167
2023-12-04,166
2023-12-11,164
2023-12-18,181
2023-12-25,197
2024-01-01,205
2024-01-08,196
2024-01-15,216
2024-01-22,183
2024-01-29,152
2024-02-05,177
2024-02-12,178
2024-02-19,180
2024-03-04,175
2024-03-11,170
2024-03-18,175
2024-03-25,166
2024-04-01,173
2024-04-08,175
2024-04-15,171
2024-04-22,166
2024-04-29,176
2024-05-06,174
2024-05-13,173
2024-05-20,169
2024-05-27,181
2024-06-03,171
2024-06-10,163
2024-06-17,154
2024-06-24,175
2024-07-01,168
2024-07-08,165
2024-07-15,156
2024-07-22,159
2024-07-29,170
2024-08-05,163
2024-08-12,178
2024-08-19,198
2024-08-26,189
2024-09-02,191
2024-09-09,173
2024-09-16,163
2024-09-23,148
2024-09-30,156
2024-10-07,173
2024-10-14,165
2024-10-21,167
2024-10-28,164
2024-11-04,164
2024-11-11,155
2024-11-18,158
2024-11-25,157
2024-12-02,172
2024-12-09,167
2024-12-16,182
2024-12-23,191
2024-12-30,193
2025-01-06,197
2025-01-13,128
2025-01-20,158
2025-01-27,162
2025-02-03,153
2025-02-10,163
2025-02-17,154
2025-03-03,169
2025-03-10,155
2025-03-17,149
2025-03-24,136
2025-03-31,161
2025-04-07,168
2025-04-14,165
2025-04-21,148
2025-04-28,163
2025-05-05,161
2025-05-12,160
2025-05-19,162
2025-05-26,157
2025-06-02,157
2025-06-09,147
2025-06-16,139
2025-06-23,150
2025-06-30,156
2025-07-07,145
2025-07-14,156
2025-07-21,147
2025-07-28,144
2025-08-04,153
2025-08-11,152
