date,index
2016-08-29,195
2016-09-05,188
2016-09-12,196
2016-09-19,188
2016-09-26,192
2016-10-03,175
2016-10-10,185
2016-10-17,190
2016-10-24,164
2016-10-31,180
2016-11-07,186
2016-11-14,179
2016-11-21,191
2016-11-28,184
2016-12-05,180
2016-12-12,173
2016-12-19,183
2016-12-26,184
2017-01-02,194
2017-01-09,184
2017-01-16,173
2017-01-23,181
2017-01-30,180
2017-02-06,187
2017-02-13,238
2017-02-20,268
2017-03-06,224
2017-03-13,213
2017-03-20,201
2017-03-27,206
2017-04-03,202
2017-04-10,195
2017-04-17,194
2017-04-24,192
2017-05-01,197
2017-05-08,198
2017-05-15,205
2017-05-22,207
2017-05-29,209
2017-06-05,209
2017-06-12,205
2017-06-19,212
2017-06-26,228
2017-07-03,225
2017-07-10,222
2017-07-17,229
2017-07-24,220
2017-07-31,219
2017-08-07,222
2017-08-14,227
2017-08-21,225
2017-08-28,224
2017-09-04,229
2017-09-11,214
2017-09-18,227
2017-09-25,210
2017-10-02,212
2017-10-09,215
2017-10-16,217
2017-10-23,228
2017-10-30,207
2017-11-06,214
2017-11-13,212
2017-11-20,203
2017-11-27,202
2017-12-04,208
2017-12-11,206
2017-12-18,205
2017-12-25,198
2018-01-01,203
2018-01-08,204
2018-01-15,205
2018-01-22,224
2018-01-29,193
2018-02-05,196
2018-02-12,202
2018-02-19,209
2018-03-05,223
2018-03-12,223
2018-03-19,227
2018-03-26,211
2018-04-02,218
2018-04-09,212
2018-04-16,211
2018-04-23,207
2018-04-30,203
2018-05-07,207
2018-05-14,205
2018-05-21,203
2018-05-28,216
2018-06-04,191
2018-06-11,182
2018-06-18,192
2018-06-25,212
2018-07-02,227
2018-07-09,230
2018-07-16,220
2018-07-23,221
2018-07-30,210
2018-08-06,219
2018-08-13,210
2018-08-20,215
2018-08-27,209
2018-09-03,226
2018-09-10,238
2018-09-17,204
2018-09-24,221
2018-10-01,209
2018-10-08,217
2018-10-15,210
2018-10-22,201
2018-10-29,188
2018-11-05,177
2018-11-12,191
2018-11-19,175
2018-11-26,178
2018-12-03,199
2018-12-10,177
2018-12-17,176
2018-12-24,197
2018-12-31,198
2019-01-07,198
2019-01-14,210
2019-01-21,174
2019-01-28,228
2019-02-04,219
2019-02-11,202
2019-02-18,217
2019-03-04,183
2019-03-11,228
2019-03-18,201
2019-03-25,199
2019-04-01,202
2019-04-08,205
2019-04-15,194
2019-04-22,193
2019-04-29,193
2019-05-06,197
2019-05-13,192
2019-05-20,210
2019-05-27,198
2019-06-03,184
2019-06-10,190
2019-06-17,197
2019-06-24,189
2019-07-01,199
2019-07-08,200
2019-07-15,200
2019-07-22,206
2019-07-29,200
2019-08-05,211
2019-08-12,206
2019-08-19,281
2019-08-26,224
2019-09-02,194
2019-09-09,188
2019-09-16,198
2019-09-23,184
2019-09-30,293
2019-10-07,275
