date,index
2016-08-29,213
2016-09-05,218
2016-09-12,212
2016-09-19,193
2016-09-26,206
2016-10-03,195
2016-10-10,195
2016-10-17,201
2016-10-24,183
2016-10-31,196
2016-11-07,195
2016-11-14,190
2016-11-21,208
2016-11-28,203
2016-12-05,203
2016-12-12,191
2016-12-19,200
2016-12-26,212
2017-01-02,226
2017-01-09,211
2017-01-16,185
2017-01-23,191
2017-01-30,192
2017-02-06,196
2017-02-13,231
2017-02-20,262
2017-03-06,217
2017-03-13,208
2017-03-20,212
2017-03-27,218
2017-04-03,194
2017-04-10,206
2017-04-17,203
2017-04-24,208
2017-05-01,195
2017-05-08,194
2017-05-15,216
2017-05-22,212
2017-05-29,213
2017-06-05,213
2017-06-12,213
2017-06-19,225
2017-06-26,227
2017-07-03,225
2017-07-10,240
2017-07-17,236
2017-07-24,244
2017-07-31,244
2017-08-07,248
2017-08-14,282
2017-08-21,261
2017-08-28,240
2017-09-04,224
2017-09-11,234
2017-09-18,227
2017-09-25,207
2017-10-02,215
2017-10-09,214
2017-10-16,212
2017-10-23,232
2017-10-30,194
2017-11-06,195
2017-11-13,198
2017-11-20,202
2017-11-27,186
2017-12-04,193
2017-12-11,189
2017-12-18,184
2017-12-25,196
2018-01-01,197
2018-01-08,177
2018-01-15,225
2018-01-22,233
2018-01-29,209
2018-02-05,196
2018-02-12,201
2018-02-19,209
2018-03-05,217
2018-03-12,207
2018-03-19,215
2018-03-26,216
2018-04-02,216
2018-04-09,197
2018-04-16,198
2018-04-23,191
2018-04-30,199
2018-05-07,198
2018-05-14,197
2018-05-21,193
2018-05-28,210
2018-06-04,200
2018-06-11,187
2018-06-18,186
2018-06-25,192
2018-07-02,204
2018-07-09,212
2018-07-16,212
2018-07-23,219
2018-07-30,211
2018-08-06,212
2018-08-13,207
2018-08-20,205
2018-08-27,211
2018-09-03,216
2018-09-10,222
2018-09-17,191
2018-09-24,198
2018-10-01,199
2018-10-08,192
2018-10-15,201
2018-10-22,208
2018-10-29,189
2018-11-05,180
2018-11-12,192
2018-11-19,184
2018-11-26,187
2018-12-03,190
2018-12-10,184
2018-12-17,198
2018-12-24,190
2018-12-31,206
2019-01-07,224
2019-01-14,242
2019-01-21,184
2019-01-28,218
2019-02-04,210
2019-02-11,198
2019-02-18,201
2019-03-04,195
2019-03-11,227
2019-03-18,212
2019-03-25,208
2019-04-01,206
2019-04-08,199
2019-04-15,193
2019-04-22,215
2019-04-29,189
2019-05-06,197
2019-05-13,205
2019-05-20,215
2019-05-27,194
2019-06-03,187
2019-06-10,181
2019-06-17,196
2019-06-24,185
2019-07-01,187
2019-07-08,174
2019-07-15,187
2019-07-22,195
2019-07-29,201
2019-08-05,204
2019-08-12,205
2019-08-19,265
2019-08-26,238
2019-09-02,215
2019-09-09,197
2019-09-16,194
2019-09-23,187
2019-09-30,213
2019-10-07,215
2019-10-14,182
2019-10-21,179
2019-10-28,177
2019-11-04,181
2019-11-11,188
2019-11-18,181
2019-11-25,169
2019-12-02,174
2019-12-09,194
2019-12-16,207
2019-12-23,198
2019-12-30,227
2020-01-06,201
2020-01-13,205
2020-01-20,212
2020-01-27,236
2020-02-03,217
2020-02-10,201
2020-02-17,210
2020-03-02,196
2020-03-09,202
2020-03-16,202
2020-03-23,203
2020-03-30,195
2020-04-06,187
2020-04-13,192
2020-04-20,196
2020-04-27,180
2020-05-04,179
2020-05-11,184
2020-05-18,199
2020-05-25,182
2020-06-01,184
2020-06-08,183
2020-06-15,187
2020-06-22,176
2020-06-29,191
2020-07-06,182
2020-07-13,188
2020-07-20,194
2020-07-27,194
2020-08-03,187
2020-08-10,194
2020-08-17,191
2020-08-24,197
2020-08-31,199
2020-09-07,201
2020-09-14,206
2020-09-21,197
2020-09-28,196
2020-10-05,195
2020-10-12,184
2020-10-19,177
2020-10-26,180
2020-11-02,200
2020-11-09,197
2020-11-16,207
2020-11-23,204
2020-11-30,224
2020-12-07,220
2020-12-14,210
2020-12-21,230
2020-12-28,225
2021-01-04,223
2021-01-11,237
2021-01-18,278
2021-01-25,263
2021-02-01,207
2021-02-08,202
2021-02-15,210
2021-02-22,192
2021-03-08,196
2021-03-15,188
2021-03-22,203
2021-03-29,193
2021-04-05,203
2021-04-12,201
2021-04-19,186
2021-04-26,194
2021-05-03,200
2021-05-10,195
2021-05-17,197
2021-05-24,184
2021-05-31,223
2021-06-07,193
2021-06-14,198
2021-06-21,282
2021-06-28,226
2021-07-05,212
2021-07-12,206
2021-07-19,231
2021-07-26,219
2021-08-02,235
2021-08-09,230
2021-08-16,228
2021-08-23,228
2021-08-30,234
2021-09-06,241
2021-09-13,202
2021-09-20,207
2021-09-27,193
2021-10-04,196
2021-10-11,199
2021-10-18,205
2021-10-25,212
2021-11-01,204
2021-11-08,341
2021-11-15,276
2021-11-22,246
2021-11-29,233
2021-12-06,398
2021-12-13,420
2021-12-20,419
2021-12-27,280
2022-01-03,254
2022-01-10,288
2022-01-17,199
2022-01-24,199
2022-01-31,189
2022-02-07,199
2022-02-14,200
2022-02-21,190
2022-03-07,200
2022-03-14,190
2022-03-21,207
2022-03-28,343
2022-04-04,264
2022-04-11,228
2022-04-18,212
2022-04-25,207
2022-05-02,209
2022-05-09,200
2022-05-16,198
2022-05-23,210
2022-05-30,180
2022-06-06,190
2022-06-13,187
2022-06-20,182
2022-06-27,192
2022-07-04,186
2022-07-11,184
2022-07-18,185
2022-07-25,182
2022-08-01,191
2022-08-08,202
2022-08-15,209
2022-08-22,249
2022-08-29,230
2022-09-05,194
2022-09-12,195
2022-09-19,195
