date,index
2016-08-29,486
2016-09-05,476
2016-09-12,468
2016-09-19,629
2016-09-26,483
2016-10-03,473
2016-10-10,424
2016-10-17,456
2016-10-24,380
2016-10-31,405
2016-11-07,386
2016-11-14,409
2016-11-21,446
2016-11-28,417
2016-12-05,430
2016-12-12,435
2016-12-19,424
2016-12-26,479
2017-01-02,486
2017-01-09,440
2017-01-16,372
2017-01-23,391
2017-01-30,389
2017-02-06,423
2017-02-13,467
2017-02-20,500
2017-03-06,466
2017-03-13,419
2017-03-20,407
2017-03-27,399
2017-04-03,413
2017-04-10,412
2017-04-17,409
2017-04-24,405
2017-05-01,413
2017-05-08,399
2017-05-15,421
2017-05-22,386
2017-05-29,426
2017-06-05,391
2017-06-12,389
2017-06-19,431
2017-06-26,468
2017-07-03,494
2017-07-10,490
2017-07-17,498
2017-07-24,507
2017-07-31,490
2017-08-07,518
2017-08-14,498
2017-08-21,510
2017-08-28,480
2017-09-04,506
2017-09-11,501
2017-09-18,511
2017-09-25,399
2017-10-02,486
2017-10-09,520
2017-10-16,489
2017-10-23,630
2017-10-30,452
2017-11-06,425
2017-11-13,426
2017-11-20,465
2017-11-27,438
2017-12-04,440
2017-12-11,407
2017-12-18,409
2017-12-25,432
2018-01-01,495
2018-01-08,475
2018-01-15,499
2018-01-22,512
2018-01-29,406
2018-02-05,392
2018-02-12,439
2018-02-19,451
2018-03-05,454
2018-03-12,444
2018-03-19,462
2018-03-26,453
2018-04-02,461
2018-04-09,452
2018-04-16,430
2018-04-23,432
2018-04-30,460
2018-05-07,466
2018-05-14,443
2018-05-21,430
2018-05-28,422
2018-06-04,409
2018-06-11,396
2018-06-18,381
2018-06-25,415
2018-07-02,459
2018-07-09,438
2018-07-16,433
2018-07-23,464
2018-07-30,436
2018-08-06,428
2018-08-13,431
2018-08-20,421
2018-08-27,418
2018-09-03,447
2018-09-10,445
2018-09-17,404
2018-09-24,341
2018-10-01,405
2018-10-08,414
2018-10-15,449
2018-10-22,444
2018-10-29,407
2018-11-05,412
2018-11-12,399
2018-11-19,397
2018-11-26,381
2018-12-03,404
2018-12-10,378
2018-12-17,378
2018-12-24,423
2018-12-31,419
2019-01-07,447
2019-01-14,481
2019-01-21,292
2019-01-28,437
2019-02-04,449
2019-02-11,425
2019-02-18,382
2019-03-04,394
2019-03-11,522
2019-03-18,427
2019-03-25,418
2019-04-01,438
2019-04-08,416
2019-04-15,414
2019-04-22,386
2019-04-29,398
2019-05-06,407
2019-05-13,408
2019-05-20,428
2019-05-27,426
2019-06-03,377
2019-06-10,407
2019-06-17,472
2019-06-24,406
2019-07-01,461
2019-07-08,413
2019-07-15,404
2019-07-22,406
2019-07-29,387
2019-08-05,401
2019-08-12,441
2019-08-19,821
2019-08-26,484
2019-09-02,418
2019-09-09,386
2019-09-16,369
2019-09-23,306
2019-09-30,557
2019-10-07,485
2019-10-14,384
2019-10-21,380
2019-10-28,356
2019-11-04,350
2019-11-11,341
2019-11-18,346
2019-11-25,319
2019-12-02,320
2019-12-09,363
2019-12-16,364
2019-12-23,378
2019-12-30,392
2020-01-06,363
2020-01-13,374
2020-01-20,403
2020-01-27,390
2020-02-03,371
2020-02-10,360
2020-02-17,353
2020-03-02,350
2020-03-09,358
2020-03-16,375
2020-03-23,389
2020-03-30,353
2020-04-06,361
2020-04-13,373
2020-04-20,367
2020-04-27,346
2020-05-04,339
2020-05-11,337
2020-05-18,343
2020-05-25,321
2020-06-01,345
2020-06-08,321
2020-06-15,306
2020-06-22,314
2020-06-29,334
2020-07-06,349
2020-07-13,338
2020-07-20,333
2020-07-27,351
2020-08-03,349
2020-08-10,346
2020-08-17,332
2020-08-24,340
2020-08-31,344
2020-09-07,349
2020-09-14,446
2020-09-21,370
2020-09-28,335
2020-10-05,349
2020-10-12,348
2020-10-19,345
2020-10-26,325
2020-11-02,355
2020-11-09,336
2020-11-16,340
2020-11-23,377
2020-11-30,370
2020-12-07,363
2020-12-14,343
2020-12-21,365
2020-12-28,387
2021-01-04,381
2021-01-11,418
2021-01-18,451
2021-01-25,433
2021-02-01,314
2021-02-08,326
2021-02-15,343
2021-02-22,344
2021-03-08,343
2021-03-15,332
2021-03-22,325
2021-03-29,311
2021-04-05,323
2021-04-12,333
2021-04-19,309
2021-04-26,289
2021-05-03,295
2021-05-10,300
2021-05-17,311
2021-05-24,308
2021-05-31,320
2021-06-07,303
2021-06-14,326
2021-06-21,471
2021-06-28,351
2021-07-05,345
2021-07-12,326
2021-07-19,334
2021-07-26,338
2021-08-02,356
2021-08-09,344
2021-08-16,351
2021-08-23,362
2021-08-30,372
2021-09-06,366
2021-09-13,341
2021-09-20,353
2021-09-27,339
2021-10-04,330
2021-10-11,312
2021-10-18,331
2021-10-25,560
2021-11-01,597
2021-11-08,777
2021-11-15,669
2021-11-22,622
2021-11-29,674
2021-12-06,974
2021-12-13,938
2021-12-20,399
2021-12-27,375
2022-01-03,659
2022-01-10,453
2022-01-17,299
2022-01-24,335
2022-01-31,340
2022-02-07,344
2022-02-14,343
2022-02-21,339
2022-03-07,451
2022-03-14,679
2022-03-21,1052
2022-03-28,2438
2022-04-04,908
2022-04-11,595
2022-04-18,553
2022-04-25,594
2022-05-02,470
2022-05-09,587
2022-05-16,525
2022-05-23,450
2022-05-30,431
2022-06-06,359
2022-06-13,353
2022-06-20,318
2022-06-27,310
2022-07-04,329
2022-07-11,313
2022-07-18,303
2022-07-25,308
2022-08-01,312
2022-08-08,332
2022-08-15,405
2022-08-22,447
2022-08-29,361
2022-09-05,307
2022-09-12,333
2022-09-19,334
2022-09-26,288
2022-10-03,337
2022-10-10,337
2022-10-17,319
2022-10-24,329
2022-10-31,431
2022-11-07,337
2022-11-14,310
2022-11-21,345
2022-11-28,300
2022-12-05,287
2022-12-12,274
2022-12-19,322
2022-12-26,381
2023-01-02,365
2023-01-09,259
2023-01-16,340
2023-01-23,340
2023-01-30,342
2023-02-06,362
2023-02-13,340
2023-02-20,322
2023-03-06,302
2023-03-13,310
2023-03-20,295
2023-03-27,309
2023-04-03,320
2023-04-10,344
2023-04-17,309
2023-04-24,281
2023-05-01,297
2023-05-08,296
2023-05-15,312
2023-05-22,304
2023-05-29,296
2023-06-05,310
2023-06-12,316
2023-06-19,311
2023-06-26,327
2023-07-03,317
2023-07-10,307
2023-07-17,307
2023-07-24,304
2023-07-31,306
2023-08-07,306
2023-08-14,303
2023-08-21,301
2023-08-28,306
2023-09-04,306
2023-09-11,303
2023-09-18,284
2023-09-25,255
2023-10-02,284
2023-10-09,282
2023-10-16,270
2023-10-23,282
2023-10-30,256
2023-11-06,268
2023-11-13,269
2023-11-20,267
2023-11-27,257
2023-12-04,268
2023-12-11,287
2023-12-18,273
2023-12-25,306
2024-01-01,310
2024-01-08,324
2024-01-15,345
2024-01-22,315
2024-01-29,245
2024-02-05,278
2024-02-12,280
2024-02-19,272
2024-03-04,289
2024-03-11,278
2024-03-18,289
2024-03-25,257
2024-04-01,263
2024-04-08,269
2024-04-15,267
2024-04-22,244
2024-04-29,278
2024-05-06,271
2024-05-13,261
2024-05-20,264
2024-05-27,274
2024-06-03,253
2024-06-10,249
2024-06-17,255
2024-06-24,264
2024-07-01,268
2024-07-08,257
2024-07-15,262
2024-07-22,264
2024-07-29,267
2024-08-05,262
2024-08-12,265
2024-08-19,271
2024-08-26,268
2024-09-02,277
2024-09-09,247
2024-09-16,240
2024-09-23,226
2024-09-30,242
2024-10-07,251
2024-10-14,251
2024-10-21,258
2024-10-28,242
2024-11-04,245
2024-11-11,254
2024-11-18,249
2024-11-25,254
2024-12-02,234
2024-12-09,255
2024-12-16,263
2024-12-23,288
2024-12-30,288
2025-01-06,288
2025-01-13,207
2025-01-20,220
2025-01-27,233
2025-02-03,234
2025-02-10,241
2025-02-17,250
2025-03-03,241
2025-03-10,238
2025-03-17,226
2025-03-24,226
2025-03-31,258
2025-04-07,244
2025-04-14,251
2025-04-21,221
2025-04-28,215
2025-05-05,226
2025-05-12,235
2025-05-19,224
2025-05-26,225
2025-06-02,217
2025-06-09,219
2025-06-16,217
2025-06-23,209
2025-06-30,202
2025-07-07,237
2025-07-14,212
2025-07-21,217
2025-07-28,233
2025-08-04,221
2025-08-11,210
