date,index
2016-08-29,276
2016-09-05,281
2016-09-12,237
2016-09-19,221
2016-09-26,219
2016-10-03,219
2016-10-10,239
2016-10-17,229
2016-10-24,199
2016-10-31,226
2016-11-07,221
2016-11-14,237
2016-11-21,260
2016-11-28,227
2016-12-05,228
2016-12-12,257
2016-12-19,238
2016-12-26,246
2017-01-02,269
2017-01-09,220
2017-01-16,202
2017-01-23,214
2017-01-30,231
2017-02-06,224
2017-02-13,241
2017-02-20,286
2017-03-06,260
2017-03-13,254
2017-03-20,238
2017-03-27,246
2017-04-03,228
2017-04-10,243
2017-04-17,239
2017-04-24,229
2017-05-01,232
2017-05-08,236
2017-05-15,250
2017-05-22,233
2017-05-29,244
2017-06-05,240
2017-06-12,263
2017-06-19,278
2017-06-26,284
2017-07-03,283
2017-07-10,287
2017-07-17,290
2017-07-24,290
2017-07-31,299
2017-08-07,306
2017-08-14,288
2017-08-21,290
2017-08-28,282
2017-09-04,281
2017-09-11,283
2017-09-18,285
2017-09-25,235
2017-10-02,250
2017-10-09,268
2017-10-16,269
2017-10-23,284
2017-10-30,239
2017-11-06,239
2017-11-13,234
2017-11-20,238
2017-11-27,248
2017-12-04,240
2017-12-11,225
2017-12-18,236
2017-12-25,235
2018-01-01,263
2018-01-08,260
2018-01-15,286
2018-01-22,286
2018-01-29,227
2018-02-05,214
2018-02-12,245
2018-02-19,245
2018-03-05,263
2018-03-12,245
2018-03-19,270
2018-03-26,254
2018-04-02,245
2018-04-09,270
2018-04-16,255
2018-04-23,248
2018-04-30,253
2018-05-07,252
2018-05-14,246
2018-05-21,253
2018-05-28,257
2018-06-04,238
2018-06-11,220
2018-06-18,230
2018-06-25,247
2018-07-02,265
2018-07-09,280
2018-07-16,272
2018-07-23,278
2018-07-30,278
2018-08-06,270
2018-08-13,268
2018-08-20,260
2018-08-27,263
2018-09-03,273
2018-09-10,287
2018-09-17,255
2018-09-24,235
2018-10-01,248
2018-10-08,246
2018-10-15,254
2018-10-22,255
2018-10-29,259
2018-11-05,259
2018-11-12,257
2018-11-19,242
2018-11-26,251
2018-12-03,240
2018-12-10,254
2018-12-17,241
2018-12-24,283
2018-12-31,269
2019-01-07,296
2019-01-14,290
2019-01-21,186
2019-01-28,297
2019-02-04,280
2019-02-11,268
2019-02-18,238
2019-03-04,241
2019-03-11,296
2019-03-18,258
2019-03-25,241
2019-04-01,243
2019-04-08,242
2019-04-15,243
2019-04-22,243
2019-04-29,230
2019-05-06,239
2019-05-13,253
2019-05-20,268
2019-05-27,256
2019-06-03,230
2019-06-10,251
2019-06-17,246
2019-06-24,246
2019-07-01,281
2019-07-08,254
2019-07-15,245
2019-07-22,258
2019-07-29,254
2019-08-05,251
2019-08-12,269
2019-08-19,367
2019-08-26,294
2019-09-02,266
2019-09-09,245
2019-09-16,233
2019-09-23,211
2019-09-30,286
2019-10-07,282
2019-10-14,244
2019-10-21,225
2019-10-28,208
2019-11-04,222
2019-11-11,220
2019-11-18,219
2019-11-25,201
2019-12-02,206
2019-12-09,227
2019-12-16,234
2019-12-23,246
2019-12-30,266
2020-01-06,213
2020-01-13,205
2020-01-20,236
2020-01-27,229
2020-02-03,236
2020-02-10,234
2020-02-17,234
2020-03-02,234
2020-03-09,239
2020-03-16,246
2020-03-23,244
2020-03-30,247
2020-04-06,238
2020-04-13,252
2020-04-20,258
2020-04-27,229
2020-05-04,237
2020-05-11,240
2020-05-18,233
2020-05-25,219
2020-06-01,217
2020-06-08,218
2020-06-15,206
2020-06-22,197
2020-06-29,211
2020-07-06,210
2020-07-13,216
2020-07-20,215
2020-07-27,219
2020-08-03,237
2020-08-10,213
2020-08-17,213
2020-08-24,212
2020-08-31,220
2020-09-07,215
2020-09-14,228
2020-09-21,208
2020-09-28,211
2020-10-05,222
2020-10-12,235
2020-10-19,206
2020-10-26,218
2020-11-02,247
2020-11-09,243
2020-11-16,236
2020-11-23,272
2020-11-30,265
2020-12-07,265
2020-12-14,256
2020-12-21,256
2020-12-28,263
2021-01-04,265
2021-01-11,283
2021-01-18,303
2021-01-25,288
2021-02-01,242
2021-02-08,245
2021-02-15,229
2021-02-22,235
2021-03-08,223
2021-03-15,230
2021-03-22,235
2021-03-29,223
2021-04-05,237
2021-04-12,232
2021-04-19,213
2021-04-26,214
2021-05-03,220
2021-05-10,211
2021-05-17,212
2021-05-24,209
2021-05-31,233
2021-06-07,205
2021-06-14,202
2021-06-21,379
2021-06-28,236
2021-07-05,239
2021-07-12,226
2021-07-19,218
2021-07-26,225
2021-08-02,242
2021-08-09,236
2021-08-16,241
2021-08-23,237
2021-08-30,267
2021-09-06,313
2021-09-13,252
2021-09-20,249
2021-09-27,235
2021-10-04,244
2021-10-11,238
2021-10-18,264
2021-10-25,239
2021-11-01,242
2021-11-08,245
2021-11-15,260
2021-11-22,259
2021-11-29,251
2021-12-06,499
2021-12-13,539
2021-12-20,324
2021-12-27,327
2022-01-03,301
2022-01-10,320
2022-01-17,187
2022-01-24,227
2022-01-31,230
2022-02-07,227
2022-02-14,220
2022-02-21,232
2022-03-07,252
2022-03-14,240
2022-03-21,237
2022-03-28,480
2022-04-04,239
2022-04-11,242
2022-04-18,256
2022-04-25,248
2022-05-02,234
2022-05-09,243
2022-05-16,248
2022-05-23,251
2022-05-30,230
2022-06-06,221
2022-06-13,209
2022-06-20,223
2022-06-27,217
2022-07-04,222
2022-07-11,247
2022-07-18,213
2022-07-25,216
2022-08-01,240
2022-08-08,253
2022-08-15,244
2022-08-22,319
2022-08-29,283
2022-09-05,233
2022-09-12,248
2022-09-19,242
2022-09-26,216
2022-10-03,237
2022-10-10,237
2022-10-17,218
2022-10-24,223
2022-10-31,232
2022-11-07,220
2022-11-14,219
2022-11-21,224
2022-11-28,203
2022-12-05,200
2022-12-12,206
2022-12-19,248
2022-12-26,292
2023-01-02,252
2023-01-09,180
2023-01-16,234
2023-01-23,250
2023-01-30,255
2023-02-06,256
2023-02-13,230
2023-02-20,224
2023-03-06,224
2023-03-13,200
2023-03-20,223
2023-03-27,232
2023-04-03,225
2023-04-10,260
2023-04-17,220
2023-04-24,230
2023-05-01,213
2023-05-08,223
2023-05-15,229
2023-05-22,222
2023-05-29,227
2023-06-05,255
2023-06-12,237
2023-06-19,243
2023-06-26,246
2023-07-03,235
2023-07-10,249
2023-07-17,226
2023-07-24,237
2023-07-31,229
2023-08-07,222
2023-08-14,219
2023-08-21,233
2023-08-28,245
2023-09-04,247
2023-09-11,235
2023-09-18,241
2023-09-25,195
2023-10-02,217
2023-10-09,222
2023-10-16,202
2023-10-23,191
2023-10-30,187
2023-11-06,193
2023-11-13,187
2023-11-20,191
2023-11-27,183
2023-12-04,190
2023-12-11,191
2023-12-18,206
2023-12-25,255
2024-01-01,240
2024-01-08,226
2024-01-15,234
2024-01-22,190
2024-01-29,166
2024-02-05,191
2024-02-12,191
2024-02-19,181
2024-03-04,175
2024-03-11,179
2024-03-18,178
2024-03-25,181
2024-04-01,173
2024-04-08,182
2024-04-15,197
2024-04-22,204
2024-04-29,214
2024-05-06,193
2024-05-13,187
2024-05-20,187
2024-05-27,196
2024-06-03,174
2024-06-10,174
2024-06-17,172
2024-06-24,175
2024-07-01,181
2024-07-08,166
2024-07-15,172
2024-07-22,163
2024-07-29,177
2024-08-05,180
2024-08-12,170
2024-08-19,182
2024-08-26,194
2024-09-02,213
2024-09-09,187
2024-09-16,163
2024-09-23,161
2024-09-30,166
2024-10-07,179
2024-10-14,178
2024-10-21,175
2024-10-28,162
2024-11-04,141
2024-11-11,161
2024-11-18,166
2024-11-25,169
2024-12-02,167
2024-12-09,181
2024-12-16,179
2024-12-23,196
2024-12-30,212
2025-01-06,217
2025-01-13,130
2025-01-20,154
2025-01-27,170
2025-02-03,163
2025-02-10,159
2025-02-17,158
2025-03-03,166
2025-03-10,166
2025-03-17,156
2025-03-24,161
2025-03-31,175
2025-04-07,170
2025-04-14,156
2025-04-21,126
2025-04-28,157
2025-05-05,148
2025-05-12,159
2025-05-19,143
2025-05-26,153
2025-06-02,141
2025-06-09,142
2025-06-16,135
2025-06-23,127
2025-06-30,143
2025-07-07,145
2025-07-14,156
2025-07-21,152
2025-07-28,148
2025-08-04,138
2025-08-11,124
