date,index
2016-08-29,246
2016-09-05,230
2016-09-12,214
2016-09-19,211
2016-09-26,221
2016-10-03,233
2016-10-10,225
2016-10-17,234
2016-10-24,196
2016-10-31,212
2016-11-07,201
2016-11-14,207
2016-11-21,229
2016-11-28,222
2016-12-05,210
2016-12-12,216
2016-12-19,231
2016-12-26,233
2017-01-02,253
2017-01-09,249
2017-01-16,222
2017-01-23,218
2017-01-30,213
2017-02-06,211
2017-02-13,233
2017-02-20,254
2017-03-06,223
2017-03-13,219
2017-03-20,202
2017-03-27,214
2017-04-03,217
2017-04-10,203
2017-04-17,199
2017-04-24,207
2017-05-01,220
2017-05-08,216
2017-05-15,230
2017-05-22,226
2017-05-29,233
2017-06-05,224
2017-06-12,218
2017-06-19,228
2017-06-26,228
2017-07-03,226
2017-07-10,230
2017-07-17,228
2017-07-24,234
2017-07-31,234
2017-08-07,243
2017-08-14,243
2017-08-21,251
2017-08-28,230
2017-09-04,250
2017-09-11,252
2017-09-18,245
2017-09-25,229
2017-10-02,251
2017-10-09,248
2017-10-16,242
2017-10-23,244
2017-10-30,239
2017-11-06,222
2017-11-13,230
2017-11-20,265
2017-11-27,275
2017-12-04,464
2017-12-11,294
2017-12-18,258
2017-12-25,231
2018-01-01,232
2018-01-08,217
2018-01-15,251
2018-01-22,282
2018-01-29,244
2018-02-05,229
2018-02-12,227
2018-02-19,229
2018-03-05,228
2018-03-12,233
2018-03-19,228
2018-03-26,231
2018-04-02,230
2018-04-09,220
2018-04-16,220
2018-04-23,213
2018-04-30,211
2018-05-07,206
2018-05-14,218
2018-05-21,210
2018-05-28,232
2018-06-04,219
2018-06-11,190
2018-06-18,212
2018-06-25,224
2018-07-02,216
2018-07-09,231
2018-07-16,224
2018-07-23,237
2018-07-30,232
2018-08-06,230
2018-08-13,235
2018-08-20,224
2018-08-27,217
2018-09-03,237
2018-09-10,229
2018-09-17,215
2018-09-24,204
2018-10-01,217
2018-10-08,205
2018-10-15,220
2018-10-22,215
2018-10-29,201
2018-11-05,193
2018-11-12,208
2018-11-19,194
2018-11-26,208
2018-12-03,221
2018-12-10,202
2018-12-17,217
2018-12-24,230
2018-12-31,230
2019-01-07,243
2019-01-14,255
2019-01-21,211
2019-01-28,239
2019-02-04,228
2019-02-11,225
2019-02-18,201
2019-03-04,207
2019-03-11,228
2019-03-18,229
2019-03-25,220
2019-04-01,200
2019-04-08,219
2019-04-15,211
2019-04-22,205
2019-04-29,197
2019-05-06,202
2019-05-13,205
2019-05-20,228
2019-05-27,221
2019-06-03,200
2019-06-10,214
2019-06-17,217
2019-06-24,213
2019-07-01,216
2019-07-08,212
2019-07-15,211
2019-07-22,204
2019-07-29,217
2019-08-05,219
2019-08-12,219
2019-08-19,266
2019-08-26,233
2019-09-02,222
2019-09-09,197
2019-09-16,217
2019-09-23,190
2019-09-30,236
2019-10-07,231
2019-10-14,197
2019-10-21,208
2019-10-28,184
2019-11-04,194
2019-11-11,191
2019-11-18,197
2019-11-25,187
2019-12-02,173
2019-12-09,199
2019-12-16,201
