date,index
2016-08-29,292
2016-09-05,322
2016-09-12,279
2016-09-19,300
2016-09-26,293
2016-10-03,360
2016-10-10,291
2016-10-17,296
2016-10-24,282
2016-10-31,295
2016-11-07,283
2016-11-14,281
2016-11-21,290
2016-11-28,285
2016-12-05,278
2016-12-12,285
2016-12-19,295
2016-12-26,308
2017-01-02,361
2017-01-09,326
2017-01-16,291
2017-01-23,304
2017-01-30,480
2017-02-06,376
2017-02-13,378
2017-02-20,434
2017-03-06,275
2017-03-13,244
2017-03-20,255
2017-03-27,221
2017-04-03,208
2017-04-10,211
2017-04-17,205
2017-04-24,212
2017-05-01,213
2017-05-08,215
2017-05-15,212
2017-05-22,220
2017-05-29,218
2017-06-05,229
2017-06-12,220
2017-06-19,243
2017-06-26,237
2017-07-03,248
2017-07-10,241
2017-07-17,241
2017-07-24,240
2017-07-31,229
2017-08-07,257
2017-08-14,261
2017-08-21,241
2017-08-28,239
2017-09-04,260
2017-09-11,253
2017-09-18,256
2017-09-25,227
2017-10-02,242
2017-10-09,252
2017-10-16,267
2017-10-23,238
2017-10-30,246
2017-11-06,621
2017-11-13,285
2017-11-20,280
2017-11-27,288
2017-12-04,283
2017-12-11,266
2017-12-18,274
2017-12-25,269
2018-01-01,305
2018-01-08,297
2018-01-15,399
2018-01-22,358
2018-01-29,249
2018-02-05,258
2018-02-12,398
2018-02-19,285
2018-03-05,378
2018-03-12,407
2018-03-19,365
2018-03-26,264
2018-04-02,258
2018-04-09,249
2018-04-16,220
2018-04-23,227
2018-04-30,217
2018-05-07,219
2018-05-14,217
2018-05-21,214
2018-05-28,227
2018-06-04,289
2018-06-11,225
2018-06-18,213
2018-06-25,220
2018-07-02,235
2018-07-09,226
2018-07-16,229
2018-07-23,284
2018-07-30,259
2018-08-06,244
2018-08-13,244
2018-08-20,225
2018-08-27,229
2018-09-03,234
2018-09-10,244
2018-09-17,229
2018-09-24,240
2018-10-01,245
2018-10-08,259
2018-10-15,249
2018-10-22,230
2018-10-29,207
2018-11-05,199
2018-11-12,188
2018-11-19,187
2018-11-26,249
2018-12-03,251
2018-12-10,234
2018-12-17,229
2018-12-24,239
2018-12-31,238
2019-01-07,249
2019-01-14,243
2019-01-21,185
2019-01-28,220
2019-02-04,236
2019-02-11,224
2019-02-18,236
2019-03-04,228
2019-03-11,214
2019-03-18,198
2019-03-25,192
2019-04-01,201
2019-04-08,204
2019-04-15,201
2019-04-22,188
2019-04-29,205
2019-05-06,237
2019-05-13,222
2019-05-20,211
2019-05-27,218
2019-06-03,208
2019-06-10,210
2019-06-17,283
2019-06-24,211
2019-07-01,224
2019-07-08,210
2019-07-15,217
2019-07-22,256
2019-07-29,281
2019-08-05,216
2019-08-12,224
2019-08-19,240
2019-08-26,222
2019-09-02,214
2019-09-09,215
2019-09-16,207
2019-09-23,173
2019-09-30,216
2019-10-07,200
2019-10-14,186
2019-10-21,206
2019-10-28,193
2019-11-04,187
2019-11-11,179
2019-11-18,179
2019-11-25,186
2019-12-02,189
2019-12-09,190
2019-12-16,221
2019-12-23,214
2019-12-30,236
2020-01-06,184
2020-01-13,208
2020-01-20,231
2020-01-27,216
2020-02-03,222
2020-02-10,200
2020-02-17,188
2020-03-02,186
2020-03-09,194
2020-03-16,179
2020-03-23,191
2020-03-30,178
2020-04-06,183
2020-04-13,202
2020-04-20,183
2020-04-27,187
2020-05-04,196
2020-05-11,188
2020-05-18,186
2020-05-25,182
2020-06-01,194
2020-06-08,197
2020-06-15,188
2020-06-22,193
2020-06-29,194
2020-07-06,196
2020-07-13,204
2020-07-20,190
2020-07-27,194
2020-08-03,189
2020-08-10,189
2020-08-17,203
2020-08-24,193
2020-08-31,201
2020-09-07,213
2020-09-14,234
2020-09-21,229
2020-09-28,216
2020-10-05,183
2020-10-12,225
2020-10-19,216
2020-10-26,386
2020-11-02,230
2020-11-09,225
2020-11-16,239
2020-11-23,244
2020-11-30,225
2020-12-07,233
2020-12-14,248
2020-12-21,238
2020-12-28,239
2021-01-04,210
2021-01-11,261
2021-01-18,256
2021-01-25,199
2021-02-01,179
2021-02-08,192
2021-02-15,186
2021-02-22,182
2021-03-08,182
2021-03-15,191
2021-03-22,192
2021-03-29,207
2021-04-05,199
2021-04-12,211
2021-04-19,194
2021-04-26,206
2021-05-03,194
2021-05-10,187
2021-05-17,189
2021-05-24,184
2021-05-31,188
2021-06-07,185
2021-06-14,215
2021-06-21,197
2021-06-28,207
2021-07-05,210
2021-07-12,212
2021-07-19,211
2021-07-26,198
2021-08-02,221
2021-08-09,504
2021-08-16,299
2021-08-23,229
2021-08-30,237
2021-09-06,218
2021-09-13,175
2021-09-20,168
2021-09-27,159
2021-10-04,166
2021-10-11,172
2021-10-18,173
2021-10-25,165
2021-11-01,172
2021-11-08,192
2021-11-15,178
2021-11-22,183
2021-11-29,176
2021-12-06,176
2021-12-13,187
2021-12-20,201
2021-12-27,197
2022-01-03,217
2022-01-10,213
2022-01-17,149
2022-01-24,186
2022-01-31,220
2022-02-07,184
2022-02-14,183
2022-02-21,179
2022-03-07,179
2022-03-14,181
2022-03-21,193
2022-03-28,197
2022-04-04,193
2022-04-11,190
2022-04-18,201
2022-04-25,174
2022-05-02,191
2022-05-09,186
2022-05-16,188
2022-05-23,188
2022-05-30,193
2022-06-06,173
2022-06-13,167
2022-06-20,177
2022-06-27,173
2022-07-04,185
2022-07-11,180
2022-07-18,172
2022-07-25,193
2022-08-01,194
2022-08-08,185
2022-08-15,191
2022-08-22,202
2022-08-29,204
2022-09-05,194
2022-09-12,182
2022-09-19,183
2022-09-26,170
2022-10-03,186
2022-10-10,201
2022-10-17,193
2022-10-24,192
2022-10-31,194
2022-11-07,190
2022-11-14,188
2022-11-21,170
2022-11-28,165
2022-12-05,171
2022-12-12,180
2022-12-19,190
2022-12-26,246
2023-01-02,221
2023-01-09,194
2023-01-16,233
2023-01-23,226
2023-01-30,211
2023-02-06,214
2023-02-13,209
2023-02-20,225
2023-03-06,240
2023-03-13,224
2023-03-20,259
2023-03-27,228
2023-04-03,223
2023-04-10,215
2023-04-17,217
2023-04-24,211
2023-05-01,220
2023-05-08,228
2023-05-15,216
2023-05-22,205
2023-05-29,237
2023-06-05,223
2023-06-12,232
2023-06-19,251
2023-06-26,257
2023-07-03,240
2023-07-10,230
2023-07-17,240
2023-07-24,248
2023-07-31,245
2023-08-07,247
2023-08-14,264
2023-08-21,265
2023-08-28,254
2023-09-04,249
2023-09-11,261
2023-09-18,242
2023-09-25,236
2023-10-02,251
2023-10-09,242
2023-10-16,249
2023-10-23,213
2023-10-30,218
2023-11-06,210
2023-11-13,199
2023-11-20,191
2023-11-27,192
2023-12-04,196
2023-12-11,215
2023-12-18,206
2023-12-25,198
2024-01-01,211
2024-01-08,209
2024-01-15,210
2024-01-22,177
2024-01-29,153
2024-02-05,227
2024-02-12,325
2024-02-19,232
2024-03-04,239
2024-03-11,245
2024-03-18,191
2024-03-25,167
2024-04-01,175
2024-04-08,169
2024-04-15,162
2024-04-22,151
2024-04-29,184
2024-05-06,169
2024-05-13,167
2024-05-20,179
2024-05-27,188
2024-06-03,162
2024-06-10,159
2024-06-17,162
2024-06-24,175
2024-07-01,173
2024-07-08,162
2024-07-15,164
2024-07-22,164
2024-07-29,164
2024-08-05,171
2024-08-12,176
2024-08-19,166
2024-08-26,173
2024-09-02,180
2024-09-09,167
2024-09-16,174
2024-09-23,185
2024-09-30,180
2024-10-07,181
2024-10-14,178
2024-10-21,179
2024-10-28,179
2024-11-04,185
2024-11-11,179
2024-11-18,164
2024-11-25,172
2024-12-02,183
2024-12-09,189
2024-12-16,256
2024-12-23,206
2024-12-30,201
2025-01-06,221
2025-01-13,175
2025-01-20,170
2025-01-27,178
2025-02-03,150
2025-02-10,173
2025-02-17,204
2025-03-03,187
2025-03-10,188
2025-03-17,175
2025-03-24,181
2025-03-31,176
2025-04-07,179
2025-04-14,175
2025-04-21,178
2025-04-28,179
2025-05-05,182
2025-05-12,184
2025-05-19,200
2025-05-26,179
2025-06-02,191
2025-06-09,170
2025-06-16,167
2025-06-23,175
2025-06-30,179
2025-07-07,167
2025-07-14,169
2025-07-21,177
2025-07-28,179
2025-08-04,195
2025-08-11,178
