date,index
2016-08-29,160
2016-09-05,169
2016-09-12,155
2016-09-19,191
2016-09-26,170
2016-10-03,176
2016-10-10,176
2016-10-17,167
2016-10-24,161
2016-10-31,159
2016-11-07,161
2016-11-14,165
2016-11-21,189
2016-11-28,221
2016-12-05,182
2016-12-12,196
2016-12-19,178
2016-12-26,166
2017-01-02,168
2017-01-09,144
2017-01-16,159
2017-01-23,160
2017-01-30,222
2017-02-06,190
2017-02-13,216
2017-02-20,306
2017-03-06,196
2017-03-13,177
2017-03-20,196
2017-03-27,175
2017-04-03,136
2017-04-10,165
2017-04-17,138
2017-04-24,161
2017-05-01,165
2017-05-08,171
2017-05-15,169
2017-05-22,183
2017-05-29,160
2017-06-05,165
2017-06-12,170
2017-06-19,167
2017-06-26,160
2017-07-03,173
2017-07-10,166
2017-07-17,181
2017-07-24,197
2017-07-31,171
2017-08-07,173
2017-08-14,169
2017-08-21,178
2017-08-28,168
2017-09-04,165
2017-09-11,164
2017-09-18,171
2017-09-25,180
2017-10-02,166
2017-10-09,181
2017-10-16,187
2017-10-23,175
2017-10-30,165
2017-11-06,276
2017-11-13,190
2017-11-20,196
2017-11-27,175
2017-12-04,190
2017-12-11,225
2017-12-18,188
2017-12-25,183
2018-01-01,218
2018-01-08,172
2018-01-15,209
2018-01-22,196
2018-01-29,162
2018-02-05,170
2018-02-12,191
2018-02-19,170
2018-03-05,203
2018-03-12,216
2018-03-19,209
2018-03-26,163
2018-04-02,168
2018-04-09,172
2018-04-16,172
2018-04-23,150
2018-04-30,175
2018-05-07,164
2018-05-14,153
2018-05-21,162
2018-05-28,153
2018-06-04,168
2018-06-11,155
2018-06-18,152
2018-06-25,152
2018-07-02,151
2018-07-09,159
2018-07-16,160
2018-07-23,178
2018-07-30,167
2018-08-06,136
2018-08-13,156
2018-08-20,150
2018-08-27,160
2018-09-03,163
2018-09-10,170
2018-09-17,161
2018-09-24,185
2018-10-01,269
2018-10-08,181
2018-10-15,174
2018-10-22,173
2018-10-29,145
2018-11-05,125
2018-11-12,140
2018-11-19,136
2018-11-26,140
2018-12-03,146
2018-12-10,143
2018-12-17,147
2018-12-24,144
2018-12-31,147
2019-01-07,145
2019-01-14,151
2019-01-21,120
2019-01-28,155
2019-02-04,151
2019-02-11,142
2019-02-18,148
2019-03-04,135
2019-03-11,132
2019-03-18,108
2019-03-25,128
2019-04-01,140
2019-04-08,129
2019-04-15,136
2019-04-22,118
2019-04-29,139
2019-05-06,147
2019-05-13,148
2019-05-20,143
2019-05-27,150
2019-06-03,140
2019-06-10,134
2019-06-17,164
2019-06-24,133
2019-07-01,149
2019-07-08,142
2019-07-15,136
2019-07-22,157
2019-07-29,165
2019-08-05,154
2019-08-12,144
2019-08-19,148
2019-08-26,150
2019-09-02,149
2019-09-09,148
2019-09-16,139
2019-09-23,122
2019-09-30,138
2019-10-07,131
2019-10-14,131
2019-10-21,136
2019-10-28,133
2019-11-04,141
2019-11-11,139
2019-11-18,121
2019-11-25,129
2019-12-02,140
2019-12-09,137
2019-12-16,121
2019-12-23,116
2019-12-30,150
2020-01-06,101
2020-01-13,117
2020-01-20,142
2020-01-27,148
2020-02-03,145
2020-02-10,140
2020-02-17,117
2020-03-02,139
2020-03-09,135
2020-03-16,116
2020-03-23,124
2020-03-30,124
2020-04-06,128
2020-04-13,134
2020-04-20,127
2020-04-27,119
2020-05-04,139
2020-05-11,136
2020-05-18,136
2020-05-25,127
2020-06-01,135
2020-06-08,116
2020-06-15,114
2020-06-22,143
2020-06-29,143
2020-07-06,126
2020-07-13,147
2020-07-20,129
2020-07-27,148
2020-08-03,137
2020-08-10,127
2020-08-17,123
2020-08-24,135
2020-08-31,122
2020-09-07,150
2020-09-14,136
2020-09-21,149
2020-09-28,141
2020-10-05,127
2020-10-12,130
2020-10-19,132
2020-10-26,172
2020-11-02,134
2020-11-09,128
2020-11-16,128
2020-11-23,140
2020-11-30,121
2020-12-07,140
2020-12-14,140
2020-12-21,129
2020-12-28,128
2021-01-04,119
2021-01-11,130
2021-01-18,135
2021-01-25,117
2021-02-01,120
2021-02-08,126
2021-02-15,140
2021-02-22,131
2021-03-08,130
2021-03-15,135
2021-03-22,146
2021-03-29,143
2021-04-05,140
2021-04-12,144
2021-04-19,144
2021-04-26,116
2021-05-03,142
2021-05-10,131
2021-05-17,126
2021-05-24,116
2021-05-31,137
2021-06-07,114
2021-06-14,130
2021-06-21,120
2021-06-28,114
2021-07-05,137
2021-07-12,137
2021-07-19,132
2021-07-26,124
2021-08-02,147
2021-08-09,198
2021-08-16,159
2021-08-23,144
2021-08-30,132
2021-09-06,146
2021-09-13,123
2021-09-20,126
2021-09-27,109
2021-10-04,118
2021-10-11,142
2021-10-18,134
2021-10-25,112
2021-11-01,128
2021-11-08,142
2021-11-15,121
2021-11-22,124
2021-11-29,121
2021-12-06,120
2021-12-13,136
2021-12-20,130
2021-12-27,143
2022-01-03,147
2022-01-10,157
2022-01-17,108
2022-01-24,140
2022-01-31,142
2022-02-07,126
2022-02-14,142
2022-02-21,134
2022-03-07,137
2022-03-14,120
2022-03-21,141
2022-03-28,128
2022-04-04,132
2022-04-11,132
2022-04-18,134
2022-04-25,122
2022-05-02,151
2022-05-09,131
2022-05-16,140
2022-05-23,130
2022-05-30,131
