date,index
2016-08-29,307
2016-09-05,408
2016-09-12,301
2016-09-19,306
2016-09-26,302
2016-10-03,355
2016-10-10,301
2016-10-17,284
2016-10-24,261
2016-10-31,260
2016-11-07,272
2016-11-14,254
2016-11-21,263
2016-11-28,260
2016-12-05,252
2016-12-12,260
2016-12-19,283
2016-12-26,293
2017-01-02,304
2017-01-09,261
2017-01-16,259
2017-01-23,262
2017-01-30,397
2017-02-06,329
2017-02-13,359
2017-02-20,492
2017-03-06,344
2017-03-13,309
2017-03-20,311
2017-03-27,300
2017-04-03,268
2017-04-10,266
2017-04-17,264
2017-04-24,271
2017-05-01,283
2017-05-08,266
2017-05-15,273
2017-05-22,290
2017-05-29,276
2017-06-05,279
2017-06-12,285
2017-06-19,295
2017-06-26,297
2017-07-03,319
2017-07-10,292
2017-07-17,325
2017-07-24,311
2017-07-31,303
2017-08-07,298
2017-08-14,291
2017-08-21,289
2017-08-28,276
2017-09-04,288
2017-09-11,304
2017-09-18,305
2017-09-25,270
2017-10-02,267
2017-10-09,289
2017-10-16,278
2017-10-23,265
2017-10-30,272
2017-11-06,573
2017-11-13,294
2017-11-20,258
2017-11-27,267
2017-12-04,273
2017-12-11,283
2017-12-18,283
2017-12-25,252
2018-01-01,280
2018-01-08,268
2018-01-15,333
2018-01-22,308
2018-01-29,235
2018-02-05,245
2018-02-12,309
2018-02-19,272
2018-03-05,439
2018-03-12,427
2018-03-19,391
2018-03-26,303
2018-04-02,288
2018-04-09,269
2018-04-16,265
2018-04-23,265
2018-04-30,259
2018-05-07,241
2018-05-14,260
2018-05-21,254
2018-05-28,255
2018-06-04,274
2018-06-11,239
2018-06-18,237
2018-06-25,257
2018-07-02,250
2018-07-09,254
2018-07-16,252
2018-07-23,293
2018-07-30,284
2018-08-06,259
2018-08-13,258
2018-08-20,256
2018-08-27,249
2018-09-03,260
2018-09-10,264
2018-09-17,239
2018-09-24,291
2018-10-01,254
2018-10-08,257
2018-10-15,261
2018-10-22,277
2018-10-29,232
2018-11-05,236
2018-11-12,221
2018-11-19,209
2018-11-26,228
2018-12-03,249
2018-12-10,235
2018-12-17,245
2018-12-24,227
2018-12-31,254
2019-01-07,246
2019-01-14,246
2019-01-21,207
2019-01-28,262
2019-02-04,253
2019-02-11,261
2019-02-18,269
2019-03-04,244
2019-03-11,242
2019-03-18,235
2019-03-25,220
2019-04-01,216
2019-04-08,207
