date,index
2016-08-29,237
2016-09-05,252
2016-09-12,242
2016-09-19,242
2016-09-26,232
2016-10-03,256
2016-10-10,230
2016-10-17,220
2016-10-24,217
2016-10-31,204
2016-11-07,205
2016-11-14,229
2016-11-21,227
2016-11-28,223
2016-12-05,201
2016-12-12,218
2016-12-19,249
2016-12-26,259
2017-01-02,273
2017-01-09,251
2017-01-16,229
2017-01-23,220
2017-01-30,334
2017-02-06,273
2017-02-13,398
2017-02-20,595
2017-03-06,342
2017-03-13,300
2017-03-20,289
2017-03-27,268
2017-04-03,243
2017-04-10,247
2017-04-17,255
2017-04-24,274
2017-05-01,258
2017-05-08,263
2017-05-15,275
2017-05-22,283
2017-05-29,293
2017-06-05,283
2017-06-12,283
2017-06-19,300
2017-06-26,291
2017-07-03,307
2017-07-10,303
2017-07-17,291
2017-07-24,271
2017-07-31,283
2017-08-07,280
2017-08-14,291
2017-08-21,269
2017-08-28,282
2017-09-04,281
2017-09-11,298
2017-09-18,313
2017-09-25,288
2017-10-02,261
2017-10-09,272
2017-10-16,268
2017-10-23,268
2017-10-30,248
2017-11-06,608
2017-11-13,313
2017-11-20,289
2017-11-27,292
2017-12-04,289
2017-12-11,291
2017-12-18,288
2017-12-25,284
2018-01-01,322
2018-01-08,300
2018-01-15,399
2018-01-22,430
2018-01-29,356
2018-02-05,288
2018-02-12,380
2018-02-19,314
2018-03-05,451
2018-03-12,435
2018-03-19,383
2018-03-26,313
2018-04-02,302
2018-04-09,281
2018-04-16,279
2018-04-23,291
2018-04-30,278
2018-05-07,274
2018-05-14,262
2018-05-21,291
2018-05-28,286
2018-06-04,313
2018-06-11,258
2018-06-18,273
2018-06-25,283
2018-07-02,283
2018-07-09,279
2018-07-16,283
2018-07-23,314
2018-07-30,315
2018-08-06,286
2018-08-13,292
2018-08-20,273
2018-08-27,282
2018-09-03,278
2018-09-10,308
2018-09-17,278
2018-09-24,345
2018-10-01,293
2018-10-08,296
2018-10-15,299
2018-10-22,279
2018-10-29,225
2018-11-05,228
2018-11-12,216
2018-11-19,213
2018-11-26,227
2018-12-03,264
2018-12-10,268
2018-12-17,290
2018-12-24,259
2018-12-31,265
2019-01-07,313
2019-01-14,318
2019-01-21,249
2019-01-28,287
2019-02-04,270
2019-02-11,266
2019-02-18,291
2019-03-04,258
2019-03-11,247
2019-03-18,240
2019-03-25,227
2019-04-01,228
2019-04-08,221
2019-04-15,248
2019-04-22,239
2019-04-29,234
2019-05-06,256
2019-05-13,247
2019-05-20,268
2019-05-27,268
2019-06-03,263
2019-06-10,259
2019-06-17,274
2019-06-24,245
2019-07-01,265
2019-07-08,259
2019-07-15,260
2019-07-22,267
2019-07-29,272
2019-08-05,261
2019-08-12,261
2019-08-19,272
2019-08-26,270
2019-09-02,283
2019-09-09,237
2019-09-16,234
2019-09-23,259
2019-09-30,239
2019-10-07,237
2019-10-14,226
2019-10-21,221
2019-10-28,220
2019-11-04,217
2019-11-11,226
2019-11-18,221
2019-11-25,221
2019-12-02,223
2019-12-09,225
2019-12-16,250
2019-12-23,254
2019-12-30,278
2020-01-06,253
2020-01-13,238
2020-01-20,304
2020-01-27,233
2020-02-03,224
2020-02-10,223
2020-02-17,220
2020-03-02,215
2020-03-09,220
2020-03-16,221
2020-03-23,238
2020-03-30,233
2020-04-06,224
2020-04-13,231
2020-04-20,233
2020-04-27,219
2020-05-04,218
2020-05-11,212
2020-05-18,217
2020-05-25,213
2020-06-01,212
2020-06-08,235
2020-06-15,225
2020-06-22,223
2020-06-29,217
2020-07-06,237
2020-07-13,230
2020-07-20,239
2020-07-27,225
2020-08-03,230
2020-08-10,225
2020-08-17,207
2020-08-24,216
2020-08-31,234
2020-09-07,232
2020-09-14,246
2020-09-21,252
2020-09-28,240
2020-10-05,223
2020-10-12,245
2020-10-19,204
2020-10-26,253
2020-11-02,218
2020-11-09,211
2020-11-16,234
2020-11-23,256
2020-11-30,223
2020-12-07,212
2020-12-14,206
2020-12-21,203
2020-12-28,217
2021-01-04,230
2021-01-11,240
2021-01-18,270
2021-01-25,256
2021-02-01,200
2021-02-08,209
2021-02-15,216
2021-02-22,217
2021-03-08,204
2021-03-15,206
2021-03-22,214
2021-03-29,222
2021-04-05,200
2021-04-12,203
2021-04-19,201
2021-04-26,194
2021-05-03,207
2021-05-10,204
2021-05-17,203
2021-05-24,199
2021-05-31,214
2021-06-07,220
2021-06-14,220
2021-06-21,204
2021-06-28,223
2021-07-05,241
2021-07-12,242
2021-07-19,224
2021-07-26,226
2021-08-02,236
2021-08-09,352
2021-08-16,256
2021-08-23,233
2021-08-30,245
2021-09-06,252
2021-09-13,239
2021-09-20,235
2021-09-27,230
2021-10-04,210
2021-10-11,211
2021-10-18,212
2021-10-25,208
2021-11-01,205
2021-11-08,220
2021-11-15,194
2021-11-22,207
2021-11-29,188
2021-12-06,204
2021-12-13,249
2021-12-20,299
2021-12-27,295
