date,index
2016-08-29,238
2016-09-05,247
2016-09-12,207
2016-09-19,211
2016-09-26,212
2016-10-03,234
2016-10-10,207
2016-10-17,236
2016-10-24,219
2016-10-31,197
2016-11-07,190
2016-11-14,187
2016-11-21,201
2016-11-28,194
2016-12-05,204
2016-12-12,198
2016-12-19,223
2016-12-26,226
2017-01-02,244
2017-01-09,235
2017-01-16,199
2017-01-23,192
2017-01-30,249
2017-02-06,229
2017-02-13,382
2017-02-20,532
2017-03-06,257
2017-03-13,237
2017-03-20,244
2017-03-27,208
2017-04-03,186
2017-04-10,187
2017-04-17,188
2017-04-24,196
2017-05-01,206
2017-05-08,198
2017-05-15,212
2017-05-22,216
2017-05-29,201
2017-06-05,208
2017-06-12,214
2017-06-19,210
2017-06-26,223
2017-07-03,241
2017-07-10,236
2017-07-17,227
2017-07-24,226
2017-07-31,224
2017-08-07,215
2017-08-14,219
2017-08-21,232
2017-08-28,209
2017-09-04,218
2017-09-11,226
2017-09-18,240
2017-09-25,217
2017-10-02,216
2017-10-09,219
2017-10-16,213
2017-10-23,199
2017-10-30,192
2017-11-06,343
2017-11-13,210
2017-11-20,206
2017-11-27,204
2017-12-04,210
2017-12-11,204
2017-12-18,221
2017-12-25,202
2018-01-01,223
2018-01-08,211
2018-01-15,265
2018-01-22,304
2018-01-29,254
2018-02-05,229
2018-02-12,282
2018-02-19,251
2018-03-05,343
2018-03-12,309
2018-03-19,270
2018-03-26,213
2018-04-02,211
2018-04-09,197
2018-04-16,181
2018-04-23,207
2018-04-30,184
2018-05-07,191
2018-05-14,181
2018-05-21,196
2018-05-28,200
2018-06-04,218
2018-06-11,208
2018-06-18,208
2018-06-25,217
2018-07-02,214
2018-07-09,211
2018-07-16,200
2018-07-23,222
2018-07-30,218
2018-08-06,206
2018-08-13,190
2018-08-20,199
2018-08-27,211
2018-09-03,212
2018-09-10,241
2018-09-17,203
2018-09-24,235
2018-10-01,209
2018-10-08,209
2018-10-15,203
2018-10-22,207
2018-10-29,170
2018-11-05,176
2018-11-12,162
2018-11-19,162
2018-11-26,190
2018-12-03,187
2018-12-10,194
2018-12-17,210
2018-12-24,198
2018-12-31,211
2019-01-07,236
2019-01-14,238
2019-01-21,179
2019-01-28,196
2019-02-04,186
2019-02-11,192
2019-02-18,219
2019-03-04,184
2019-03-11,191
2019-03-18,189
2019-03-25,193
2019-04-01,174
2019-04-08,172
2019-04-15,183
2019-04-22,171
2019-04-29,187
2019-05-06,203
2019-05-13,192
2019-05-20,201
2019-05-27,191
2019-06-03,169
2019-06-10,168
2019-06-17,192
2019-06-24,171
2019-07-01,168
2019-07-08,174
2019-07-15,176
2019-07-22,178
2019-07-29,194
2019-08-05,190
2019-08-12,184
2019-08-19,210
2019-08-26,223
2019-09-02,238
2019-09-09,202
2019-09-16,188
2019-09-23,199
2019-09-30,195
2019-10-07,184
2019-10-14,183
2019-10-21,188
2019-10-28,187
2019-11-04,179
2019-11-11,168
2019-11-18,174
2019-11-25,171
2019-12-02,173
2019-12-09,174
2019-12-16,212
2019-12-23,209
2019-12-30,228
2020-01-06,211
2020-01-13,190
2020-01-20,204
2020-01-27,195
2020-02-03,186
2020-02-10,175
2020-02-17,177
2020-03-02,178
2020-03-09,178
2020-03-16,158
2020-03-23,185
2020-03-30,166
2020-04-06,164
2020-04-13,175
2020-04-20,174
