date,index
2016-08-29,542
2016-09-05,578
2016-09-12,487
2016-09-19,484
2016-09-26,462
2016-10-03,534
2016-10-10,457
2016-10-17,440
2016-10-24,450
2016-10-31,405
2016-11-07,400
2016-11-14,411
2016-11-21,494
2016-11-28,488
2016-12-05,428
2016-12-12,471
2016-12-19,550
2016-12-26,610
2017-01-02,702
2017-01-09,604
2017-01-16,468
2017-01-23,469
2017-01-30,656
2017-02-06,580
2017-02-13,667
2017-02-20,939
2017-03-06,588
2017-03-13,535
2017-03-20,511
2017-03-27,477
2017-04-03,426
2017-04-10,441
2017-04-17,431
2017-04-24,438
2017-05-01,425
2017-05-08,413
2017-05-15,421
2017-05-22,475
2017-05-29,411
2017-06-05,390
2017-06-12,419
2017-06-19,468
2017-06-26,512
2017-07-03,536
2017-07-10,520
2017-07-17,514
2017-07-24,484
2017-07-31,488
2017-08-07,500
2017-08-14,492
2017-08-21,493
2017-08-28,519
2017-09-04,558
2017-09-11,553
2017-09-18,576
2017-09-25,452
2017-10-02,488
2017-10-09,476
2017-10-16,465
2017-10-23,477
2017-10-30,438
2017-11-06,918
2017-11-13,506
2017-11-20,487
2017-11-27,481
2017-12-04,496
2017-12-11,473
2017-12-18,505
2017-12-25,501
2018-01-01,541
2018-01-08,552
2018-01-15,705
2018-01-22,733
2018-01-29,550
2018-02-05,456
2018-02-12,676
2018-02-19,521
2018-03-05,705
2018-03-12,654
2018-03-19,597
2018-03-26,510
2018-04-02,502
2018-04-09,486
2018-04-16,453
2018-04-23,446
2018-04-30,465
2018-05-07,479
2018-05-14,436
2018-05-21,457
2018-05-28,469
2018-06-04,526
2018-06-11,431
2018-06-18,443
2018-06-25,475
2018-07-02,495
2018-07-09,476
2018-07-16,479
2018-07-23,536
2018-07-30,516
2018-08-06,489
2018-08-13,466
2018-08-20,471
2018-08-27,477
2018-09-03,487
2018-09-10,558
2018-09-17,458
2018-09-24,478
2018-10-01,471
2018-10-08,468
2018-10-15,470
2018-10-22,481
2018-10-29,402
2018-11-05,413
2018-11-12,411
2018-11-19,395
2018-11-26,511
2018-12-03,510
2018-12-10,498
2018-12-17,557
2018-12-24,489
2018-12-31,509
2019-01-07,597
2019-01-14,631
2019-01-21,385
2019-01-28,480
2019-02-04,483
2019-02-11,462
2019-02-18,455
2019-03-04,415
2019-03-11,396
2019-03-18,413
2019-03-25,405
2019-04-01,391
2019-04-08,398
2019-04-15,386
2019-04-22,390
2019-04-29,395
2019-05-06,389
2019-05-13,372
2019-05-20,403
2019-05-27,411
2019-06-03,390
2019-06-10,412
2019-06-17,486
2019-06-24,421
2019-07-01,418
2019-07-08,401
2019-07-15,423
2019-07-22,427
2019-07-29,441
2019-08-05,418
2019-08-12,417
