date,index
2016-08-29,223
2016-09-05,235
2016-09-12,218
2016-09-19,223
2016-09-26,216
2016-10-03,262
2016-10-10,214
2016-10-17,210
2016-10-24,197
2016-10-31,208
2016-11-07,205
2016-11-14,202
2016-11-21,206
2016-11-28,210
2016-12-05,205
2016-12-12,195
2016-12-19,198
2016-12-26,208
2017-01-02,209
2017-01-09,181
2017-01-16,181
2017-01-23,195
2017-01-30,321
2017-02-06,256
2017-02-13,295
2017-02-20,421
2017-03-06,270
2017-03-13,252
2017-03-20,261
2017-03-27,254
2017-04-03,224
2017-04-10,226
2017-04-17,220
2017-04-24,232
2017-05-01,236
2017-05-08,230
2017-05-15,227
2017-05-22,241
2017-05-29,233
2017-06-05,230
2017-06-12,246
2017-06-19,270
2017-06-26,264
2017-07-03,280
2017-07-10,290
2017-07-17,284
2017-07-24,270
2017-07-31,261
2017-08-07,253
2017-08-14,254
2017-08-21,250
2017-08-28,230
2017-09-04,248
2017-09-11,249
2017-09-18,248
2017-09-25,225
2017-10-02,226
2017-10-09,251
2017-10-16,252
2017-10-23,234
2017-10-30,237
2017-11-06,610
2017-11-13,283
2017-11-20,271
2017-11-27,266
2017-12-04,258
2017-12-11,241
2017-12-18,256
2017-12-25,246
2018-01-01,281
2018-01-08,265
2018-01-15,343
2018-01-22,308
2018-01-29,211
2018-02-05,225
2018-02-12,339
2018-02-19,274
2018-03-05,419
2018-03-12,430
2018-03-19,387
2018-03-26,285
2018-04-02,253
2018-04-09,243
2018-04-16,241
2018-04-23,230
2018-04-30,233
2018-05-07,242
2018-05-14,245
2018-05-21,245
2018-05-28,251
2018-06-04,283
2018-06-11,230
2018-06-18,236
2018-06-25,255
2018-07-02,246
2018-07-09,244
2018-07-16,246
2018-07-23,277
2018-07-30,286
2018-08-06,250
2018-08-13,255
2018-08-20,236
2018-08-27,242
2018-09-03,239
2018-09-10,278
2018-09-17,250
2018-09-24,288
2018-10-01,248
2018-10-08,263
2018-10-15,253
2018-10-22,262
2018-10-29,221
2018-11-05,207
2018-11-12,202
2018-11-19,186
2018-11-26,221
2018-12-03,225
2018-12-10,220
2018-12-17,235
2018-12-24,241
2018-12-31,240
2019-01-07,257
2019-01-14,231
2019-01-21,194
2019-01-28,240
2019-02-04,226
2019-02-11,227
2019-02-18,242
2019-03-04,222
2019-03-11,229
2019-03-18,210
2019-03-25,192
2019-04-01,203
2019-04-08,194
2019-04-15,197
2019-04-22,203
2019-04-29,207
2019-05-06,232
2019-05-13,228
2019-05-20,225
2019-05-27,230
2019-06-03,217
2019-06-10,233
2019-06-17,257
2019-06-24,229
2019-07-01,222
2019-07-08,216
2019-07-15,229
2019-07-22,240
2019-07-29,272
2019-08-05,234
2019-08-12,234
2019-08-19,249
2019-08-26,228
2019-09-02,225
2019-09-09,211
2019-09-16,204
2019-09-23,204
2019-09-30,238
2019-10-07,217
2019-10-14,204
2019-10-21,198
2019-10-28,193
2019-11-04,193
2019-11-11,180
2019-11-18,180
2019-11-25,187
2019-12-02,183
2019-12-09,199
2019-12-16,198
2019-12-23,200
2019-12-30,210
2020-01-06,157
2020-01-13,158
2020-01-20,192
2020-01-27,179
2020-02-03,181
2020-02-10,173
2020-02-17,175
2020-03-02,174
2020-03-09,179
2020-03-16,175
2020-03-23,183
2020-03-30,181
2020-04-06,191
2020-04-13,190
2020-04-20,196
2020-04-27,191
2020-05-04,196
2020-05-11,186
2020-05-18,189
2020-05-25,193
2020-06-01,182
2020-06-08,184
2020-06-15,181
2020-06-22,179
2020-06-29,182
2020-07-06,182
2020-07-13,196
2020-07-20,176
2020-07-27,186
2020-08-03,192
2020-08-10,181
2020-08-17,174
2020-08-24,177
2020-08-31,174
2020-09-07,177
2020-09-14,194
2020-09-21,178
2020-09-28,190
2020-10-05,193
2020-10-12,210
2020-10-19,180
2020-10-26,272
2020-11-02,204
2020-11-09,188
2020-11-16,187
2020-11-23,185
2020-11-30,175
2020-12-07,180
2020-12-14,182
2020-12-21,191
2020-12-28,186
2021-01-04,180
2021-01-11,195
2021-01-18,215
2021-01-25,173
2021-02-01,166
2021-02-08,180
2021-02-15,185
2021-02-22,181
2021-03-08,180
2021-03-15,182
2021-03-22,179
2021-03-29,188
2021-04-05,177
2021-04-12,170
2021-04-19,176
2021-04-26,174
2021-05-03,179
2021-05-10,173
2021-05-17,166
2021-05-24,158
2021-05-31,159
2021-06-07,170
2021-06-14,178
2021-06-21,159
2021-06-28,158
2021-07-05,185
2021-07-12,171
2021-07-19,188
2021-07-26,184
2021-08-02,202
2021-08-09,356
2021-08-16,240
2021-08-23,183
2021-08-30,182
2021-09-06,180
2021-09-13,186
2021-09-20,187
2021-09-27,161
2021-10-04,182
2021-10-11,184
2021-10-18,182
2021-10-25,175
2021-11-01,181
2021-11-08,192
2021-11-15,177
2021-11-22,193
2021-11-29,181
2021-12-06,190
