date,index
2016-08-29,218
2016-09-05,234
2016-09-12,232
2016-09-19,267
2016-09-26,250
2016-10-03,259
2016-10-10,243
2016-10-17,222
2016-10-24,210
2016-10-31,202
2016-11-07,195
2016-11-14,205
2016-11-21,208
2016-11-28,218
2016-12-05,210
2016-12-12,199
2016-12-19,220
2016-12-26,216
2017-01-02,236
2017-01-09,229
2017-01-16,225
2017-01-23,212
2017-01-30,292
2017-02-06,250
2017-02-13,263
2017-02-20,328
2017-03-06,245
2017-03-13,218
2017-03-20,218
2017-03-27,208
2017-04-03,192
2017-04-10,199
2017-04-17,181
2017-04-24,207
2017-05-01,202
2017-05-08,186
2017-05-15,200
2017-05-22,218
2017-05-29,207
2017-06-05,201
2017-06-12,219
2017-06-19,213
2017-06-26,204
2017-07-03,218
2017-07-10,208
2017-07-17,205
2017-07-24,214
2017-07-31,202
2017-08-07,208
2017-08-14,220
2017-08-21,210
2017-08-28,205
2017-09-04,208
2017-09-11,202
2017-09-18,207
2017-09-25,210
2017-10-02,202
2017-10-09,218
2017-10-16,217
2017-10-23,211
2017-10-30,201
2017-11-06,389
2017-11-13,224
2017-11-20,230
2017-11-27,217
2017-12-04,214
2017-12-11,202
2017-12-18,220
2017-12-25,214
2018-01-01,218
2018-01-08,212
2018-01-15,263
2018-01-22,274
2018-01-29,227
2018-02-05,203
2018-02-12,252
2018-02-19,230
2018-03-05,312
2018-03-12,295
2018-03-19,264
2018-03-26,234
2018-04-02,207
2018-04-09,206
2018-04-16,192
2018-04-23,204
2018-04-30,206
2018-05-07,191
2018-05-14,180
2018-05-21,193
2018-05-28,182
2018-06-04,207
2018-06-11,183
2018-06-18,179
2018-06-25,197
2018-07-02,195
2018-07-09,198
2018-07-16,194
2018-07-23,216
2018-07-30,204
2018-08-06,191
2018-08-13,195
2018-08-20,189
2018-08-27,187
2018-09-03,186
2018-09-10,187
2018-09-17,190
2018-09-24,207
2018-10-01,199
2018-10-08,192
2018-10-15,190
2018-10-22,208
2018-10-29,173
2018-11-05,170
2018-11-12,168
2018-11-19,164
2018-11-26,179
2018-12-03,198
2018-12-10,201
2018-12-17,216
2018-12-24,197
2018-12-31,207
2019-01-07,228
2019-01-14,218
2019-01-21,164
2019-01-28,215
2019-02-04,195
2019-02-11,202
2019-02-18,193
2019-03-04,191
2019-03-11,176
2019-03-18,177
2019-03-25,170
2019-04-01,172
2019-04-08,168
2019-04-15,162
2019-04-22,146
2019-04-29,183
2019-05-06,170
2019-05-13,179
2019-05-20,174
2019-05-27,183
2019-06-03,179
2019-06-10,191
2019-06-17,217
2019-06-24,187
2019-07-01,185
2019-07-08,181
2019-07-15,184
2019-07-22,193
2019-07-29,210
2019-08-05,185
2019-08-12,188
2019-08-19,189
2019-08-26,195
2019-09-02,186
2019-09-09,176
2019-09-16,176
2019-09-23,173
2019-09-30,180
2019-10-07,165
2019-10-14,165
2019-10-21,179
2019-10-28,178
2019-11-04,178
2019-11-11,173
2019-11-18,165
2019-11-25,166
2019-12-02,171
2019-12-09,176
2019-12-16,183
2019-12-23,192
2019-12-30,187
2020-01-06,165
2020-01-13,191
2020-01-20,208
2020-01-27,191
2020-02-03,207
2020-02-10,178
2020-02-17,164
2020-03-02,156
2020-03-09,163
2020-03-16,156
2020-03-23,169
2020-03-30,162
2020-04-06,162
2020-04-13,170
2020-04-20,154
2020-04-27,163
2020-05-04,163
2020-05-11,167
2020-05-18,160
2020-05-25,153
2020-06-01,147
2020-06-08,148
2020-06-15,150
2020-06-22,162
2020-06-29,166
2020-07-06,155
2020-07-13,168
2020-07-20,160
2020-07-27,159
2020-08-03,139
2020-08-10,157
2020-08-17,156
2020-08-24,152
2020-08-31,162
2020-09-07,158
2020-09-14,171
2020-09-21,157
2020-09-28,170
2020-10-05,159
2020-10-12,178
2020-10-19,162
2020-10-26,205
2020-11-02,163
2020-11-09,163
2020-11-16,169
