date,index
2016-08-29,106
2016-09-05,92
2016-09-12,95
2016-09-19,111
2016-09-26,109
2016-10-03,71
2016-10-10,102
2016-10-17,113
2016-10-24,75
2016-10-31,69
2016-11-07,84
2016-11-14,104
2016-11-21,100
2016-11-28,85
2016-12-05,102
2016-12-12,84
2016-12-19,104
2016-12-26,120
2017-01-02,116
2017-01-09,97
2017-01-16,91
2017-01-23,103
2017-01-30,85
2017-02-06,102
2017-02-13,104
2017-02-20,86
2017-03-06,103
2017-03-13,107
2017-03-20,85
2017-03-27,84
2017-04-03,93
2017-04-10,95
2017-04-17,92
2017-04-24,113
2017-05-01,76
2017-05-08,93
2017-05-15,113
2017-05-22,85
2017-05-29,93
2017-06-05,95
2017-06-12,117
2017-06-19,93
2017-06-26,104
2017-07-03,105
2017-07-10,122
2017-07-17,113
2017-07-24,108
2017-07-31,122
2017-08-07,116
2017-08-14,124
2017-08-21,115
2017-08-28,103
2017-09-04,102
2017-09-11,118
2017-09-18,114
2017-09-25,118
2017-10-02,116
2017-10-09,109
2017-10-16,115
2017-10-23,116
2017-10-30,95
2017-11-06,97
2017-11-13,105
2017-11-20,106
2017-11-27,115
2017-12-04,115
2017-12-11,90
2017-12-18,112
2017-12-25,124
2018-01-01,120
2018-01-08,121
2018-01-15,108
2018-01-22,139
2018-01-29,107
2018-02-05,107
2018-02-12,114
2018-02-19,99
2018-03-05,113
2018-03-12,120
2018-03-19,102
2018-03-26,107
2018-04-02,108
2018-04-09,95
2018-04-16,105
2018-04-23,112
2018-04-30,94
2018-05-07,94
2018-05-14,126
2018-05-21,113
2018-05-28,104
2018-06-04,123
2018-06-11,97
2018-06-18,113
2018-06-25,107
2018-07-02,119
2018-07-09,109
2018-07-16,106
2018-07-23,127
2018-07-30,112
2018-08-06,125
2018-08-13,99
2018-08-20,118
2018-08-27,119
2018-09-03,130
2018-09-10,126
2018-09-17,121
2018-09-24,92
2018-10-01,115
2018-10-08,117
2018-10-15,107
2018-10-22,116
2018-10-29,123
2018-11-05,112
2018-11-12,127
2018-11-19,108
2018-11-26,123
2018-12-03,124
2018-12-10,122
2018-12-17,121
2018-12-24,121
2018-12-31,131
2019-01-07,131
2019-01-14,128
2019-01-21,98
2019-01-28,127
2019-02-04,126
2019-02-11,130
2019-02-18,123
2019-03-04,118
2019-03-11,118
2019-03-18,129
2019-03-25,120
2019-04-01,120
2019-04-08,139
2019-04-15,150
2019-04-22,128
2019-04-29,126
2019-05-06,121
2019-05-13,134
2019-05-20,132
2019-05-27,135
2019-06-03,120
2019-06-10,119
2019-06-17,124
2019-06-24,118
2019-07-01,130
2019-07-08,124
2019-07-15,118
2019-07-22,105
2019-07-29,115
2019-08-05,127
2019-08-12,126
2019-08-19,144
2019-08-26,110
2019-09-02,120
2019-09-09,126
2019-09-16,120
2019-09-23,107
2019-09-30,105
2019-10-07,107
2019-10-14,117
2019-10-21,81
2019-10-28,103
2019-11-04,105
2019-11-11,117
2019-11-18,113
2019-11-25,124
2019-12-02,129
2019-12-09,113
2019-12-16,110
2019-12-23,111
2019-12-30,134
2020-01-06,123
2020-01-13,115
2020-01-20,146
2020-01-27,124
2020-02-03,115
2020-02-10,122
2020-02-17,123
2020-03-02,113
2020-03-09,108
2020-03-16,120
2020-03-23,127
2020-03-30,117
2020-04-06,133
2020-04-13,133
