date,index
2016-08-29,8
2016-09-05,8
2016-09-12,0
2016-09-19,0
2016-09-26,8
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,8
2016-11-07,0
2016-11-14,25
2016-11-21,0
2016-11-28,8
2016-12-05,8
2016-12-12,0
2016-12-19,8
2016-12-26,0
2017-01-02,0
2017-01-09,8
2017-01-16,8
2017-01-23,0
2017-01-30,0
2017-02-06,8
2017-02-13,16
2017-02-20,0
2017-03-06,0
2017-03-13,0
2017-03-20,8
2017-03-27,8
2017-04-03,0
2017-04-10,0
2017-04-17,0
2017-04-24,8
2017-05-01,0
2017-05-08,0
2017-05-15,0
2017-05-22,0
2017-05-29,0
2017-06-05,0
2017-06-12,16
2017-06-19,0
2017-06-26,8
2017-07-03,0
2017-07-10,0
2017-07-17,0
2017-07-24,8
2017-07-31,8
2017-08-07,0
2017-08-14,0
2017-08-21,8
2017-08-28,0
2017-09-04,8
2017-09-11,0
2017-09-18,24
2017-09-25,16
2017-10-02,0
2017-10-09,0
2017-10-16,8
2017-10-23,0
2017-10-30,0
2017-11-06,8
2017-11-13,16
2017-11-20,0
2017-11-27,8
2017-12-04,0
2017-12-11,0
2017-12-18,17
2017-12-25,8
2018-01-01,0
2018-01-08,0
2018-01-15,0
2018-01-22,8
2018-01-29,0
2018-02-05,8
2018-02-12,0
2018-02-19,0
2018-03-05,0
2018-03-12,0
2018-03-19,16
2018-03-26,8
2018-04-02,0
2018-04-09,0
2018-04-16,8
2018-04-23,8
2018-04-30,0
2018-05-07,8
2018-05-14,0
2018-05-21,24
2018-05-28,0
2018-06-04,8
2018-06-11,16
2018-06-18,8
2018-06-25,8
2018-07-02,0
2018-07-09,8
2018-07-16,16
2018-07-23,24
2018-07-30,17
2018-08-06,0
2018-08-13,16
2018-08-20,0
2018-08-27,8
2018-09-03,41
2018-09-10,8
2018-09-17,0
2018-09-24,16
2018-10-01,0
2018-10-08,8
2018-10-15,8
2018-10-22,8
2018-10-29,8
2018-11-05,8
2018-11-12,0
2018-11-19,16
2018-11-26,8
2018-12-03,8
2018-12-10,8
2018-12-17,33
2018-12-24,8
2018-12-31,16
2019-01-07,0
2019-01-14,0
2019-01-21,0
2019-01-28,0
2019-02-04,0
2019-02-11,8
2019-02-18,8
2019-03-04,0
2019-03-11,0
2019-03-18,8
2019-03-25,0
2019-04-01,16
2019-04-08,0
2019-04-15,0
2019-04-22,0
2019-04-29,0
2019-05-06,0
2019-05-13,0
2019-05-20,16
2019-05-27,0
2019-06-03,8
2019-06-10,132
2019-06-17,16
2019-06-24,17
2019-07-01,17
2019-07-08,25
2019-07-15,25
2019-07-22,8
2019-07-29,0
2019-08-05,8
2019-08-12,8
2019-08-19,26
2019-08-26,25
2019-09-02,49
2019-09-09,8
2019-09-16,8
2019-09-23,25
2019-09-30,16
2019-10-07,25
2019-10-14,0
2019-10-21,8
2019-10-28,0
2019-11-04,8
2019-11-11,8
2019-11-18,8
2019-11-25,34
2019-12-02,17
2019-12-09,16
2019-12-16,16
2019-12-23,25
2019-12-30,8
2020-01-06,8
2020-01-13,8
2020-01-20,50
2020-01-27,16
2020-02-03,8
2020-02-10,8
2020-02-17,0
2020-03-02,16
2020-03-09,16
2020-03-16,0
2020-03-23,8
2020-03-30,25
2020-04-06,9
2020-04-13,24
2020-04-20,8
2020-04-27,33
2020-05-04,25
2020-05-11,41
2020-05-18,24
2020-05-25,16
2020-06-01,42
2020-06-08,59
2020-06-15,16
2020-06-22,33
2020-06-29,51
2020-07-06,91
2020-07-13,69
2020-07-20,94
2020-07-27,57
2020-08-03,66
2020-08-10,68
2020-08-17,110
2020-08-24,101
2020-08-31,77
2020-09-07,96
2020-09-14,109
2020-09-21,50
2020-09-28,42
2020-10-05,58
2020-10-12,67
2020-10-19,51
2020-10-26,79
2020-11-02,87
2020-11-09,95
2020-11-16,106
2020-11-23,107
2020-11-30,142
2020-12-07,164
2020-12-14,132
2020-12-21,125
2020-12-28,117
2021-01-04,90
2021-01-11,93
2021-01-18,98
2021-01-25,93
2021-02-01,98
2021-02-08,84
2021-02-15,68
2021-02-22,68
2021-03-08,77
2021-03-15,60
2021-03-22,50
2021-03-29,50
2021-04-05,52
2021-04-12,68
2021-04-19,77
2021-04-26,67
2021-05-03,25
2021-05-10,33
2021-05-17,50
2021-05-24,58
2021-05-31,68
2021-06-07,67
2021-06-14,51
2021-06-21,33
2021-06-28,33
2021-07-05,69
2021-07-12,58
2021-07-19,66
2021-07-26,43
2021-08-02,58
2021-08-09,59
2021-08-16,86
2021-08-23,85
2021-08-30,80
2021-09-06,84
2021-09-13,85
2021-09-20,54
2021-09-27,104
2021-10-04,61
2021-10-11,67
2021-10-18,86
2021-10-25,87
2021-11-01,80
2021-11-08,93
2021-11-15,85
2021-11-22,50
2021-11-29,50
2021-12-06,112
2021-12-13,95
2021-12-20,66
2021-12-27,58
2022-01-03,92
2022-01-10,50
2022-01-17,45
2022-01-24,83
2022-01-31,66
2022-02-07,58
2022-02-14,74
2022-02-21,75
2022-03-07,43
2022-03-14,69
2022-03-21,34
2022-03-28,75
2022-04-04,75
2022-04-11,77
2022-04-18,93
2022-04-25,60
2022-05-02,102
2022-05-09,71
2022-05-16,68
2022-05-23,70
2022-05-30,76
2022-06-06,59
2022-06-13,42
2022-06-20,63
2022-06-27,81
2022-07-04,69
2022-07-11,51
2022-07-18,68
2022-07-25,58
2022-08-01,93
2022-08-08,111
2022-08-15,75
2022-08-22,60
2022-08-29,84
2022-09-05,121
2022-09-12,86
2022-09-19,80
2022-09-26,81
2022-10-03,76
2022-10-10,77
2022-10-17,85
2022-10-24,67
2022-10-31,84
2022-11-07,97
2022-11-14,70
2022-11-21,58
2022-11-28,17
2022-12-05,67
2022-12-12,66
2022-12-19,67
2022-12-26,95
2023-01-02,78
2023-01-09,71
2023-01-16,88
2023-01-23,77
2023-01-30,95
2023-02-06,69
2023-02-13,61
2023-02-20,84
2023-03-06,69
2023-03-13,69
2023-03-20,61
2023-03-27,85
2023-04-03,77
2023-04-10,75
2023-04-17,50
2023-04-24,43
2023-05-01,68
2023-05-08,61
2023-05-15,83
2023-05-22,67
2023-05-29,58
2023-06-05,94
2023-06-12,68
2023-06-19,61
2023-06-26,93
2023-07-03,53
2023-07-10,79
2023-07-17,68
2023-07-24,70
2023-07-31,85
2023-08-07,89
2023-08-14,68
2023-08-21,79
2023-08-28,51
2023-09-04,70
2023-09-11,77
2023-09-18,60
2023-09-25,69
2023-10-02,66
2023-10-09,75
2023-10-16,50
2023-10-23,85
2023-10-30,84
2023-11-06,75
2023-11-13,67
2023-11-20,69
2023-11-27,61
2023-12-04,51
2023-12-11,93
2023-12-18,60
2023-12-25,94
2024-01-01,51
2024-01-08,85
2024-01-15,68
2024-01-22,69
2024-01-29,59
2024-02-05,98
2024-02-12,149
2024-02-19,96
2024-03-04,71
2024-03-11,84
2024-03-18,74
2024-03-25,59
2024-04-01,68
2024-04-08,58
2024-04-15,43
2024-04-22,67
2024-04-29,83
2024-05-06,41
2024-05-13,42
2024-05-20,51
2024-05-27,60
2024-06-03,58
2024-06-10,59
2024-06-17,74
2024-06-24,49
2024-07-01,50
2024-07-08,76
2024-07-15,50
2024-07-22,58
2024-07-29,75
2024-08-05,59
2024-08-12,77
2024-08-19,99
2024-08-26,93
2024-09-02,91
2024-09-09,84
2024-09-16,83
2024-09-23,50
2024-09-30,76
2024-10-07,75
2024-10-14,70
2024-10-21,58
2024-10-28,74
2024-11-04,74
2024-11-11,59
2024-11-18,71
2024-11-25,85
2024-12-02,84
2024-12-09,76
2024-12-16,75
2024-12-23,59
2024-12-30,67
2025-01-06,86
2025-01-13,61
2025-01-20,83
2025-01-27,59
2025-02-03,69
2025-02-10,101
2025-02-17,77
2025-03-03,42
2025-03-10,66
2025-03-17,76
2025-03-24,75
2025-03-31,52
2025-04-07,67
2025-04-14,16
2025-04-21,58
2025-04-28,58
2025-05-05,41
2025-05-12,66
2025-05-19,50
2025-05-26,91
2025-06-02,33
2025-06-09,53
2025-06-16,58
2025-06-23,33
2025-06-30,66
2025-07-07,76
2025-07-14,58
2025-07-21,41
2025-07-28,25
2025-08-04,49
2025-08-11,41
