date,index
2016-08-29,58
2016-09-05,66
2016-09-12,41
2016-09-19,49
2016-09-26,41
2016-10-03,60
2016-10-10,76
2016-10-17,66
2016-10-24,41
2016-10-31,33
2016-11-07,25
2016-11-14,33
2016-11-21,66
2016-11-28,74
2016-12-05,33
2016-12-12,57
2016-12-19,49
2016-12-26,41
2017-01-02,66
2017-01-09,41
2017-01-16,41
2017-01-23,58
2017-01-30,33
2017-02-06,50
2017-02-13,50
2017-02-20,49
2017-03-06,58
2017-03-13,49
2017-03-20,66
2017-03-27,51
2017-04-03,33
2017-04-10,58
2017-04-17,33
2017-04-24,49
2017-05-01,75
2017-05-08,33
2017-05-15,50
2017-05-22,33
2017-05-29,42
2017-06-05,41
2017-06-12,58
2017-06-19,83
2017-06-26,41
2017-07-03,52
2017-07-10,67
2017-07-17,41
2017-07-24,84
2017-07-31,33
2017-08-07,50
2017-08-14,50
2017-08-21,66
2017-08-28,35
2017-09-04,33
2017-09-11,90
2017-09-18,93
2017-09-25,67
2017-10-02,68
2017-10-09,66
2017-10-16,68
2017-10-23,58
2017-10-30,41
2017-11-06,50
2017-11-13,42
2017-11-20,25
2017-11-27,25
2017-12-04,41
2017-12-11,25
2017-12-18,50
2017-12-25,41
2018-01-01,74
2018-01-08,82
2018-01-15,59
2018-01-22,75
2018-01-29,33
2018-02-05,41
2018-02-12,50
2018-02-19,49
2018-03-05,75
2018-03-12,67
2018-03-19,59
2018-03-26,34
2018-04-02,51
2018-04-09,50
2018-04-16,33
2018-04-23,67
2018-04-30,76
2018-05-07,66
2018-05-14,49
2018-05-21,74
2018-05-28,58
2018-06-04,58
2018-06-11,84
2018-06-18,51
2018-06-25,82
2018-07-02,50
2018-07-09,83
2018-07-16,76
2018-07-23,58
2018-07-30,66
2018-08-06,75
2018-08-13,57
2018-08-20,67
2018-08-27,59
2018-09-03,83
2018-09-10,68
2018-09-17,59
2018-09-24,77
2018-10-01,77
2018-10-08,84
2018-10-15,51
2018-10-22,34
2018-10-29,86
2018-11-05,92
2018-11-12,78
2018-11-19,67
2018-11-26,75
2018-12-03,67
2018-12-10,77
2018-12-17,77
2018-12-24,112
2018-12-31,88
2019-01-07,86
2019-01-14,86
2019-01-21,50
2019-01-28,76
2019-02-04,93
2019-02-11,84
2019-02-18,94
2019-03-04,84
2019-03-11,68
2019-03-18,75
2019-03-25,58
2019-04-01,87
2019-04-08,92
2019-04-15,86
2019-04-22,84
2019-04-29,84
2019-05-06,67
2019-05-13,84
2019-05-20,77
2019-05-27,83
2019-06-03,76
2019-06-10,105
2019-06-17,76
2019-06-24,69
2019-07-01,85
2019-07-08,84
2019-07-15,76
2019-07-22,76
2019-07-29,61
2019-08-05,101
2019-08-12,93
2019-08-19,98
2019-08-26,93
2019-09-02,69
2019-09-09,77
2019-09-16,84
2019-09-23,58
2019-09-30,50
2019-10-07,91
2019-10-14,83
2019-10-21,66
2019-10-28,92
2019-11-04,83
2019-11-11,92
2019-11-18,74
2019-11-25,92
2019-12-02,102
2019-12-09,68
2019-12-16,93
2019-12-23,85
2019-12-30,85
2020-01-06,60
2020-01-13,83
2020-01-20,91
2020-01-27,111
2020-02-03,94
2020-02-10,101
2020-02-17,82
2020-03-02,102
2020-03-09,67
2020-03-16,76
2020-03-23,77
2020-03-30,67
2020-04-06,68
2020-04-13,59
2020-04-20,87
2020-04-27,78
2020-05-04,103
2020-05-11,74
2020-05-18,100
2020-05-25,84
2020-06-01,96
2020-06-08,67
2020-06-15,103
2020-06-22,85
2020-06-29,104
2020-07-06,92
2020-07-13,124
2020-07-20,100
2020-07-27,105
2020-08-03,123
2020-08-10,88
2020-08-17,116
2020-08-24,112
2020-08-31,117
2020-09-07,109
2020-09-14,96
2020-09-21,61
2020-09-28,51
2020-10-05,111
2020-10-12,100
2020-10-19,52
2020-10-26,67
2020-11-02,92
2020-11-09,67
2020-11-16,83
2020-11-23,115
2020-11-30,94
2020-12-07,103
2020-12-14,94
2020-12-21,110
2020-12-28,88
2021-01-04,85
2021-01-11,94
2021-01-18,78
2021-01-25,88
2021-02-01,104
2021-02-08,102
2021-02-15,107
2021-02-22,111
2021-03-08,93
2021-03-15,113
2021-03-22,86
2021-03-29,104
2021-04-05,111
2021-04-12,115
2021-04-19,107
2021-04-26,98
2021-05-03,105
2021-05-10,126
2021-05-17,120
2021-05-24,104
2021-05-31,103
2021-06-07,113
2021-06-14,112
2021-06-21,90
2021-06-28,104
2021-07-05,129
2021-07-12,142
2021-07-19,115
2021-07-26,107
2021-08-02,121
