date,index
2016-08-29,0
2016-09-05,0
2016-09-12,24
2016-09-19,16
2016-09-26,0
2016-10-03,8
2016-10-10,17
2016-10-17,8
2016-10-24,0
2016-10-31,8
2016-11-07,8
2016-11-14,8
2016-11-21,0
2016-11-28,8
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,8
2017-01-02,16
2017-01-09,8
2017-01-16,0
2017-01-23,8
2017-01-30,16
2017-02-06,33
2017-02-13,16
2017-02-20,0
2017-03-06,8
2017-03-13,8
2017-03-20,24
2017-03-27,16
2017-04-03,33
2017-04-10,16
2017-04-17,16
2017-04-24,0
2017-05-01,8
2017-05-08,16
2017-05-15,33
2017-05-22,8
2017-05-29,8
2017-06-05,16
2017-06-12,8
2017-06-19,24
2017-06-26,66
2017-07-03,50
2017-07-10,108
2017-07-17,102
2017-07-24,76
2017-07-31,110
2017-08-07,124
2017-08-14,184
2017-08-21,155
2017-08-28,130
2017-09-04,126
2017-09-11,112
2017-09-18,100
2017-09-25,91
2017-10-02,93
2017-10-09,91
2017-10-16,104
2017-10-23,59
2017-10-30,58
2017-11-06,43
2017-11-13,84
2017-11-20,67
2017-11-27,68
2017-12-04,68
2017-12-11,51
2017-12-18,73
2017-12-25,84
2018-01-01,43
2018-01-08,25
2018-01-15,82
2018-01-22,58
2018-01-29,43
2018-02-05,52
2018-02-12,51
2018-02-19,84
2018-03-05,86
2018-03-12,49
2018-03-19,102
2018-03-26,67
2018-04-02,42
2018-04-09,58
2018-04-16,76
2018-04-23,76
2018-04-30,94
2018-05-07,83
2018-05-14,58
2018-05-21,68
2018-05-28,59
2018-06-04,58
2018-06-11,59
2018-06-18,60
2018-06-25,87
2018-07-02,78
2018-07-09,85
2018-07-16,86
2018-07-23,69
2018-07-30,84
2018-08-06,79
2018-08-13,77
2018-08-20,80
2018-08-27,84
2018-09-03,53
2018-09-10,75
2018-09-17,49
2018-09-24,69
2018-10-01,62
2018-10-08,49
2018-10-15,77
2018-10-22,69
2018-10-29,86
2018-11-05,50
2018-11-12,59
2018-11-19,34
2018-11-26,76
2018-12-03,85
2018-12-10,42
2018-12-17,44
2018-12-24,76
2018-12-31,44
2019-01-07,85
2019-01-14,43
2019-01-21,67
2019-01-28,67
2019-02-04,75
2019-02-11,49
2019-02-18,59
2019-03-04,67
2019-03-11,60
2019-03-18,69
2019-03-25,50
2019-04-01,59
2019-04-08,83
2019-04-15,41
2019-04-22,59
2019-04-29,59
2019-05-06,84
2019-05-13,61
2019-05-20,77
2019-05-27,59
2019-06-03,67
2019-06-10,68
2019-06-17,94
2019-06-24,66
2019-07-01,75
2019-07-08,59
2019-07-15,58
2019-07-22,65
2019-07-29,82
2019-08-05,69
2019-08-12,58
2019-08-19,77
2019-08-26,77
2019-09-02,92
2019-09-09,83
2019-09-16,58
2019-09-23,76
2019-09-30,51
2019-10-07,59
2019-10-14,83
2019-10-21,50
2019-10-28,74
2019-11-04,75
2019-11-11,66
2019-11-18,83
2019-11-25,74
2019-12-02,67
2019-12-09,66
2019-12-16,58
2019-12-23,74
2019-12-30,75
2020-01-06,25
2020-01-13,25
2020-01-20,86
2020-01-27,58
2020-02-03,85
2020-02-10,69
2020-02-17,59
2020-03-02,75
2020-03-09,84
2020-03-16,75
2020-03-23,76
2020-03-30,67
2020-04-06,92
2020-04-13,77
2020-04-20,60
2020-04-27,96
2020-05-04,83
2020-05-11,59
2020-05-18,66
2020-05-25,49
2020-06-01,102
2020-06-08,87
2020-06-15,69
2020-06-22,83
2020-06-29,111
2020-07-06,112
2020-07-13,144
2020-07-20,141
2020-07-27,101
