date,index
2016-08-29,542
2016-09-05,578
2016-09-12,487
2016-09-19,484
2016-09-26,462
2016-10-03,534
2016-10-10,457
2016-10-17,440
2016-10-24,450
2016-10-31,405
2016-11-14,92
2016-11-21,98
2016-11-28,85
2016-12-05,95
2016-12-12,92
2016-12-19,96
2016-12-26,86
2017-01-02,103
2017-01-09,96
2017-01-16,67
2017-01-23,67
2017-01-30,93
2017-02-06,76
2017-02-13,85
2017-02-20,101
2017-03-06,93
2017-03-13,100
2017-03-20,76
2017-03-27,93
2017-04-03,95
2017-04-10,94
2017-04-17,68
2017-04-24,86
2017-05-01,112
2017-05-08,78
2017-05-15,101
2017-05-22,85
2017-05-29,67
2017-06-05,59
2017-06-12,75
2017-06-19,67
2017-06-26,77
2017-07-03,119
2017-07-10,101
2017-07-24,105
2017-07-31,114
2017-08-07,105
2017-08-14,105
2017-08-21,86
2017-08-28,116
2017-09-04,121
2017-09-11,95
2017-09-18,121
2017-09-25,101
2017-10-02,122
2017-10-09,109
2017-10-16,121
2017-10-23,106
2017-10-30,104
2017-11-06,104
2017-11-13,85
2017-11-20,112
2017-11-27,103
2017-12-04,105
2017-12-11,118
2017-12-18,93
2017-12-25,133
2018-01-01,125
2018-01-08,107
2018-01-15,87
2018-01-22,113
2018-01-29,94
2018-02-05,93
2018-02-12,112
2018-02-19,105
2018-03-05,117
2018-03-12,94
2018-03-19,116
2018-03-26,99
2018-04-02,121
2018-04-09,95
2018-04-16,104
2018-04-23,106
2018-04-30,85
2018-05-07,113
2018-05-14,112
2018-05-21,105
2018-05-28,109
2018-06-04,98
2018-06-11,111
2018-06-18,86
2018-06-25,127
2018-07-02,87
2018-07-09,111
2018-07-16,93
2018-07-23,125
2018-07-30,118
2018-08-06,113
2018-08-13,120
2018-08-20,124
2018-08-27,115
2018-09-03,115
2018-09-10,114
2018-09-17,114
2018-09-24,106
2018-10-01,120
2018-10-08,100
2018-10-15,116
2018-10-22,122
2018-10-29,94
2018-11-05,126
2018-11-12,113
2018-11-19,99
2018-11-26,123
2018-12-03,126
2018-12-10,123
2018-12-17,113
2018-12-24,126
2018-12-31,129
2019-01-07,123
2019-01-14,130
2019-01-21,89
2019-01-28,98
2019-02-04,106
2019-02-11,115
2019-02-18,96
2019-03-04,116
2019-03-11,116
2019-03-18,104
2019-03-25,123
2019-04-01,127
2019-04-08,129
2019-04-15,122
2019-04-22,122
2019-04-29,113
2019-05-06,130
2019-05-13,128
2019-05-20,135
2019-05-27,134
2019-06-03,140
2019-06-10,150
2019-06-17,155
2019-06-24,153
2019-07-01,139
2019-07-08,131
2019-07-15,128
2019-07-22,131
2019-07-29,122
2019-08-05,130
2019-08-12,127
2019-08-19,165
2019-08-26,141
