date,index
2016-08-29,84
2016-09-05,67
2016-09-12,60
2016-09-19,66
2016-09-26,57
2016-10-03,91
2016-10-10,66
2016-10-17,74
2016-10-24,67
2016-10-31,67
2016-11-07,74
2016-11-14,58
2016-11-21,57
2016-11-28,91
2016-12-05,41
2016-12-12,34
2016-12-19,58
2016-12-26,74
2017-01-02,75
2017-01-09,42
2017-01-16,25
2017-01-23,75
2017-01-30,41
2017-02-06,49
2017-02-13,43
2017-02-20,83
2017-03-06,67
2017-03-13,67
2017-03-20,59
2017-03-27,90
2017-04-03,90
2017-04-10,58
2017-04-17,76
2017-04-24,68
2017-05-01,93
2017-05-08,69
2017-05-15,58
2017-05-22,85
2017-05-29,101
2017-06-05,59
2017-06-12,104
2017-06-19,100
2017-06-26,103
2017-07-03,95
2017-07-10,109
2017-07-17,133
2017-07-24,120
2017-07-31,116
2017-08-07,123
2017-08-14,103
2017-08-21,122
2017-08-28,120
2017-09-04,110
2017-09-11,103
2017-09-18,111
2017-09-25,87
2017-10-02,84
2017-10-09,85
2017-10-16,104
2017-10-23,113
2017-10-30,92
2017-11-06,86
2017-11-13,78
2017-11-20,103
2017-11-27,77
2017-12-04,105
2017-12-11,102
2017-12-18,86
2017-12-25,119
2018-01-01,79
2018-01-08,112
2018-01-15,103
2018-01-22,116
2018-01-29,67
2018-02-05,66
2018-02-12,84
2018-02-19,88
2018-03-05,112
2018-03-12,101
2018-03-19,69
2018-03-26,87
2018-04-02,102
2018-04-09,111
2018-04-16,76
2018-04-23,77
2018-04-30,85
2018-05-07,109
2018-05-14,103
2018-05-21,109
2018-05-28,110
2018-06-04,102
2018-06-11,102
2018-06-18,110
2018-06-25,94
2018-07-02,114
2018-07-09,81
2018-07-16,96
2018-07-23,114
2018-07-30,113
2018-08-06,88
2018-08-13,95
2018-08-20,117
2018-08-27,104
2018-09-03,104
2018-09-10,108
2018-09-17,97
2018-09-24,92
2018-10-01,103
2018-10-08,107
2018-10-15,86
2018-10-22,106
2018-10-29,100
2018-11-05,112
2018-11-12,96
2018-11-19,99
2018-11-26,112
2018-12-03,113
2018-12-10,126
2018-12-17,78
2018-12-24,107
2018-12-31,120
2019-01-07,129
2019-01-14,117
2019-01-21,94
2019-01-28,101
2019-02-04,106
2019-02-11,101
2019-02-18,119
2019-03-04,107
2019-03-11,122
2019-03-18,104
2019-03-25,82
2019-04-01,117
2019-04-08,108
2019-04-15,105
2019-04-22,91
2019-04-29,96
2019-05-06,110
2019-05-13,96
2019-05-20,116
2019-05-27,111
2019-06-03,111
2019-06-10,114
2019-06-17,107
2019-06-24,106
2019-07-01,126
2019-07-08,115
2019-07-15,126
2019-07-22,122
2019-07-29,112
2019-08-05,115
2019-08-12,118
2019-08-19,123
2019-08-26,99
2019-09-02,106
2019-09-09,124
2019-09-16,125
2019-09-23,103
2019-09-30,113
2019-10-07,97
2019-10-14,115
2019-10-21,104
2019-10-28,115
2019-11-04,103
2019-11-11,103
2019-11-18,102
2019-11-25,106
2019-12-02,97
2019-12-09,88
2019-12-16,98
2019-12-23,115
2019-12-30,121
2020-01-06,97
2020-01-13,94
2020-01-20,117
2020-01-27,119
2020-02-03,128
2020-02-10,117
2020-02-17,108
2020-03-02,112
2020-03-09,114
2020-03-16,87
2020-03-23,73
2020-03-30,105
2020-04-06,125
2020-04-13,104
2020-04-20,115
2020-04-27,101
2020-05-04,99
2020-05-11,126
2020-05-18,116
2020-05-25,110
2020-06-01,126
2020-06-08,112
2020-06-15,104
2020-06-22,108
2020-06-29,143
2020-07-06,129
2020-07-13,179
2020-07-20,143
2020-07-27,134
2020-08-03,153
2020-08-10,127
2020-08-17,139
2020-08-24,132
2020-08-31,131
2020-09-07,146
2020-09-14,144
2020-09-21,100
2020-09-28,90
2020-10-05,119
2020-10-12,117
2020-10-19,105
2020-10-26,110
2020-11-02,113
2020-11-09,121
2020-11-16,113
2020-11-23,122
2020-11-30,127
2020-12-07,134
2020-12-14,125
2020-12-21,126
2020-12-28,115
2021-01-04,127
2021-01-11,123
2021-01-18,119
2021-01-25,132
2021-02-01,89
2021-02-08,106
2021-02-15,122
2021-02-22,95
2021-03-08,126
2021-03-15,94
2021-03-22,86
2021-03-29,97
2021-04-05,115
2021-04-12,125
2021-04-19,117
2021-04-26,114
2021-05-03,96
2021-05-10,107
2021-05-17,98
2021-05-24,88
2021-05-31,113
2021-06-07,103
2021-06-14,92
2021-06-21,105
2021-06-28,77
2021-07-05,103
2021-07-12,116
2021-07-19,111
2021-07-26,118
2021-08-02,105
2021-08-09,122
2021-08-16,127
2021-08-23,114
2021-08-30,118
2021-09-06,120
2021-09-13,130
2021-09-20,114
2021-09-27,130
2021-10-04,115
2021-10-11,120
2021-10-18,130
2021-10-25,136
2021-11-01,121
2021-11-08,132
2021-11-15,110
2021-11-22,129
2021-11-29,120
2021-12-06,131
2021-12-13,110
2021-12-20,113
2021-12-27,105
2022-01-03,108
2022-01-10,115
2022-01-17,67
2022-01-24,115
2022-01-31,84
2022-02-07,74
2022-02-14,102
2022-02-21,95
2022-03-07,86
2022-03-14,94
2022-03-21,116
2022-03-28,118
2022-04-04,101
2022-04-11,102
2022-04-18,110
2022-04-25,106
2022-05-02,112
2022-05-09,80
2022-05-16,107
2022-05-23,116
2022-05-30,102
2022-06-06,103
2022-06-13,101
2022-06-20,104
2022-06-27,109
2022-07-04,103
2022-07-11,112
2022-07-18,102
2022-07-25,96
2022-08-01,111
2022-08-08,104
2022-08-15,113
2022-08-22,111
2022-08-29,111
2022-09-05,105
2022-09-12,101
2022-09-19,98
2022-09-26,89
2022-10-03,115
2022-10-10,103
2022-10-17,116
2022-10-24,96
2022-10-31,102
2022-11-07,110
2022-11-14,85
2022-11-21,105
2022-11-28,107
2022-12-05,121
2022-12-12,87
2022-12-19,106
2022-12-26,130
2023-01-02,97
2023-01-09,105
2023-01-16,115
2023-01-23,106
2023-01-30,128
2023-02-06,125
2023-02-13,115
2023-02-20,129
2023-03-06,124
2023-03-13,115
2023-03-20,97
2023-03-27,115
2023-04-03,125
2023-04-10,114
2023-04-17,104
2023-04-24,104
2023-05-01,98
2023-05-08,122
2023-05-15,99
2023-05-22,96
2023-05-29,115
2023-06-05,120
2023-06-12,116
2023-06-19,145
2023-06-26,118
2023-07-03,129
2023-07-10,130
2023-07-17,118
2023-07-24,120
2023-07-31,122
2023-08-07,131
2023-08-14,119
2023-08-21,118
2023-08-28,129
2023-09-04,120
2023-09-11,110
2023-09-18,80
2023-09-25,81
2023-10-02,108
2023-10-09,114
2023-10-16,115
2023-10-23,98
2023-10-30,86
2023-11-06,114
2023-11-13,105
2023-11-20,125
2023-11-27,115
2023-12-04,122
2023-12-11,126
2023-12-18,124
2023-12-25,129
2024-01-01,111
2024-01-08,127
2024-01-15,125
2024-01-22,89
2024-01-29,75
2024-02-05,148
2024-02-12,193
2024-02-19,130
2024-03-04,122
2024-03-11,94
2024-03-18,96
2024-03-25,87
2024-04-01,98
2024-04-08,111
2024-04-15,111
2024-04-22,80
2024-04-29,124
2024-05-06,97
2024-05-13,112
2024-05-20,77
2024-05-27,116
2024-06-03,94
2024-06-10,105
2024-06-17,111
2024-06-24,112
2024-07-01,106
2024-07-08,111
2024-07-15,106
2024-07-22,112
2024-07-29,116
2024-08-05,113
2024-08-12,124
2024-08-19,106
2024-08-26,110
2024-09-02,119
2024-09-09,111
2024-09-16,123
2024-09-23,106
2024-09-30,113
2024-10-07,122
2024-10-14,116
2024-10-21,113
2024-10-28,97
2024-11-04,100
2024-11-11,124
2024-11-18,103
2024-11-25,87
2024-12-02,120
2024-12-09,102
2024-12-16,104
2024-12-23,107
2024-12-30,108
2025-01-06,107
2025-01-13,67
2025-01-20,112
2025-01-27,93
2025-02-03,86
2025-02-10,111
2025-02-17,94
2025-03-03,103
2025-03-10,87
2025-03-17,84
2025-03-24,96
2025-03-31,93
2025-04-07,102
2025-04-14,93
2025-04-21,75
2025-04-28,112
2025-05-05,102
2025-05-12,103
2025-05-19,86
2025-05-26,75
2025-06-02,84
2025-06-09,76
2025-06-16,84
2025-06-23,66
2025-06-30,93
2025-07-07,77
2025-07-14,85
2025-07-21,75
2025-07-28,93
2025-08-04,66
2025-08-11,84
