date,index
2016-08-29,25
2016-09-05,41
2016-09-12,43
2016-09-19,65
2016-09-26,42
2016-10-03,33
2016-10-10,17
2016-10-17,25
2016-10-24,41
2016-10-31,16
2016-11-07,16
2016-11-14,41
2016-11-21,24
2016-11-28,25
2016-12-05,16
2016-12-12,8
2016-12-19,8
2016-12-26,8
2017-01-02,16
2017-01-09,24
2017-01-16,41
2017-01-23,33
2017-01-30,17
2017-02-06,33
2017-02-13,33
2017-02-20,25
2017-03-06,53
2017-03-13,70
2017-03-20,52
2017-03-27,61
2017-04-03,85
2017-04-10,115
2017-04-17,116
2017-04-24,108
2017-05-01,113
2017-05-08,124
2017-05-15,127
2017-05-22,118
2017-05-29,122
2017-06-05,123
2017-06-12,89
2017-06-19,63
2017-06-26,71
2017-07-03,73
2017-07-10,82
2017-07-17,77
2017-07-24,34
2017-07-31,43
2017-08-07,68
2017-08-14,58
2017-08-21,49
2017-08-28,58
2017-09-04,65
2017-09-11,25
2017-09-18,58
2017-09-25,49
2017-10-02,42
2017-10-09,50
2017-10-16,66
2017-10-23,66
2017-10-30,76
2017-11-06,49
2017-11-13,58
2017-11-20,41
2017-11-27,16
2017-12-04,33
2017-12-11,73
2017-12-18,42
2017-12-25,57
2018-01-01,75
2018-01-08,49
2018-01-15,66
2018-01-22,34
2018-01-29,8
2018-02-05,49
2018-02-12,58
2018-02-19,33
2018-03-05,26
2018-03-12,33
2018-03-19,24
2018-03-26,41
2018-04-02,16
2018-04-09,17
2018-04-16,33
2018-04-23,58
2018-04-30,25
2018-05-07,41
2018-05-14,25
2018-05-21,16
2018-05-28,33
2018-06-04,25
2018-06-11,33
2018-06-18,33
2018-06-25,33
2018-07-02,33
2018-07-09,34
2018-07-16,34
2018-07-23,66
2018-07-30,25
2018-08-06,58
2018-08-13,34
2018-08-20,50
2018-08-27,25
2018-09-03,41
2018-09-10,33
2018-09-17,34
2018-09-24,41
2018-10-01,43
2018-10-08,49
2018-10-15,25
2018-10-22,33
2018-10-29,41
2018-11-05,49
2018-11-12,16
2018-11-19,25
2018-11-26,16
2018-12-03,41
2018-12-10,41
2018-12-17,50
2018-12-24,76
2018-12-31,67
2019-01-07,67
2019-01-14,75
2019-01-21,41
2019-01-28,41
2019-02-04,42
2019-02-11,33
2019-02-18,50
2019-03-04,25
2019-03-11,41
2019-03-18,34
2019-03-25,17
2019-04-01,33
2019-04-08,33
2019-04-15,74
2019-04-22,41
2019-04-29,58
2019-05-06,57
2019-05-13,33
2019-05-20,58
2019-05-27,26
2019-06-03,25
2019-06-10,42
2019-06-17,58
2019-06-24,51
2019-07-01,41
2019-07-08,25
2019-07-15,42
2019-07-22,33
2019-07-29,41
2019-08-05,33
2019-08-12,25
2019-08-19,58
2019-08-26,25
2019-09-02,58
2019-09-09,49
2019-09-16,49
2019-09-23,49
2019-09-30,33
2019-10-07,33
2019-10-14,74
2019-10-21,66
2019-10-28,41
2019-11-04,74
2019-11-11,41
2019-11-18,50
2019-11-25,51
2019-12-02,41
2019-12-09,41
2019-12-16,41
2019-12-23,66
2019-12-30,66
2020-01-06,41
2020-01-13,25
2020-01-20,77
2020-01-27,50
2020-02-03,50
2020-02-10,50
2020-02-17,67
2020-03-02,41
2020-03-09,33
2020-03-16,58
2020-03-23,67
2020-03-30,76
2020-04-06,67
2020-04-13,41
2020-04-20,50
2020-04-27,51
2020-05-04,76
2020-05-11,41
2020-05-18,17
2020-05-25,49
2020-06-01,58
2020-06-08,41
2020-06-15,43
2020-06-22,60
2020-06-29,60
2020-07-06,93
2020-07-13,106
2020-07-20,113
2020-07-27,68
2020-08-03,95
2020-08-10,62
2020-08-17,70
2020-08-24,83
2020-08-31,53
2020-09-07,78
2020-09-14,102
2020-09-21,84
2020-09-28,75
2020-10-05,58
2020-10-12,59
2020-10-19,58
2020-10-26,58
2020-11-02,58
2020-11-09,25
2020-11-16,17
2020-11-23,85
2020-11-30,59
2020-12-07,49
2020-12-14,84
2020-12-21,92
2020-12-28,66
2021-01-04,58
2021-01-11,82
2021-01-18,67
2021-01-25,51
2021-02-01,41
2021-02-08,58
2021-02-15,34
2021-02-22,75
2021-03-08,42
2021-03-15,42
2021-03-22,50
2021-03-29,67
2021-04-05,58
2021-04-12,59
2021-04-19,85
2021-04-26,84
2021-05-03,92
2021-05-10,77
2021-05-17,92
2021-05-24,75
2021-05-31,83
2021-06-07,60
2021-06-14,76
2021-06-21,85
2021-06-28,67
2021-07-05,85
2021-07-12,59
2021-07-19,77
2021-07-26,67
2021-08-02,84
2021-08-09,86
2021-08-16,102
2021-08-23,102
2021-08-30,89
2021-09-06,94
2021-09-13,97
2021-09-20,97
2021-09-27,115
2021-10-04,132
2021-10-11,111
2021-10-18,93
2021-10-25,110
2021-11-01,101
2021-11-08,106
2021-11-15,104
2021-11-22,89
2021-11-29,96
