date,index
2015-12-28,110
2016-01-04,112
2016-01-11,103
2016-01-18,113
2016-01-25,69
2016-02-01,17
2016-02-08,75
2016-02-15,85
2016-02-22,76
2016-02-29,83
2016-03-07,68
2016-03-14,76
2016-03-28,59
2016-04-04,79
2016-04-11,85
2016-04-18,43
2016-04-25,75
2016-05-02,66
2016-05-09,51
2016-05-16,75
2016-05-23,74
2016-05-30,51
2016-06-06,83
2016-06-13,75
2016-06-20,67
2016-06-27,59
2016-07-04,66
2016-07-11,42
2016-07-18,68
2016-07-25,82
2016-08-01,74
2016-08-08,66
2016-08-15,75
2016-08-22,86
2016-08-29,93
2016-09-05,50
2016-09-12,83
2016-09-19,68
2016-09-26,77
2016-10-03,83
2016-10-10,93
2016-10-17,105
2016-10-24,112
2016-10-31,89
2016-11-07,102
2016-11-14,117
2016-11-21,94
2016-11-28,106
2016-12-05,98
2016-12-12,97
2016-12-19,95
2016-12-26,67
2017-01-02,88
2017-01-09,92
2017-01-16,58
2017-01-23,60
2017-01-30,76
2017-02-06,91
2017-02-13,65
2017-02-20,41
2017-02-27,59
2017-03-06,59
2017-03-13,33
2017-03-20,42
2017-03-27,42
2017-04-03,67
2017-04-10,43
2017-04-17,58
2017-04-24,92
2017-05-01,69
2017-05-08,58
2017-05-15,41
2017-05-22,91
2017-05-29,74
2017-06-05,68
2017-06-12,75
2017-06-19,50
2017-06-26,67
2017-07-03,59
2017-07-10,42
2017-07-17,43
2017-07-24,67
2017-07-31,67
2017-08-07,67
2017-08-14,68
2017-08-21,60
2017-08-28,66
2017-09-04,101
2017-09-11,95
2017-09-18,60
2017-09-25,50
2017-10-02,96
2017-10-09,111
2017-10-16,77
2017-10-23,107
2017-10-30,114
2017-11-06,103
2017-11-13,104
2017-11-20,104
2017-11-27,97
2017-12-04,119
2017-12-11,93
2017-12-18,99
2017-12-25,91
2018-01-01,85
2018-01-08,92
2018-01-15,124
2018-01-22,94
2018-01-29,94
2018-02-05,24
2018-02-12,75
2018-02-19,67
2018-02-26,92
2018-03-05,59
2018-03-12,68
2018-03-19,59
2018-03-26,102
2018-04-02,59
2018-04-09,85
2018-04-16,94
2018-04-23,75
2018-04-30,84
2018-05-07,108
2018-05-14,59
2018-05-21,58
2018-05-28,111
2018-06-04,69
2018-06-11,58
2018-06-18,67
2018-06-25,58
2018-07-02,75
2018-07-09,58
2018-07-16,68
2018-07-23,83
2018-07-30,57
2018-08-06,42
2018-08-13,74
2018-08-20,66
2018-08-27,84
2018-09-03,77
2018-09-10,51
2018-09-17,69
2018-09-24,75
2018-10-01,104
2018-10-08,96
2018-10-15,109
2018-10-22,109
2018-10-29,116
2018-11-05,87
2018-11-12,112
2018-11-19,102
2018-11-26,58
2018-12-03,102
2018-12-10,75
2018-12-17,85
2018-12-24,84
2018-12-31,96
2019-01-07,104
2019-01-14,102
2019-01-21,75
2019-01-28,33
2019-02-04,85
2019-02-11,87
2019-02-18,92
2019-02-25,76
2019-03-04,102
2019-03-11,104
2019-03-18,94
2019-03-25,125
2019-04-01,133
2019-04-08,137
2019-04-15,132
2019-04-22,117
2019-04-29,107
2019-05-06,123
2019-05-13,97
2019-05-20,106
2019-05-27,108
2019-06-03,122
2019-06-10,94
2019-06-17,123
2019-06-24,114
2019-07-01,81
2019-07-08,95
2019-07-15,126
2019-07-22,80
2019-07-29,119
2019-08-05,120
2019-08-12,125
2019-08-19,129
2019-08-26,131
2019-09-02,109
2019-09-09,116
2019-09-16,116
2019-09-23,83
2019-09-30,129
2019-10-07,150
2019-10-14,143
2019-10-21,151
2019-10-28,140
2019-11-04,132
2019-11-11,147
2019-11-18,132
2019-11-25,184
2019-12-02,129
2019-12-09,142
2019-12-16,133
2019-12-23,139
2019-12-30,136
2020-01-06,133
2020-01-13,114
2020-01-20,99
2020-01-27,124
2020-02-03,127
2020-02-10,141
2020-02-17,202
2020-02-24,159
2020-03-02,202
2020-03-09,245
2020-03-16,210
2020-03-23,182
2020-03-30,193
2020-04-06,171
2020-04-13,187
2020-04-20,178
2020-04-27,189
2020-05-04,181
2020-05-11,165
2020-05-18,165
2020-05-25,182
2020-06-01,182
2020-06-08,173
2020-06-15,195
2020-06-22,179
2020-06-29,193
2020-07-06,177
2020-07-13,206
2020-07-20,186
2020-07-27,190
2020-08-03,176
2020-08-10,211
2020-08-17,200
2020-08-24,201
2020-08-31,223
2020-09-07,197
2020-09-14,284
2020-09-21,277
2020-09-28,221
2020-10-05,212
2020-10-12,198
2020-10-19,192
2020-10-26,195
2020-11-02,192
2020-11-09,198
2020-11-16,195
2020-11-23,202
2020-11-30,195
2020-12-07,194
2020-12-14,185
2020-12-21,175
2020-12-28,187
2021-01-04,178
2021-01-11,168
2021-01-18,182
2021-01-25,185
2021-02-01,162
2021-02-08,177
2021-02-15,194
2021-02-22,176
2021-03-01,169
2021-03-08,172
2021-03-15,180
2021-03-22,203
2021-03-29,190
2021-04-05,272
2021-04-12,297
2021-04-19,205
2021-04-26,187
2021-05-03,194
2021-05-10,192
2021-05-17,194
2021-05-24,204
2021-05-31,188
2021-06-07,303
2021-06-14,223
2021-06-21,207
2021-06-28,209
2021-07-05,186
2021-07-12,195
2021-07-19,197
2021-07-26,193
2021-08-02,209
2021-08-09,183
2021-08-16,199
2021-08-23,192
2021-08-30,221
2021-09-06,183
2021-09-13,173
2021-09-20,216
2021-09-27,184
2021-10-04,184
2021-10-11,181
2021-10-18,192
2021-10-25,184
2021-11-01,185
2021-11-08,203
2021-11-15,204
2021-11-22,193
2021-11-29,188
2021-12-06,189
2021-12-13,213
2021-12-20,193
2021-12-27,180
2022-01-03,184
2022-01-10,177
2022-01-17,186
2022-01-24,145
2022-01-31,185
2022-02-07,235
2022-02-14,196
2022-02-21,323
2022-02-28,1064
2022-03-07,991
2022-03-14,1010
2022-03-21,767
2022-03-28,199
2022-04-04,193
2022-04-11,183
2022-04-18,157
2022-04-25,159
2022-05-02,152
2022-05-09,161
2022-05-16,156
2022-05-23,157
2022-05-30,203
2022-06-06,175
2022-06-13,208
2022-06-20,206
2022-06-27,185
2022-07-04,175
2022-07-11,170
2022-07-18,166
2022-07-25,159
2022-08-01,196
2022-08-08,252
2022-08-15,226
2022-08-22,162
2022-08-29,150
2022-09-05,163
2022-09-12,171
2022-09-19,168
2022-09-26,155
2022-10-03,253
2022-10-10,205
2022-10-17,160
2022-10-24,157
2022-10-31,169
2022-11-07,157
2022-11-14,134
2022-11-21,127
2022-11-28,155
2022-12-05,141
2022-12-12,128
2022-12-19,128
2022-12-26,146
2023-01-02,164
2023-01-09,156
2023-01-16,119
2023-01-23,139
2023-01-30,163
2023-02-06,164
2023-02-13,167
2023-02-20,165
2023-02-27,183
2023-03-06,194
2023-03-13,210
2023-03-20,170
2023-03-27,172
2023-04-03,191
2023-04-10,275
2023-04-17,202
2023-04-24,166
2023-05-01,184
2023-05-08,175
2023-05-15,166
2023-05-22,170
2023-05-29,173
2023-06-05,176
2023-06-12,196
2023-06-19,169
2023-06-26,161
2023-07-03,179
2023-07-10,169
2023-07-17,169
2023-07-24,163
2023-07-31,169
2023-08-07,196
2023-08-14,187
2023-08-21,185
2023-08-28,194
2023-09-04,176
2023-09-11,191
2023-09-18,158
2023-09-25,151
2023-10-02,193
2023-10-09,187
2023-10-16,178
2023-10-23,188
2023-10-30,183
2023-11-06,217
2023-11-13,243
2023-11-20,191
2023-11-27,191
2023-12-04,195
2023-12-11,197
2023-12-18,185
2023-12-25,178
2024-01-01,218
2024-01-08,193
2024-01-15,216
2024-01-22,193
2024-01-29,164
2024-02-05,124
2024-02-12,190
2024-02-19,208
2024-02-26,200
2024-03-04,219
2024-03-11,177
2024-03-18,202
2024-03-25,196
2024-04-01,192
2024-04-08,208
2024-04-15,357
2024-04-22,231
2024-04-29,205
2024-05-06,192
2024-05-13,192
2024-05-20,178
2024-05-27,174
2024-06-03,176
2024-06-10,179
2024-06-17,190
2024-06-24,213
2024-07-01,199
2024-07-08,182
2024-07-15,168
2024-07-22,155
2024-07-29,184
2024-08-05,199
2024-08-12,200
2024-08-19,179
2024-08-26,168
2024-09-02,175
2024-09-09,173
2024-09-16,192
2024-09-23,164
2024-09-30,176
2024-10-07,180
2024-10-14,198
2024-10-21,175
2024-10-28,172
2024-11-04,194
2024-11-11,186
2024-11-18,170
2024-11-25,175
2024-12-02,239
2024-12-09,189
2024-12-16,165
2024-12-23,153
2024-12-30,166
2025-01-06,159
2025-01-13,145
2025-01-20,137
2025-01-27,154
2025-02-03,163
2025-02-10,162
2025-02-17,157
2025-02-24,171
2025-03-03,153
2025-03-10,139
2025-03-17,146
2025-03-24,152
2025-03-31,143
2025-04-07,151
2025-04-14,144
2025-04-21,131
2025-04-28,131
2025-05-05,142
2025-05-12,131
2025-05-19,132
2025-05-26,135
2025-06-02,124
2025-06-09,137
2025-06-16,115
2025-06-23,124
2025-06-30,120
2025-07-07,129
2025-07-14,127
2025-07-21,126
2025-07-28,122
2025-08-04,122
2025-08-11,107
2025-08-18,118
2025-08-25,100
2025-09-01,128
2025-09-08,118
2025-09-15,118
2025-09-22,98
2025-09-29,99
2025-10-06,148
2025-10-13,116
2025-10-20,102
