date,index
2015-12-28,25
2016-01-04,9
2016-01-11,24
2016-01-18,16
2016-01-25,0
2016-02-01,0
2016-02-08,0
2016-02-15,8
2016-02-22,16
2016-02-29,16
2016-03-07,8
2016-03-14,8
2016-03-21,16
2016-03-28,0
2016-04-04,0
2016-04-11,8
2016-04-18,8
2016-04-25,8
2016-05-02,8
2016-05-09,16
2016-05-16,0
2016-05-23,0
2016-05-30,24
2016-06-06,0
2016-06-13,8
2016-06-20,8
2016-06-27,8
2016-07-04,8
2016-07-11,0
2016-07-18,24
2016-07-25,0
2016-08-01,0
2016-08-08,0
2016-08-15,16
2016-08-22,16
2016-08-29,0
2016-09-05,8
2016-09-12,8
2016-09-19,0
2016-09-26,0
2016-10-03,24
2016-10-10,8
2016-10-17,16
2016-10-24,8
2016-10-31,16
2016-11-07,0
2016-11-14,0
2016-11-21,8
2016-11-28,24
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,8
2017-01-02,0
2017-01-09,16
2017-01-16,16
2017-01-23,0
2017-01-30,8
2017-02-06,17
2017-02-13,25
2017-02-20,8
2017-02-27,9
2017-03-06,0
2017-03-13,8
2017-03-20,0
2017-03-27,8
2017-04-03,0
2017-04-10,8
2017-04-17,0
2017-04-24,8
2017-05-01,8
2017-05-08,8
2017-05-15,0
2017-05-22,0
2017-05-29,8
2017-06-05,8
2017-06-12,0
2017-06-19,0
2017-06-26,0
2017-07-03,16
2017-07-10,0
2017-07-17,8
2017-07-24,8
2017-07-31,0
2017-08-07,8
2017-08-14,8
2017-08-21,8
2017-08-28,16
2017-09-04,16
2017-09-11,8
2017-09-18,16
2017-09-25,16
2017-10-02,57
2017-10-09,24
2017-10-16,41
2017-10-23,33
2017-10-30,17
2017-11-06,25
2017-11-13,16
2017-11-20,25
2017-11-27,16
2017-12-04,33
2017-12-11,24
2017-12-18,16
2017-12-25,8
2018-01-01,8
2018-01-08,17
2018-01-15,8
2018-01-22,8
2018-01-29,8
2018-02-05,0
2018-02-12,0
2018-02-19,0
2018-02-26,9
2018-03-05,25
2018-03-12,0
2018-03-19,16
2018-03-26,8
2018-04-02,8
2018-04-09,0
2018-04-16,0
2018-04-23,17
2018-04-30,33
2018-05-07,24
2018-05-14,8
2018-05-21,17
2018-05-28,16
2018-06-04,16
2018-06-11,24
2018-06-18,0
2018-06-25,16
2018-07-02,8
2018-07-09,0
2018-07-16,0
2018-07-23,0
2018-07-30,16
2018-08-06,16
2018-08-13,24
2018-08-20,8
2018-08-27,17
2018-09-03,0
2018-09-10,8
2018-09-17,33
2018-09-24,8
2018-10-01,33
2018-10-08,0
2018-10-15,17
2018-10-22,0
2018-10-29,24
2018-11-05,24
2018-11-12,33
2018-11-19,8
2018-11-26,25
2018-12-03,0
2018-12-10,0
2018-12-17,25
2018-12-24,17
2018-12-31,8
2019-01-07,0
2019-01-14,16
2019-01-21,17
2019-01-28,0
2019-02-04,33
2019-02-11,8
2019-02-18,8
2019-02-25,24
2019-03-04,25
2019-03-11,25
2019-03-18,25
2019-03-25,50
2019-04-01,61
2019-04-08,91
2019-04-15,41
2019-04-22,41
2019-04-29,58
2019-05-06,25
2019-05-13,25
2019-05-20,34
2019-05-27,16
2019-06-03,41
2019-06-10,17
2019-06-17,49
2019-06-24,17
2019-07-01,33
2019-07-08,25
2019-07-15,57
2019-07-22,25
2019-07-29,93
2019-08-05,86
2019-08-12,25
2019-08-19,82
2019-08-26,75
2019-09-02,78
2019-09-09,83
2019-09-16,51
2019-09-23,25
2019-09-30,33
2019-10-07,84
2019-10-14,67
2019-10-21,77
2019-10-28,102
2019-11-04,67
2019-11-11,62
2019-11-18,76
2019-11-25,83
2019-12-02,75
2019-12-09,68
2019-12-16,95
2019-12-23,111
2019-12-30,105
2020-01-06,86
2020-01-13,34
2020-01-20,76
2020-01-27,35
2020-02-03,92
2020-02-10,67
2020-02-17,124
2020-02-24,98
2020-03-02,116
2020-03-09,89
2020-03-16,130
2020-03-23,134
2020-03-30,130
2020-04-06,120
2020-04-13,129
2020-04-20,121
2020-04-27,112
2020-05-04,126
2020-05-11,129
2020-05-18,106
2020-05-25,121
2020-06-01,127
2020-06-08,140
2020-06-15,135
2020-06-22,133
2020-06-29,137
2020-07-06,138
2020-07-13,147
2020-07-20,134
2020-07-27,115
2020-08-03,114
2020-08-10,123
2020-08-17,118
2020-08-24,114
2020-08-31,127
2020-09-07,130
2020-09-14,134
2020-09-21,141
2020-09-28,119
2020-10-05,130
2020-10-12,118
