date,index
2015-12-28,33
2016-01-04,49
2016-01-11,50
2016-01-18,75
2016-01-25,41
2016-02-01,0
2016-02-08,26
2016-02-15,33
2016-02-22,33
2016-02-29,42
2016-03-07,58
2016-03-14,57
2016-03-21,16
2016-03-28,8
2016-04-04,24
2016-04-11,41
2016-04-18,41
2016-04-25,17
2016-05-02,25
2016-05-09,41
2016-05-16,25
2016-05-23,33
2016-05-30,24
2016-06-06,25
2016-06-13,16
2016-06-20,24
2016-06-27,33
2016-07-04,33
2016-07-11,35
2016-07-18,49
2016-07-25,8
2016-08-01,41
2016-08-08,41
2016-08-15,33
2016-08-22,33
2016-08-29,49
2016-09-05,41
2016-09-12,41
2016-09-19,25
2016-09-26,25
2016-10-03,8
2016-10-10,24
2016-10-17,41
2016-10-24,24
2016-10-31,58
2016-11-07,43
2016-11-14,59
2016-11-21,49
2016-11-28,57
2016-12-05,82
2016-12-12,41
2016-12-19,58
2016-12-26,41
2017-01-02,41
2017-01-09,25
2017-01-16,24
2017-01-23,49
2017-01-30,16
2017-02-06,41
2017-02-13,16
2017-02-20,25
2017-02-27,25
2017-03-06,41
2017-03-13,26
2017-03-20,24
2017-03-27,9
2017-04-03,41
2017-04-10,16
2017-04-17,33
2017-04-24,8
2017-05-01,41
2017-05-08,41
2017-05-15,16
2017-05-22,24
2017-05-29,16
2017-06-05,16
2017-06-12,17
2017-06-19,41
2017-06-26,25
2017-07-03,49
2017-07-10,24
2017-07-17,16
2017-07-24,58
2017-07-31,25
2017-08-07,73
2017-08-14,16
2017-08-21,17
2017-08-28,33
2017-09-04,17
2017-09-11,41
2017-09-18,24
2017-09-25,16
2017-10-02,33
2017-10-09,33
2017-10-16,25
2017-10-23,49
2017-10-30,41
2017-11-06,50
2017-11-13,66
2017-11-20,50
2017-11-27,33
2017-12-04,50
2017-12-11,50
2017-12-18,58
2017-12-25,49
2018-01-01,33
2018-01-08,17
2018-01-15,41
2018-01-22,50
2018-01-29,25
2018-02-05,8
2018-02-12,17
2018-02-19,25
2018-02-26,33
2018-03-05,8
2018-03-12,24
2018-03-19,16
2018-03-26,16
2018-04-02,24
2018-04-09,17
2018-04-16,49
2018-04-23,24
2018-04-30,33
2018-05-07,33
2018-05-14,16
2018-05-21,41
2018-05-28,33
2018-06-04,16
2018-06-11,17
2018-06-18,8
2018-06-25,0
2018-07-02,8
2018-07-09,25
2018-07-16,33
2018-07-23,34
2018-07-30,8
2018-08-06,16
2018-08-13,24
2018-08-20,8
2018-08-27,41
2018-09-03,24
2018-09-10,25
2018-09-17,58
2018-09-24,33
2018-10-01,50
2018-10-08,41
2018-10-15,33
2018-10-22,50
2018-10-29,41
2018-11-05,66
2018-11-12,8
2018-11-19,41
2018-11-26,33
2018-12-03,67
2018-12-10,33
2018-12-17,16
2018-12-24,50
2018-12-31,24
2019-01-07,24
2019-01-14,25
2019-01-21,8
2019-01-28,0
2019-02-04,24
2019-02-11,41
2019-02-18,24
2019-02-25,24
2019-03-04,24
2019-03-11,25
2019-03-18,33
2019-03-25,77
2019-04-01,115
2019-04-08,111
2019-04-15,102
2019-04-22,67
2019-04-29,58
2019-05-06,50
2019-05-13,66
2019-05-20,75
2019-05-27,76
2019-06-03,74
2019-06-10,92
2019-06-17,75
2019-06-24,49
2019-07-01,52
2019-07-08,76
2019-07-15,124
2019-07-22,85
2019-07-29,102
2019-08-05,115
2019-08-12,51
2019-08-19,118
2019-08-26,79
2019-09-02,104
2019-09-09,93
2019-09-16,68
2019-09-23,68
2019-09-30,104
2019-10-07,103
2019-10-14,120
2019-10-21,120
2019-10-28,114
2019-11-04,96
2019-11-11,98
2019-11-18,85
2019-11-25,141
2019-12-02,123
2019-12-09,88
2019-12-16,98
2019-12-23,106
2019-12-30,111
2020-01-06,97
2020-01-13,91
2020-01-20,59
2020-01-27,79
2020-02-03,116
2020-02-10,102
2020-02-17,134
2020-02-24,121
2020-03-02,129
2020-03-09,133
2020-03-16,162
2020-03-23,150
2020-03-30,158
2020-04-06,140
2020-04-13,153
2020-04-20,129
2020-04-27,126
2020-05-04,138
2020-05-11,120
2020-05-18,127
2020-05-25,129
2020-06-01,114
2020-06-08,117
2020-06-15,121
2020-06-22,133
2020-06-29,139
2020-07-06,135
2020-07-13,167
2020-07-20,145
2020-07-27,135
2020-08-03,123
2020-08-10,142
2020-08-17,146
2020-08-24,148
2020-08-31,143
2020-09-07,139
2020-09-14,159
2020-09-21,151
2020-09-28,148
2020-10-05,152
2020-10-12,152
2020-10-19,157
2020-10-26,151
2020-11-02,150
2020-11-09,161
2020-11-16,150
2020-11-23,135
2020-11-30,141
2020-12-07,140
2020-12-14,125
2020-12-21,132
2020-12-28,140
2021-01-04,134
2021-01-11,130
2021-01-18,126
2021-01-25,147
2021-02-01,90
2021-02-08,135
2021-02-15,153
2021-02-22,136
2021-03-01,141
2021-03-08,139
2021-03-15,134
2021-03-22,161
2021-03-29,152
2021-04-05,191
2021-04-12,219
2021-04-19,145
2021-04-26,149
2021-05-03,153
2021-05-10,148
2021-05-17,144
2021-05-24,141
2021-05-31,129
2021-06-07,216
2021-06-14,156
2021-06-21,155
2021-06-28,145
2021-07-05,139
2021-07-12,161
2021-07-19,150
2021-07-26,151
2021-08-02,150
2021-08-09,134
2021-08-16,148
2021-08-23,151
2021-08-30,161
2021-09-06,144
2021-09-13,135
2021-09-20,142
2021-09-27,136
2021-10-04,147
2021-10-11,142
2021-10-18,151
2021-10-25,147
2021-11-01,146
2021-11-08,182
2021-11-15,184
2021-11-22,157
2021-11-29,141
2021-12-06,145
2021-12-13,165
2021-12-20,155
2021-12-27,154
2022-01-03,147
2022-01-10,144
2022-01-17,135
2022-01-24,84
2022-01-31,145
2022-02-07,171
2022-02-14,152
2022-02-21,184
2022-02-28,421
2022-03-07,346
2022-03-14,346
2022-03-21,304
2022-03-28,159
2022-04-04,162
2022-04-11,155
2022-04-18,132
2022-04-25,151
2022-05-02,144
2022-05-09,145
2022-05-16,145
2022-05-23,149
2022-05-30,160
2022-06-06,151
2022-06-13,161
2022-06-20,157
2022-06-27,146
2022-07-04,147
2022-07-11,145
2022-07-18,141
2022-07-25,124
2022-08-01,151
2022-08-08,200
2022-08-15,183
2022-08-22,135
2022-08-29,118
2022-09-05,136
2022-09-12,142
2022-09-19,137
2022-09-26,129
2022-10-03,205
2022-10-10,148
2022-10-17,120
2022-10-24,120
2022-10-31,123
2022-11-07,130
2022-11-14,120
2022-11-21,120
2022-11-28,109
2022-12-05,123
2022-12-12,114
2022-12-19,105
2022-12-26,119
2023-01-02,133
2023-01-09,107
2023-01-16,104
2023-01-23,137
2023-01-30,130
2023-02-06,120
2023-02-13,128
2023-02-20,147
2023-02-27,144
2023-03-06,154
2023-03-13,154
2023-03-20,137
2023-03-27,134
2023-04-03,138
2023-04-10,196
2023-04-17,147
2023-04-24,128
2023-05-01,133
2023-05-08,141
2023-05-15,134
2023-05-22,132
2023-05-29,139
2023-06-05,128
2023-06-12,151
2023-06-19,138
2023-06-26,124
2023-07-03,141
2023-07-10,141
2023-07-17,142
2023-07-24,126
2023-07-31,144
2023-08-07,150
2023-08-14,150
2023-08-21,151
2023-08-28,150
2023-09-04,138
2023-09-11,138
2023-09-18,134
2023-09-25,111
2023-10-02,135
2023-10-09,148
2023-10-16,144
2023-10-23,141
2023-10-30,157
2023-11-06,226
2023-11-13,211
2023-11-20,161
2023-11-27,199
2023-12-04,151
2023-12-11,152
2023-12-18,159
2023-12-25,148
2024-01-01,170
2024-01-08,155
2024-01-15,146
2024-01-22,144
2024-01-29,121
2024-02-05,109
2024-02-12,154
2024-02-19,166
2024-02-26,161
2024-03-04,172
2024-03-11,157
2024-03-18,152
2024-03-25,159
2024-04-01,155
2024-04-08,170
2024-04-15,191
2024-04-22,138
2024-04-29,149
2024-05-06,148
2024-05-13,134
2024-05-20,133
2024-05-27,143
2024-06-03,141
2024-06-10,139
2024-06-17,139
2024-06-24,159
2024-07-01,159
2024-07-08,150
2024-07-15,132
2024-07-22,135
2024-07-29,136
2024-08-05,147
2024-08-12,148
2024-08-19,143
2024-08-26,128
2024-09-02,133
2024-09-09,125
2024-09-16,171
2024-09-23,105
2024-09-30,136
2024-10-07,138
2024-10-14,141
2024-10-21,131
2024-10-28,131
2024-11-04,157
2024-11-11,144
2024-11-18,139
2024-11-25,138
2024-12-02,182
2024-12-09,139
2024-12-16,124
2024-12-23,122
2024-12-30,120
2025-01-06,124
2025-01-13,107
2025-01-20,112
2025-01-27,126
2025-02-03,125
2025-02-10,123
2025-02-17,131
2025-02-24,123
2025-03-03,126
2025-03-10,119
2025-03-17,125
2025-03-24,115
2025-03-31,117
2025-04-07,119
2025-04-14,125
2025-04-21,98
2025-04-28,111
2025-05-05,129
2025-05-12,117
2025-05-19,98
2025-05-26,113
2025-06-02,122
2025-06-09,125
2025-06-16,114
2025-06-23,113
2025-06-30,104
2025-07-07,106
2025-07-14,110
2025-07-21,116
2025-07-28,123
2025-08-04,116
2025-08-11,94
2025-08-18,103
2025-08-25,78
2025-09-01,126
2025-09-08,102
2025-09-15,103
2025-09-22,68
2025-09-29,83
2025-10-06,127
2025-10-13,104
2025-10-20,105
