date,index
2015-12-28,272
2016-01-04,248
2016-01-11,253
2016-01-18,220
2016-01-25,209
2016-02-01,228
2016-02-08,287
2016-02-15,311
2016-02-22,317
2016-02-29,300
2016-03-07,283
2016-03-14,310
2016-03-21,296
2016-03-28,284
2016-04-04,279
2016-04-11,290
2016-04-18,350
2016-04-25,328
2016-05-02,355
2016-05-09,360
2016-05-16,361
2016-05-23,346
2016-05-30,316
2016-06-06,302
2016-06-13,311
2016-06-20,319
2016-06-27,303
2016-07-04,272
2016-07-11,248
2016-07-18,236
2016-07-25,241
2016-08-01,235
2016-08-08,247
2016-08-15,299
2016-08-22,293
2016-08-29,348
2016-09-05,407
2016-09-12,393
2016-09-19,428
2016-09-26,449
2016-10-03,427
2016-10-10,442
2016-10-17,370
2016-10-24,391
2016-10-31,375
2016-11-07,407
2016-11-14,387
2016-11-21,399
2016-11-28,432
2016-12-05,443
2016-12-12,447
2016-12-19,445
2016-12-26,473
2017-01-02,410
2017-01-09,404
2017-01-16,382
2017-01-23,496
2017-01-30,530
2017-02-06,548
2017-02-13,556
2017-02-20,716
2017-02-27,731
2017-03-06,665
2017-03-13,569
2017-03-20,474
2017-03-27,534
2017-04-03,452
2017-04-10,445
2017-04-17,466
2017-04-24,499
2017-05-01,553
2017-05-08,535
2017-05-15,555
2017-05-22,503
2017-06-05,9
2017-06-12,8
2017-06-19,8
2017-06-26,17
2017-07-03,24
2017-07-10,8
2017-07-17,17
2017-07-24,16
2017-07-31,16
2017-08-07,25
2017-08-14,0
2017-08-21,33
2017-08-28,24
2017-09-04,8
2017-09-11,34
2017-09-18,24
2017-09-25,8
2017-10-02,35
2017-10-09,34
2017-10-16,41
2017-10-23,33
2017-10-30,34
2017-11-06,41
2017-11-20,16
2017-11-27,33
2017-12-04,42
2017-12-11,33
2017-12-18,25
2017-12-25,8
2018-01-01,34
2018-01-08,17
2018-01-15,25
2018-01-22,25
2018-01-29,25
2018-02-05,8
2018-02-12,8
2018-02-19,17
2018-02-26,17
2018-03-05,33
2018-03-12,16
2018-03-19,0
2018-03-26,0
2018-04-02,24
2018-04-09,24
2018-04-16,17
2018-04-23,24
2018-04-30,8
2018-05-07,24
2018-05-14,25
2018-05-21,33
2018-05-28,33
2018-06-04,17
2018-06-11,8
2018-06-18,17
