date,index
2015-12-28,33
2016-01-04,8
2016-01-11,8
2016-01-18,0
2016-01-25,0
2016-02-01,8
2016-02-08,0
2016-02-15,16
2016-02-22,8
2016-02-29,0
2016-03-07,8
2016-03-14,25
2016-03-21,0
2016-03-28,0
2016-04-04,8
2016-04-11,8
2016-04-18,8
2016-04-25,0
2016-05-02,8
2016-05-09,0
2016-05-16,0
2016-05-23,0
2016-05-30,8
2016-06-06,8
2016-06-13,0
2016-06-20,0
2016-06-27,0
2016-07-04,0
2016-07-11,8
2016-07-18,0
2016-07-25,0
2016-08-01,0
2016-08-08,0
2016-08-15,0
2016-08-22,0
2016-08-29,8
2016-09-05,0
2016-09-12,8
2016-09-19,8
2016-09-26,8
2016-10-03,33
2016-10-10,16
2016-10-17,8
2016-10-24,16
2016-10-31,8
2016-11-07,24
2016-11-14,33
2016-11-21,8
2016-11-28,24
2016-12-05,16
2016-12-12,8
2016-12-19,24
2016-12-26,17
2017-01-02,8
2017-01-09,16
2017-01-16,8
2017-01-23,8
2017-01-30,8
2017-02-06,0
2017-02-13,25
2017-02-20,0
2017-02-27,24
2017-03-06,0
2017-03-13,24
2017-03-20,0
2017-03-27,8
2017-04-03,8
2017-04-10,0
2017-04-17,8
2017-04-24,0
2017-05-01,0
2017-05-08,8
2017-05-15,0
2017-05-22,0
2017-05-29,8
2017-06-05,0
2017-06-12,8
2017-06-19,25
2017-06-26,0
2017-07-03,8
2017-07-10,0
2017-07-17,16
2017-07-24,0
2017-07-31,24
2017-08-07,24
2017-08-14,8
2017-08-21,16
2017-08-28,16
2017-09-04,8
2017-09-11,0
2017-09-18,0
2017-09-25,8
2017-10-02,25
2017-10-09,24
2017-10-16,0
2017-10-23,25
2017-10-30,33
2017-11-06,16
2017-11-13,17
2017-11-20,8
2017-11-27,0
2017-12-04,33
2017-12-11,17
2017-12-18,0
2017-12-25,8
2018-01-01,41
2018-01-08,17
2018-01-15,8
2018-01-22,24
2018-01-29,16
2018-02-05,0
2018-02-12,8
2018-02-19,8
2018-02-26,24
2018-03-05,0
2018-03-12,17
2018-03-19,24
2018-03-26,8
2018-04-02,24
2018-04-09,8
2018-04-16,17
2018-04-23,0
2018-04-30,8
2018-05-07,16
2018-05-14,16
2018-05-21,0
2018-05-28,17
2018-06-04,0
2018-06-11,8
2018-06-18,8
2018-06-25,8
2018-07-02,8
2018-07-09,16
2018-07-16,0
2018-07-23,0
2018-07-30,16
2018-08-06,0
2018-08-13,8
2018-08-20,16
2018-08-27,8
2018-09-03,16
2018-09-10,8
2018-09-17,24
2018-09-24,0
2018-10-01,16
2018-10-08,17
2018-10-15,33
2018-10-22,17
2018-10-29,8
2018-11-05,16
2018-11-12,8
2018-11-19,24
2018-11-26,0
2018-12-03,16
2018-12-10,0
2018-12-17,0
2018-12-24,16
2018-12-31,8
2019-01-07,25
2019-01-14,8
2019-01-21,8
2019-01-28,0
2019-02-04,24
2019-02-11,33
2019-02-18,8
2019-02-25,16
2019-03-04,16
2019-03-11,17
2019-03-18,8
2019-03-25,24
2019-04-01,77
2019-04-08,75
2019-04-15,34
2019-04-22,16
2019-04-29,41
2019-05-06,33
2019-05-13,41
2019-05-20,42
2019-05-27,34
2019-06-03,33
2019-06-10,24
2019-06-17,8
2019-06-24,8
2019-07-01,17
2019-07-08,41
2019-07-15,58
2019-07-22,24
2019-07-29,25
2019-08-05,59
2019-08-12,34
2019-08-19,68
2019-08-26,84
2019-09-02,50
2019-09-09,102
2019-09-16,75
2019-09-23,25
2019-09-30,33
2019-10-07,91
2019-10-14,75
2019-10-21,54
2019-10-28,85
2019-11-04,67
2019-11-11,75
2019-11-18,60
2019-11-25,67
2019-12-02,69
2019-12-09,83
2019-12-16,93
2019-12-23,58
2019-12-30,101
2020-01-06,68
2020-01-13,49
2020-01-20,41
2020-01-27,41
2020-02-03,58
2020-02-10,92
2020-02-17,115
2020-02-24,96
2020-03-02,85
2020-03-09,111
2020-03-16,131
2020-03-23,124
2020-03-30,138
2020-04-06,115
2020-04-13,119
2020-04-20,113
2020-04-27,101
2020-05-04,126
2020-05-11,123
2020-05-18,112
2020-05-25,115
2020-06-01,107
2020-06-08,132
2020-06-15,146
2020-06-22,117
2020-06-29,132
2020-07-06,111
2020-07-13,127
2020-07-20,113
2020-07-27,117
2020-08-03,100
2020-08-10,113
2020-08-17,136
