date,index
2015-12-28,41
2016-01-04,33
2016-01-11,49
2016-01-18,17
2016-01-25,16
2016-02-01,17
2016-02-08,0
2016-02-15,24
2016-02-22,24
2016-02-29,24
2016-03-07,8
2016-03-14,8
2016-03-21,16
2016-03-28,8
2016-04-04,25
2016-04-11,17
2016-04-18,25
2016-04-25,16
2016-05-02,0
2016-05-09,8
2016-05-16,16
2016-05-23,8
2016-05-30,24
2016-06-06,16
2016-06-13,8
2016-06-20,0
2016-06-27,9
2016-07-04,41
2016-07-11,33
2016-07-18,16
2016-07-25,33
2016-08-01,0
2016-08-08,33
2016-08-15,24
2016-08-22,33
2016-08-29,33
2016-09-05,0
2016-09-12,24
2016-09-19,16
2016-09-26,0
2016-10-03,17
2016-10-10,8
2016-10-17,24
2016-10-24,24
2016-10-31,33
2016-11-07,8
2016-11-14,25
2016-11-21,33
2016-11-28,33
2016-12-05,16
2016-12-12,34
2016-12-19,8
2016-12-26,8
2017-01-02,8
2017-01-09,16
2017-01-16,0
2017-01-23,8
2017-01-30,8
2017-02-06,8
2017-02-13,8
2017-02-20,0
2017-02-27,24
2017-03-06,8
2017-03-13,16
2017-03-20,8
2017-03-27,8
2017-04-03,17
2017-04-10,24
2017-04-17,8
2017-04-24,8
2017-05-01,8
2017-05-08,16
2017-05-15,17
2017-05-22,8
2017-05-29,16
2017-06-05,0
2017-06-12,16
2017-06-19,41
2017-06-26,16
2017-07-03,16
2017-07-10,16
2017-07-17,17
2017-07-24,0
2017-07-31,33
2017-08-07,24
2017-08-14,33
2017-08-21,33
2017-08-28,8
2017-09-04,16
2017-09-11,33
2017-09-18,8
2017-09-25,8
2017-10-02,8
2017-10-09,33
2017-10-16,42
2017-10-23,33
2017-10-30,41
2017-11-06,33
2017-11-13,25
2017-11-20,8
2017-11-27,51
2017-12-04,41
2017-12-11,49
2017-12-18,17
2017-12-25,33
2018-01-01,41
2018-01-08,49
2018-01-15,16
2018-01-22,66
2018-01-29,58
2018-02-05,16
2018-02-12,16
2018-02-19,33
2018-02-26,25
2018-03-05,25
2018-03-12,24
2018-03-19,33
2018-03-26,17
2018-04-02,34
2018-04-09,33
2018-04-16,24
2018-04-23,34
2018-04-30,17
2018-05-07,24
2018-05-14,33
2018-05-21,25
2018-05-28,8
2018-06-04,50
2018-06-11,16
2018-06-18,33
2018-06-25,33
2018-07-02,41
2018-07-09,41
2018-07-16,42
2018-07-23,8
2018-07-30,26
2018-08-06,24
2018-08-13,33
2018-08-20,24
2018-08-27,42
2018-09-03,16
2018-09-10,0
2018-09-17,8
2018-09-24,0
2018-10-01,24
2018-10-08,25
2018-10-15,66
2018-10-22,50
2018-10-29,51
2018-11-05,41
2018-11-12,25
2018-11-19,42
2018-11-26,24
2018-12-03,41
2018-12-10,24
2018-12-17,33
2018-12-24,49
2018-12-31,41
2019-01-07,33
2019-01-14,49
2019-01-21,17
2019-01-28,16
2019-02-04,17
2019-02-11,17
2019-02-18,41
2019-02-25,49
2019-03-04,34
2019-03-11,25
2019-03-18,8
2019-03-25,86
2019-04-01,81
2019-04-08,111
2019-04-15,84
2019-04-22,58
2019-04-29,59
2019-05-06,58
2019-05-13,60
2019-05-20,58
2019-05-27,41
2019-06-03,50
2019-06-10,58
2019-06-17,108
2019-06-24,83
2019-07-01,59
2019-07-08,25
2019-07-15,113
2019-07-22,77
2019-07-29,95
2019-08-05,84
2019-08-12,92
2019-08-19,108
2019-08-26,84
2019-09-02,86
2019-09-09,84
2019-09-16,93
2019-09-23,58
2019-09-30,107
2019-10-07,111
2019-10-14,111
2019-10-21,110
2019-10-28,106
2019-11-04,102
2019-11-11,105
2019-11-18,75
2019-11-25,125
2019-12-02,114
2019-12-09,93
2019-12-16,113
2019-12-23,80
2019-12-30,104
2020-01-06,106
2020-01-13,50
2020-01-20,76
2020-01-27,67
2020-02-03,116
2020-02-10,85
2020-02-17,139
2020-02-24,116
2020-03-02,117
2020-03-09,135
2020-03-16,153
2020-03-23,150
2020-03-30,155
2020-04-06,136
2020-04-13,146
2020-04-20,132
2020-04-27,141
2020-05-04,145
2020-05-11,124
2020-05-18,130
2020-05-25,132
2020-06-01,134
2020-06-08,115
2020-06-15,137
2020-06-22,139
2020-06-29,140
2020-07-06,141
2020-07-13,165
2020-07-20,151
2020-07-27,145
2020-08-03,135
2020-08-10,159
2020-08-17,149
2020-08-24,155
2020-08-31,147
2020-09-07,144
2020-09-14,164
2020-09-21,158
2020-09-28,162
2020-10-05,164
2020-10-12,156
2020-10-19,146
2020-10-26,138
2020-11-02,150
2020-11-09,156
2020-11-16,142
2020-11-23,143
2020-11-30,143
2020-12-07,136
2020-12-14,144
2020-12-21,127
