date,index
2015-12-28,24
2016-01-04,57
2016-01-11,33
2016-01-18,17
2016-01-25,8
2016-02-01,0
2016-02-08,0
2016-02-15,16
2016-02-22,8
2016-02-29,8
2016-03-07,16
2016-03-14,16
2016-03-21,8
2016-03-28,9
2016-04-04,24
2016-04-11,24
2016-04-18,8
2016-04-25,24
2016-05-02,8
2016-05-09,8
2016-05-16,24
2016-05-23,0
2016-05-30,24
2016-06-06,0
2016-06-13,8
2016-06-20,0
2016-06-27,8
2016-07-04,16
2016-07-11,16
2016-07-18,0
2016-07-25,8
2016-08-01,8
2016-08-08,16
2016-08-15,0
2016-08-22,8
2016-08-29,8
2016-09-05,8
2016-09-12,8
2016-09-19,0
2016-09-26,8
2016-10-03,24
2016-10-10,25
2016-10-17,24
2016-10-24,25
2016-10-31,41
2016-11-07,41
2016-11-14,41
2016-11-21,24
2016-11-28,8
2016-12-05,33
2016-12-12,24
2016-12-19,33
2016-12-26,16
2017-01-02,33
2017-01-09,16
2017-01-16,8
2017-01-23,16
2017-01-30,0
2017-02-06,17
2017-02-13,16
2017-02-20,0
2017-02-27,0
2017-03-06,16
2017-03-13,24
2017-03-20,8
2017-03-27,16
2017-04-03,0
2017-04-10,16
2017-04-17,16
2017-04-24,8
2017-05-01,8
2017-05-08,0
2017-05-15,16
2017-05-22,16
2017-05-29,8
2017-06-05,8
2017-06-12,8
2017-06-19,16
2017-06-26,16
2017-07-03,8
2017-07-10,0
2017-07-17,8
2017-07-24,17
2017-07-31,0
2017-08-07,8
2017-08-14,0
2017-08-21,8
2017-08-28,16
2017-09-04,0
2017-09-11,8
2017-09-18,0
2017-09-25,17
2017-10-02,16
2017-10-09,43
2017-10-16,16
2017-10-23,17
2017-10-30,33
2017-11-06,41
2017-11-13,24
2017-11-20,25
2017-11-27,33
2017-12-04,16
2017-12-11,16
2017-12-18,0
2017-12-25,17
2018-01-01,8
2018-01-08,33
2018-01-15,50
2018-01-22,17
2018-01-29,25
2018-02-05,24
2018-02-12,0
2018-02-19,33
2018-02-26,41
2018-03-05,8
2018-03-12,17
2018-03-19,0
2018-03-26,16
2018-04-02,16
2018-04-09,16
2018-04-16,0
2018-04-23,0
2018-04-30,8
2018-05-07,24
2018-05-14,16
2018-05-21,17
2018-05-28,16
2018-06-04,16
2018-06-11,8
2018-06-18,25
2018-06-25,33
2018-07-02,8
2018-07-09,0
2018-07-16,16
2018-07-23,8
2018-07-30,8
2018-08-06,8
2018-08-13,16
2018-08-20,16
2018-08-27,0
2018-09-03,0
2018-09-10,8
2018-09-17,33
2018-09-24,16
2018-10-01,8
2018-10-08,24
2018-10-15,33
2018-10-22,25
2018-10-29,25
2018-11-05,24
2018-11-12,16
2018-11-19,25
2018-11-26,8
2018-12-03,33
2018-12-10,16
2018-12-17,42
2018-12-24,17
2018-12-31,33
2019-01-07,16
2019-01-14,8
2019-01-21,8
2019-01-28,8
2019-02-04,25
2019-02-11,16
2019-02-18,8
2019-02-25,8
2019-03-04,8
2019-03-11,0
2019-03-18,8
2019-03-25,50
2019-04-01,62
2019-04-08,59
2019-04-15,33
2019-04-22,17
2019-04-29,25
2019-05-06,57
2019-05-13,16
2019-05-20,16
2019-05-27,33
2019-06-03,25
